StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
CESC Limited,CESC,2024-03-28,132.0,132.0,118.3,121.65,122.1,10305499
CESC Limited,CESC,2024-03-27,119.65,124.4,118.95,122.1,118.7,7780336
CESC Limited,CESC,2024-03-26,119.7,120.45,118.05,118.7,119.7,4001553
CESC Limited,CESC,2024-03-22,120.0,122.9,118.3,119.7,120.55,4636040
CESC Limited,CESC,2024-03-21,113.7,121.5,113.7,120.55,113.55,6524040
CESC Limited,CESC,2024-03-20,114.9,116.85,112.8,113.55,114.25,4228808
CESC Limited,CESC,2024-03-19,114.85,118.05,113.9,114.25,115.1,2737601
CESC Limited,CESC,2024-03-18,117.6,119.0,114.5,115.1,117.45,3278597
CESC Limited,CESC,2024-03-15,118.0,118.75,112.4,117.45,116.95,4531805
CESC Limited,CESC,2024-03-14,110.2,117.5,109.75,116.95,112.45,4369059
CESC Limited,CESC,2024-03-13,120.2,120.55,111.4,112.45,119.95,7472871
CESC Limited,CESC,2024-03-12,121.4,121.4,116.3,119.95,121.4,5507624
CESC Limited,CESC,2024-03-11,125.85,125.9,120.8,121.4,125.35,3766428
CESC Limited,CESC,2024-03-07,126.2,128.55,124.8,125.35,126.2,3100807
CESC Limited,CESC,2024-03-06,128.3,130.7,124.7,126.2,128.3,4803709
CESC Limited,CESC,2024-03-05,130.0,130.4,127.0,128.3,129.75,3411156
CESC Limited,CESC,2024-03-04,128.1,133.6,128.1,129.75,127.85,7530065
CESC Limited,CESC,2024-03-02,126.95,128.1,126.9,127.85,126.7,300030
CESC Limited,CESC,2024-03-01,126.85,129.3,125.85,126.7,126.85,4674159
CESC Limited,CESC,2024-02-29,129.0,129.45,124.85,126.85,129.2,5122564
CESC Limited,CESC,2024-02-28,131.0,132.1,124.05,129.2,130.5,4626074
CESC Limited,CESC,2024-02-27,129.15,131.7,128.2,130.5,129.15,2976160
CESC Limited,CESC,2024-02-26,129.25,130.25,126.8,129.15,129.35,3365663
CESC Limited,CESC,2024-02-23,130.65,130.95,129.0,129.35,130.15,2044573
CESC Limited,CESC,2024-02-22,129.0,131.9,126.2,130.15,128.35,10848629
CESC Limited,CESC,2024-02-21,131.15,132.15,128.0,128.35,130.5,3402895
CESC Limited,CESC,2024-02-20,130.0,132.0,129.2,130.5,130.0,2172350
CESC Limited,CESC,2024-02-19,132.15,133.25,129.6,130.0,132.15,4692223
CESC Limited,CESC,2024-02-16,134.7,134.8,130.95,132.15,133.6,3385817
CESC Limited,CESC,2024-02-15,129.25,134.5,129.2,133.6,128.2,5277064
CESC Limited,CESC,2024-02-14,122.45,128.95,121.4,128.2,123.7,4153611
CESC Limited,CESC,2024-02-13,120.0,124.8,118.35,123.7,122.25,7826770
CESC Limited,CESC,2024-02-12,134.65,135.2,116.4,122.25,134.55,9033792
CESC Limited,CESC,2024-02-09,138.95,138.95,133.25,134.55,138.75,6146630
CESC Limited,CESC,2024-02-08,142.5,143.3,138.15,138.75,138.65,7023285
CESC Limited,CESC,2024-02-07,140.45,142.25,137.7,138.65,139.8,6165170
CESC Limited,CESC,2024-02-06,143.55,144.0,139.0,139.8,142.45,6082798
CESC Limited,CESC,2024-02-05,138.4,144.0,136.1,142.45,137.7,12812541
CESC Limited,CESC,2024-02-02,140.4,141.7,136.7,137.7,140.1,6498178
CESC Limited,CESC,2024-02-01,141.4,142.85,139.0,140.1,143.1,6343323
CESC Limited,CESC,2024-01-31,144.6,145.5,141.8,143.1,143.15,8359254
CESC Limited,CESC,2024-01-30,141.7,149.9,141.0,143.15,139.1,27034297
CESC Limited,CESC,2024-01-29,134.75,140.65,134.5,139.1,133.3,14397836
CESC Limited,CESC,2024-01-25,132.7,134.25,131.85,133.3,131.4,4206714
CESC Limited,CESC,2024-01-24,132.5,135.8,130.0,131.4,130.6,9592330
CESC Limited,CESC,2024-01-23,141.0,141.3,129.0,130.6,138.0,10496555
CESC Limited,CESC,2024-01-20,138.0,141.0,135.5,138.0,143.65,11025156
CESC Limited,CESC,2024-01-19,142.85,145.6,141.05,143.65,141.4,12392887
CESC Limited,CESC,2024-01-18,137.1,142.5,132.0,141.4,138.35,11276056
CESC Limited,CESC,2024-01-17,137.95,141.4,136.15,138.35,138.85,7388183
CESC Limited,CESC,2024-01-16,140.4,143.5,137.5,138.85,140.25,9217735
CESC Limited,CESC,2024-01-15,141.8,141.8,139.0,140.25,140.7,4785040
CESC Limited,CESC,2024-01-12,138.9,141.65,137.55,140.7,138.8,7620307
