StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-28,551.05,555.25,535.0,540.9,548.5,4052946
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-27,544.5,556.4,536.55,548.5,542.1,4958340
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-26,528.0,547.7,526.5,542.1,535.95,5369829
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-22,541.4,541.4,520.2,535.95,541.4,8796374
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-21,510.0,549.95,510.0,541.4,502.25,18510964
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-20,482.1,517.0,473.2,502.25,479.0,16844599
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-19,471.35,480.3,463.45,479.0,470.35,3207227
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-18,476.0,476.0,462.05,470.35,469.7,4267151
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-15,467.55,485.0,464.35,469.7,467.5,6427017
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-14,462.0,469.4,450.1,467.5,461.45,3037344
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-13,460.0,465.9,450.8,461.45,455.65,5876878
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-12,470.8,470.8,453.0,455.65,469.45,2573370
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-11,465.85,474.2,449.4,469.45,457.65,5360138
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-07,469.65,471.0,455.0,457.65,469.65,2561510
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-06,466.4,470.0,450.35,469.65,463.25,2431460
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-05,470.0,473.25,462.3,463.25,469.05,1390039
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-04,476.05,479.8,466.6,469.05,472.85,2122694
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-02,470.9,474.8,467.0,472.85,465.0,747416
CG Power and Industrial Solutions Limited,CGPOWER,2024-03-01,480.5,494.95,461.0,465.0,443.25,18454089
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-29,428.1,449.0,421.0,443.25,428.95,7113044
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-28,440.0,441.6,423.2,428.95,439.1,2681355
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-27,428.4,440.95,425.5,439.1,428.4,2352699
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-26,432.25,435.0,422.0,428.4,433.7,2212803
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-23,425.05,434.5,425.0,433.7,424.6,2592673
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-22,429.8,429.9,422.6,424.6,425.95,1059421
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-21,435.0,435.6,421.95,425.95,436.25,1108790
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-20,438.0,446.0,428.6,436.25,436.3,2340482
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-19,430.9,439.75,428.5,436.3,430.1,1966967
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-16,438.6,438.6,428.0,430.1,438.6,1785220
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-15,440.0,440.0,428.55,438.6,437.45,1457857
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-14,434.0,442.0,423.3,437.45,436.15,4983026
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-13,441.0,442.45,424.0,436.15,439.45,2568647
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-12,439.0,448.4,429.0,439.45,432.45,1610970
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-09,434.0,440.0,420.25,432.45,431.95,3178120
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-08,437.0,438.75,428.0,431.95,437.2,1938167
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-07,447.5,448.8,435.25,437.2,444.95,1195367
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-06,444.95,446.95,436.15,444.95,439.65,1332434
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-05,450.0,450.0,438.1,439.65,448.0,2941526
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-02,458.0,458.45,447.0,448.0,456.75,1697666
CG Power and Industrial Solutions Limited,CGPOWER,2024-02-01,468.0,468.0,454.1,456.75,468.55,1421655
CG Power and Industrial Solutions Limited,CGPOWER,2024-01-31,459.5,470.0,455.95,468.55,461.75,2096616
CG Power and Industrial Solutions Limited,CGPOWER,2024-01-30,466.95,467.05,460.0,461.75,467.05,1132965
CG Power and Industrial Solutions Limited,CGPOWER,2024-01-29,470.0,477.0,449.15,467.05,463.1,2676099
CG Power and Industrial Solutions Limited,CGPOWER,2024-01-25,450.0,472.0,432.65,463.1,449.35,5235201
