StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Chalet Hotels Limited,CHALET,2024-03-28,875.05,958.0,875.05,883.3,871.75,3035993
Chalet Hotels Limited,CHALET,2024-03-27,868.8,910.45,806.9,871.75,868.8,993361
Chalet Hotels Limited,CHALET,2024-03-26,818.0,895.4,811.15,868.8,819.1,1150022
Chalet Hotels Limited,CHALET,2024-03-22,815.05,831.65,809.4,819.1,823.45,612128
Chalet Hotels Limited,CHALET,2024-03-21,790.1,832.2,790.1,823.45,794.4,1115264
Chalet Hotels Limited,CHALET,2024-03-20,743.5,798.4,742.35,794.4,743.5,1449745
Chalet Hotels Limited,CHALET,2024-03-19,742.0,749.9,730.0,743.5,738.0,77176
Chalet Hotels Limited,CHALET,2024-03-18,737.35,746.75,725.05,738.0,735.25,125077
Chalet Hotels Limited,CHALET,2024-03-15,719.95,759.0,702.75,735.25,716.35,2257194
Chalet Hotels Limited,CHALET,2024-03-14,681.05,725.15,681.05,716.35,725.15,388067
Chalet Hotels Limited,CHALET,2024-03-13,734.3,755.0,705.45,725.15,741.95,486848
Chalet Hotels Limited,CHALET,2024-03-12,750.85,766.55,720.0,741.95,743.4,447739
Chalet Hotels Limited,CHALET,2024-03-11,756.8,760.55,719.6,743.4,753.5,451243
Chalet Hotels Limited,CHALET,2024-03-07,765.0,789.75,750.6,753.5,765.25,225295
Chalet Hotels Limited,CHALET,2024-03-06,799.6,802.25,763.0,765.25,795.3,241310
Chalet Hotels Limited,CHALET,2024-03-05,818.35,820.15,786.0,795.3,812.6,182679
Chalet Hotels Limited,CHALET,2024-03-04,826.6,834.95,803.25,812.6,818.55,154407
Chalet Hotels Limited,CHALET,2024-03-02,799.0,825.0,792.45,818.55,797.65,15846
Chalet Hotels Limited,CHALET,2024-03-01,818.35,822.4,790.0,797.65,810.5,288145
Chalet Hotels Limited,CHALET,2024-02-29,819.05,827.65,792.95,810.5,819.75,408948
Chalet Hotels Limited,CHALET,2024-02-28,849.7,849.7,811.35,819.75,840.15,238183
Chalet Hotels Limited,CHALET,2024-02-27,854.0,865.0,838.3,840.15,849.85,241613
Chalet Hotels Limited,CHALET,2024-02-26,867.35,875.05,846.05,849.85,862.8,290780
Chalet Hotels Limited,CHALET,2024-02-23,850.25,868.8,835.0,862.8,847.8,184680
Chalet Hotels Limited,CHALET,2024-02-22,838.8,860.0,815.1,847.8,829.7,178255
Chalet Hotels Limited,CHALET,2024-02-21,846.0,860.7,825.0,829.7,838.1,262127
Chalet Hotels Limited,CHALET,2024-02-20,841.35,891.75,830.0,838.1,839.0,923159
Chalet Hotels Limited,CHALET,2024-02-19,864.9,877.0,834.0,839.0,858.35,239912
Chalet Hotels Limited,CHALET,2024-02-16,845.0,865.0,841.25,858.35,839.45,231168
Chalet Hotels Limited,CHALET,2024-02-15,835.7,873.7,832.25,839.45,833.15,467917
Chalet Hotels Limited,CHALET,2024-02-14,823.0,839.0,807.4,833.15,831.2,136223
Chalet Hotels Limited,CHALET,2024-02-13,806.0,849.0,804.9,831.2,817.35,407629
Chalet Hotels Limited,CHALET,2024-02-12,819.0,836.85,798.0,817.35,819.15,166316
Chalet Hotels Limited,CHALET,2024-02-09,805.0,839.0,803.35,819.15,800.9,594983
Chalet Hotels Limited,CHALET,2024-02-08,809.5,830.35,796.0,800.9,806.7,254962
Chalet Hotels Limited,CHALET,2024-02-07,812.0,816.6,794.6,806.7,807.0,182547
Chalet Hotels Limited,CHALET,2024-02-06,782.85,818.0,782.85,807.0,782.8,370532
Chalet Hotels Limited,CHALET,2024-02-05,794.65,801.9,778.0,782.8,786.6,218420
Chalet Hotels Limited,CHALET,2024-02-02,764.7,793.3,762.15,786.6,761.15,471759
Chalet Hotels Limited,CHALET,2024-02-01,780.9,789.2,754.3,761.15,777.1,103464
Chalet Hotels Limited,CHALET,2024-01-31,749.25,785.0,749.2,777.1,753.75,356266
Chalet Hotels Limited,CHALET,2024-01-30,759.9,763.0,725.05,753.75,757.2,346812
Chalet Hotels Limited,CHALET,2024-01-29,765.0,768.15,750.1,757.2,761.9,241577
Chalet Hotels Limited,CHALET,2024-01-25,765.0,794.85,755.05,761.9,747.3,801418
Chalet Hotels Limited,CHALET,2024-01-24,757.0,763.0,722.65,747.3,752.05,247442
Chalet Hotels Limited,CHALET,2024-01-23,734.0,775.0,728.05,752.05,730.7,698762
Chalet Hotels Limited,CHALET,2024-01-20,720.75,734.6,720.75,730.7,717.2,46904
Chalet Hotels Limited,CHALET,2024-01-19,728.0,738.45,713.8,717.2,719.45,204728
Chalet Hotels Limited,CHALET,2024-01-18,726.0,740.0,715.2,719.45,724.35,302603
Chalet Hotels Limited,CHALET,2024-01-17,719.15,730.55,710.0,724.35,719.15,129102
Chalet Hotels Limited,CHALET,2024-01-16,743.7,743.7,716.75,719.15,740.15,173877
Chalet Hotels Limited,CHALET,2024-01-15,755.0,759.25,732.75,740.15,749.1,178215
Chalet Hotels Limited,CHALET,2024-01-12,752.2,762.4,746.35,749.1,749.2,183719
Chalet Hotels Limited,CHALET,2024-01-11,734.75,754.05,728.55,749.2,735.75,315690
Chalet Hotels Limited,CHALET,2024-01-10,730.0,769.0,726.2,735.75,724.65,938119
Chalet Hotels Limited,CHALET,2024-01-09,717.9,739.25,706.5,724.65,705.7,461956
Chalet Hotels Limited,CHALET,2024-01-08,690.0,715.0,677.15,705.7,685.05,755792
Chalet Hotels Limited,CHALET,2024-01-05,683.25,690.0,678.15,685.05,679.85,104880
Chalet Hotels Limited,CHALET,2024-01-04,679.75,693.5,678.05,679.85,677.85,149681
Chalet Hotels Limited,CHALET,2024-01-03,677.8,682.05,671.3,677.85,677.8,88637
Chalet Hotels Limited,CHALET,2024-01-02,692.6,692.6,674.0,677.8,687.75,260946
Chalet Hotels Limited,CHALET,2024-01-01,699.0,700.9,684.15,687.75,696.45,188557
Chalet Hotels Limited,CHALET,2023-12-29,675.85,718.2,670.0,696.45,679.0,1730148
Chalet Hotels Limited,CHALET,2023-12-28,662.0,684.5,647.4,679.0,659.2,369700
Chalet Hotels Limited,CHALET,2023-12-27,654.95,669.55,644.65,659.2,649.85,143891
Chalet Hotels Limited,CHALET,2023-12-26,653.25,668.95,645.1,649.85,653.25,165644
Chalet Hotels Limited,CHALET,2023-12-22,652.0,674.0,646.35,653.25,649.6,158220
Chalet Hotels Limited,CHALET,2023-12-21,636.0,664.35,628.55,649.6,653.0,379721
Chalet Hotels Limited,CHALET,2023-12-20,671.0,676.75,641.1,653.0,668.55,226179
Chalet Hotels Limited,CHALET,2023-12-19,669.4,677.85,660.6,668.55,669.4,165772
Chalet Hotels Limited,CHALET,2023-12-18,670.0,675.0,660.7,669.4,677.25,245769
Chalet Hotels Limited,CHALET,2023-12-15,642.1,686.7,636.5,677.25,642.5,764487
Chalet Hotels Limited,CHALET,2023-12-14,645.0,660.9,638.9,642.5,642.6,476235
