StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-28,454.15,454.15,440.0,450.0,447.75,120378
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-27,438.9,451.0,437.35,447.75,438.0,134667
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-26,443.3,447.25,434.1,438.0,443.3,96036
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-22,435.0,456.8,435.0,443.3,436.85,730121
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-21,427.0,441.8,426.25,436.85,423.2,77705
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-20,433.0,442.8,422.0,423.2,429.8,256803
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-19,422.0,434.5,416.75,429.8,424.5,97447
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-18,432.0,440.0,422.05,424.5,433.15,57150
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-15,440.0,443.9,427.35,433.15,441.7,130146
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-14,436.35,444.75,429.4,441.7,432.4,75956
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-13,439.5,439.5,422.9,432.4,439.5,163676
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-12,441.9,443.2,426.45,439.5,439.7,85823
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-11,452.1,454.95,431.3,439.7,452.1,89312
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-07,453.7,454.6,447.05,452.1,448.7,76144
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-06,456.0,456.95,444.1,448.7,455.75,64434
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-05,460.9,461.8,453.55,455.75,463.45,95125
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-04,488.7,496.2,459.2,463.45,484.1,297631
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-02,490.0,502.0,476.45,484.1,491.95,13537
Chemplast Sanmar Limited,CHEMPLASTS,2024-03-01,466.2,522.2,464.0,491.95,470.8,360346
Chemplast Sanmar Limited,CHEMPLASTS,2024-02-29,467.95,474.0,467.6,470.8,469.1,74566
Chemplast Sanmar Limited,CHEMPLASTS,2024-02-28,474.0,474.3,464.1,469.1,470.3,67592
Chemplast Sanmar Limited,CHEMPLASTS,2024-02-27,465.0,472.35,464.95,470.3,470.35,49758
