StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-28,924.0,926.85,900.0,906.8,913.8,647649
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-27,885.0,929.7,884.5,913.8,878.1,1843186
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-26,877.7,894.8,860.0,878.1,877.7,880850
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-22,856.5,889.45,856.5,877.7,865.4,756727
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-21,857.7,884.7,857.7,865.4,847.7,697457
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-20,868.2,871.15,842.0,847.7,868.2,669188
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-19,850.0,888.8,825.5,868.2,846.5,1697067
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-18,882.5,885.0,827.55,846.5,877.3,653632
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-15,840.0,885.9,812.85,877.3,851.05,1508523
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-14,780.95,857.9,768.05,851.05,777.35,1007230
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-13,860.0,860.0,743.05,777.35,860.7,1164141
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-12,887.45,891.45,853.2,860.7,887.9,835943
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-11,896.0,905.5,882.9,887.9,903.95,524847
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-07,905.0,922.0,892.6,903.95,901.5,763297
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-06,922.0,944.0,893.3,901.5,921.85,1051710
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-05,893.5,932.95,879.55,921.85,893.9,1804827
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-04,910.0,913.9,890.65,893.9,908.7,468089
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-02,895.5,916.7,895.45,908.7,894.7,53939
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-03-01,895.0,923.4,891.3,894.7,884.05,668337
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-02-29,919.0,922.9,871.4,884.05,915.05,1391705
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-02-28,916.0,966.65,908.2,915.05,914.65,1672210
Chennai Petroleum Corporation Limited,CHENNPETRO,2024-02-27,944.0,946.9,902.1,914.65,942.5,738712
