StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-28,981.0,981.0,981.0,981.0,981.0,10
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-28,990.0,990.0,990.0,990.0,990.0,10
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-28,1000.0,1000.0,1000.0,1000.0,1000.0,1
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-28,1024.0,1024.0,1024.0,1024.0,1010.0,5
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-28,1085.0,1085.0,1085.0,1085.0,1085.0,5
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-28,1130.2,1168.6,1130.2,1156.6,1130.2,1845633
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-27,1000.0,1012.0,1000.0,1012.0,1000.0,160
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-27,980.0,980.0,980.0,980.0,1000.0,10
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-27,987.68,990.0,987.68,990.0,987.68,1001
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-27,1025.0,1025.0,1025.0,1025.0,1025.0,1
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-27,1119.0,1133.0,1113.1,1130.2,1115.2,1445844
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-27,1014.0,1014.0,1014.0,1014.0,1040.0,11
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-27,1085.0,1085.0,1085.0,1085.0,1025.0,5
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-27,1010.0,1010.0,1010.0,1010.0,1010.0,5
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-26,1000.0,1000.0,1000.0,1000.0,1000.0,10
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-26,981.0,981.0,981.0,981.0,981.0,17
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-26,1000.0,1000.0,1000.0,1000.0,931.0,2
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-26,1000.0,1000.0,1000.0,1000.0,995.0,3
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-26,1000.0,1000.0,1000.0,1000.0,1010.0,1
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-26,1080.4,1131.0,1077.5,1115.2,1089.4,3092010
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-26,1024.0,1024.0,1024.0,1024.0,1035.0,1
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-26,990.0,1000.0,990.0,1000.0,980.0,12
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-26,1000.0,1000.0,1000.0,1000.0,982.0,1
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-22,1039.9,1040.0,1039.8,1040.0,1037.0,114
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-22,1072.05,1093.5,1066.2,1089.4,1074.2,1861277
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-22,1005.85,1005.85,1005.85,1005.85,1003.26,1
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-22,1010.0,1010.0,1010.0,1010.0,1025.0,100
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-21,1052.0,1081.6,1047.55,1074.2,1044.8,3184470
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-21,1035.0,1035.0,1035.0,1035.0,1035.0,196
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-21,1025.0,1025.0,1025.0,1025.0,1025.0,10
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-21,980.0,980.0,980.0,980.0,982.0,14
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-21,1044.45,1044.45,1044.45,1044.45,1027.0,2
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-21,1000.2,1037.0,1000.0,1037.0,994.01,242
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-20,1044.5,1051.3,1026.65,1044.8,1046.75,1241436
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-20,910.0,981.0,910.0,981.0,981.0,11
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-20,931.0,931.0,931.0,931.0,950.0,20
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-20,1010.0,1010.0,1010.0,1010.0,1000.0,300
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-20,1027.0,1027.0,1027.0,1027.0,1027.26,202
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-20,1030.0,1035.0,1030.0,1035.0,1030.0,291
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-20,1062.0,1062.0,1062.0,1062.0,1058.0,100
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-19,1053.5,1058.5,1040.05,1046.75,1056.4,3933520
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-19,1058.0,1058.0,1058.0,1058.0,1058.01,3
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-19,1040.0,1051.0,1040.0,1043.0,1040.0,75
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-19,1030.0,1030.0,1030.0,1030.0,1030.0,50
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-19,1008.0,1025.0,1007.8,1025.0,1006.0,40
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-19,1027.26,1027.26,1027.26,1027.26,1027.26,21
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-19,982.3,982.3,982.0,982.0,982.0,500
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,2024-03-19,982.0,982.0,982.0,982.0,982.0,10
