StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-28,1108.0,1123.0,1082.8,1111.5,1096.05,85097
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-27,1084.6,1108.0,1071.9,1096.05,1084.6,72256
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-26,1083.35,1094.0,1058.7,1084.6,1087.45,66136
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-22,1044.65,1098.1,1043.05,1087.45,1050.8,186103
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-21,1010.0,1053.0,1003.5,1050.8,1000.45,69977
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-20,1010.1,1034.0,989.05,1000.45,1012.1,63140
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-19,1030.0,1030.0,999.35,1012.1,1030.05,178369
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-18,1046.95,1046.95,1006.05,1030.05,1035.0,213659
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-15,1029.15,1068.05,1014.2,1035.0,1031.15,239672
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-14,1030.15,1047.55,1002.55,1031.15,1049.35,246119
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-13,1085.0,1085.0,1012.1,1049.35,1085.2,302011
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-12,1103.0,1103.0,1067.1,1085.2,1095.65,124931
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-11,1093.2,1102.0,1080.15,1095.65,1080.05,163326
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-07,1041.0,1102.0,1031.1,1080.05,1041.45,52311
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-06,1046.0,1049.0,1008.0,1041.45,1038.95,53718
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-05,1071.95,1075.75,1033.6,1038.95,1069.6,131633
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-04,1070.0,1084.15,1063.0,1069.6,1065.85,54929
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-02,1076.95,1089.5,1040.0,1065.85,1076.95,4876
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-03-01,1064.05,1086.8,1048.0,1076.95,1051.8,33866
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-02-29,1057.0,1070.0,1031.05,1051.8,1056.05,113256
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-02-28,1086.3,1095.95,1050.35,1056.05,1080.05,289093
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-02-27,1092.0,1102.6,1060.0,1080.05,1087.95,85714
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-02-26,1057.9,1096.0,1033.55,1087.95,1045.2,374874
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-02-23,1055.0,1056.65,1030.0,1045.2,1045.7,64740
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-02-22,1054.9,1063.75,1036.2,1045.7,1042.9,159221
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-02-21,1059.9,1060.05,1032.05,1042.9,1055.4,345890
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-02-20,1086.0,1086.0,1050.0,1055.4,1079.95,243984
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-02-19,1070.0,1085.0,1065.05,1079.95,1075.35,176549
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-02-16,1090.1,1100.35,1063.0,1075.35,1088.7,73423
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-02-15,1100.5,1113.25,1074.0,1088.7,1100.35,49522
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-02-14,1110.0,1113.7,1095.0,1100.35,1113.7,95947
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-02-13,1134.2,1135.2,1090.1,1113.7,1134.2,70404
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-02-12,1136.25,1141.4,1085.0,1134.2,1122.6,111681
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,2024-02-09,1130.1,1166.0,1095.35,1122.6,1147.45,71365
