StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Clean Science and Technology Limited,CLEAN,2024-03-28,1356.0,1360.0,1316.15,1329.35,1348.25,226251
Clean Science and Technology Limited,CLEAN,2024-03-27,1322.8,1355.5,1307.2,1348.25,1314.05,242499
Clean Science and Technology Limited,CLEAN,2024-03-26,1307.3,1318.8,1290.05,1314.05,1307.3,177336
Clean Science and Technology Limited,CLEAN,2024-03-22,1300.0,1322.85,1298.0,1307.3,1296.85,87200
Clean Science and Technology Limited,CLEAN,2024-03-21,1300.0,1317.9,1295.0,1296.85,1300.8,80543
Clean Science and Technology Limited,CLEAN,2024-03-20,1305.0,1327.0,1280.0,1300.8,1304.35,86002
Clean Science and Technology Limited,CLEAN,2024-03-19,1288.0,1315.0,1286.05,1304.35,1287.65,84913
Clean Science and Technology Limited,CLEAN,2024-03-18,1310.0,1313.85,1280.05,1287.65,1299.25,116183
Clean Science and Technology Limited,CLEAN,2024-03-15,1309.0,1333.0,1296.6,1299.25,1301.45,139567
Clean Science and Technology Limited,CLEAN,2024-03-14,1290.15,1322.0,1277.2,1301.45,1290.15,185968
Clean Science and Technology Limited,CLEAN,2024-03-13,1339.95,1346.7,1285.0,1290.15,1336.55,125540
Clean Science and Technology Limited,CLEAN,2024-03-12,1343.8,1354.2,1314.0,1336.55,1343.8,110285
Clean Science and Technology Limited,CLEAN,2024-03-11,1375.05,1378.6,1340.0,1343.8,1375.25,103414
Clean Science and Technology Limited,CLEAN,2024-03-07,1386.95,1400.9,1371.05,1375.25,1379.2,70821
Clean Science and Technology Limited,CLEAN,2024-03-06,1406.65,1406.65,1366.0,1379.2,1407.25,102690
Clean Science and Technology Limited,CLEAN,2024-03-05,1392.4,1426.05,1385.15,1407.25,1389.85,193573
Clean Science and Technology Limited,CLEAN,2024-03-04,1419.7,1422.8,1387.05,1389.85,1417.55,74596
Clean Science and Technology Limited,CLEAN,2024-03-02,1401.0,1432.0,1401.0,1417.55,1400.5,8361
Clean Science and Technology Limited,CLEAN,2024-03-01,1414.7,1418.85,1397.75,1400.5,1413.4,75346
Clean Science and Technology Limited,CLEAN,2024-02-29,1409.05,1423.3,1402.0,1413.4,1419.7,62918
Clean Science and Technology Limited,CLEAN,2024-02-28,1464.4,1469.7,1408.0,1419.7,1461.05,68388
Clean Science and Technology Limited,CLEAN,2024-02-27,1464.4,1475.0,1452.05,1461.05,1465.5,73771
Clean Science and Technology Limited,CLEAN,2024-02-26,1468.25,1483.3,1445.0,1465.5,1468.0,104863
Clean Science and Technology Limited,CLEAN,2024-02-23,1459.95,1474.8,1456.2,1468.0,1452.0,180134
Clean Science and Technology Limited,CLEAN,2024-02-22,1478.45,1480.55,1426.15,1452.0,1465.6,149889
Clean Science and Technology Limited,CLEAN,2024-02-21,1422.85,1477.05,1412.45,1465.6,1406.45,276292
Clean Science and Technology Limited,CLEAN,2024-02-20,1414.9,1414.9,1401.85,1406.45,1401.6,84892
Clean Science and Technology Limited,CLEAN,2024-02-19,1413.9,1424.0,1397.75,1401.6,1392.35,114072
Clean Science and Technology Limited,CLEAN,2024-02-16,1403.95,1408.95,1387.15,1392.35,1390.9,71213
Clean Science and Technology Limited,CLEAN,2024-02-15,1400.0,1414.55,1385.7,1390.9,1381.85,65908
Clean Science and Technology Limited,CLEAN,2024-02-14,1380.15,1394.95,1373.3,1381.85,1396.0,105861
Clean Science and Technology Limited,CLEAN,2024-02-13,1399.9,1406.45,1376.0,1396.0,1395.25,60199
Clean Science and Technology Limited,CLEAN,2024-02-12,1430.0,1430.0,1386.05,1395.25,1405.7,87968
Clean Science and Technology Limited,CLEAN,2024-02-09,1395.5,1427.7,1381.1,1405.7,1372.1,196945
Clean Science and Technology Limited,CLEAN,2024-02-08,1409.0,1413.7,1370.0,1372.1,1408.25,127592
Clean Science and Technology Limited,CLEAN,2024-02-07,1400.05,1424.85,1400.05,1408.25,1404.65,68272
Clean Science and Technology Limited,CLEAN,2024-02-06,1409.95,1420.0,1395.8,1404.65,1400.0,90278
Clean Science and Technology Limited,CLEAN,2024-02-05,1458.0,1460.0,1394.0,1400.0,1461.45,222174
Clean Science and Technology Limited,CLEAN,2024-02-02,1489.0,1499.0,1455.8,1461.45,1478.45,72332
Clean Science and Technology Limited,CLEAN,2024-02-01,1496.0,1503.95,1462.0,1478.45,1493.55,69802
Clean Science and Technology Limited,CLEAN,2024-01-31,1402.0,1507.0,1401.0,1493.55,1404.7,333297
Clean Science and Technology Limited,CLEAN,2024-01-30,1431.55,1438.55,1401.0,1404.7,1425.9,89887
Clean Science and Technology Limited,CLEAN,2024-01-29,1442.05,1453.5,1419.1,1425.9,1442.0,76830
Clean Science and Technology Limited,CLEAN,2024-01-25,1438.95,1464.3,1435.0,1442.0,1443.25,58366
Clean Science and Technology Limited,CLEAN,2024-01-24,1440.05,1454.6,1425.0,1443.25,1444.9,57192
Clean Science and Technology Limited,CLEAN,2024-01-23,1484.95,1489.5,1441.0,1444.9,1481.2,96982
Clean Science and Technology Limited,CLEAN,2024-01-20,1499.05,1505.0,1479.6,1481.2,1499.0,44709
Clean Science and Technology Limited,CLEAN,2024-01-19,1494.9,1504.45,1486.95,1499.0,1486.9,51107
Clean Science and Technology Limited,CLEAN,2024-01-18,1482.0,1493.95,1438.0,1486.9,1474.0,101337
Clean Science and Technology Limited,CLEAN,2024-01-17,1489.0,1510.9,1470.05,1474.0,1504.5,113968
Clean Science and Technology Limited,CLEAN,2024-01-16,1506.0,1522.0,1484.05,1504.5,1506.65,106195
Clean Science and Technology Limited,CLEAN,2024-01-15,1525.0,1528.3,1502.0,1506.65,1522.6,77223
Clean Science and Technology Limited,CLEAN,2024-01-12,1535.0,1552.85,1515.35,1522.6,1529.35,92007
Clean Science and Technology Limited,CLEAN,2024-01-11,1500.95,1539.9,1493.0,1529.35,1497.4,118455
Clean Science and Technology Limited,CLEAN,2024-01-10,1508.7,1516.95,1484.4,1497.4,1501.95,112881
Clean Science and Technology Limited,CLEAN,2024-01-09,1538.0,1552.5,1493.0,1501.95,1528.45,134992
Clean Science and Technology Limited,CLEAN,2024-01-08,1576.0,1581.3,1514.9,1528.45,1571.55,149689
Clean Science and Technology Limited,CLEAN,2024-01-05,1574.0,1588.0,1560.0,1571.55,1568.0,106308
Clean Science and Technology Limited,CLEAN,2024-01-04,1577.0,1588.0,1563.0,1568.0,1570.55,90087
Clean Science and Technology Limited,CLEAN,2024-01-03,1574.75,1589.85,1563.0,1570.55,1574.75,118458
Clean Science and Technology Limited,CLEAN,2024-01-02,1601.0,1619.45,1570.5,1574.75,1591.2,322107
Clean Science and Technology Limited,CLEAN,2024-01-01,1557.0,1622.0,1556.95,1591.2,1549.1,488216
Clean Science and Technology Limited,CLEAN,2023-12-29,1545.95,1558.5,1525.0,1549.1,1535.25,194448
Clean Science and Technology Limited,CLEAN,2023-12-28,1545.55,1561.75,1526.7,1535.25,1545.55,135025
Clean Science and Technology Limited,CLEAN,2023-12-27,1561.3,1591.7,1538.0,1545.55,1543.6,480524
