StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Coal India Limited,COALINDIA,2024-03-28,430.0,438.45,430.0,434.1,429.45,10332853
Coal India Limited,COALINDIA,2024-03-27,439.8,439.8,426.05,429.45,435.95,17985246
Coal India Limited,COALINDIA,2024-03-26,433.8,440.95,430.9,435.95,431.95,9389403
Coal India Limited,COALINDIA,2024-03-22,430.9,436.2,428.3,431.95,432.05,9172888
Coal India Limited,COALINDIA,2024-03-21,424.0,433.55,423.15,432.05,419.5,9911230
Coal India Limited,COALINDIA,2024-03-20,419.8,422.8,412.7,419.5,419.05,6950340
Coal India Limited,COALINDIA,2024-03-19,417.0,424.6,414.0,419.05,421.85,8373676
Coal India Limited,COALINDIA,2024-03-18,416.0,423.5,413.55,421.85,415.25,9803914
Coal India Limited,COALINDIA,2024-03-15,427.7,428.05,401.2,415.25,427.7,25435001
Coal India Limited,COALINDIA,2024-03-14,419.0,428.85,412.2,427.7,417.05,20478918
Coal India Limited,COALINDIA,2024-03-13,449.3,449.9,410.0,417.05,449.3,17803423
Coal India Limited,COALINDIA,2024-03-12,453.9,455.8,446.7,449.3,453.9,8409613
Coal India Limited,COALINDIA,2024-03-11,461.0,462.85,452.4,453.9,458.6,7824738
Coal India Limited,COALINDIA,2024-03-07,461.6,465.4,456.05,458.6,461.6,9680802
Coal India Limited,COALINDIA,2024-03-06,462.45,464.95,444.55,461.6,460.65,14061966
Coal India Limited,COALINDIA,2024-03-05,456.0,461.75,453.55,460.65,455.4,9605493
Coal India Limited,COALINDIA,2024-03-04,451.85,458.0,448.05,455.4,448.5,11977226
Coal India Limited,COALINDIA,2024-03-02,447.2,450.0,446.45,448.5,446.35,1085461
Coal India Limited,COALINDIA,2024-03-01,438.0,448.8,438.0,446.35,436.7,8411615
Coal India Limited,COALINDIA,2024-02-29,444.0,444.0,429.65,436.7,434.2,11711699
Coal India Limited,COALINDIA,2024-02-28,440.3,442.85,430.35,434.2,441.4,8893614
Coal India Limited,COALINDIA,2024-02-27,442.3,445.3,435.05,441.4,442.3,8343526
Coal India Limited,COALINDIA,2024-02-26,443.9,447.25,440.55,442.3,443.9,7570244
Coal India Limited,COALINDIA,2024-02-23,448.0,449.6,441.65,443.9,445.15,9625544
Coal India Limited,COALINDIA,2024-02-22,438.0,448.0,427.95,445.15,432.95,22083710
Coal India Limited,COALINDIA,2024-02-21,450.95,450.95,431.0,432.95,446.5,19032050
Coal India Limited,COALINDIA,2024-02-20,457.95,457.95,441.0,446.5,461.0,27899165
Coal India Limited,COALINDIA,2024-02-19,482.8,487.45,455.45,461.0,480.0,19798448
Coal India Limited,COALINDIA,2024-02-16,482.4,487.6,477.5,480.0,476.85,14513583
