StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Cochin Shipyard Limited,COCHINSHIP,2024-03-28,883.4,891.1,866.25,871.8,872.45,905880
Cochin Shipyard Limited,COCHINSHIP,2024-03-27,895.0,901.2,865.0,872.45,893.25,1647346
Cochin Shipyard Limited,COCHINSHIP,2024-03-26,906.85,909.75,878.0,893.25,902.45,1637539
Cochin Shipyard Limited,COCHINSHIP,2024-03-22,898.0,930.8,897.05,902.45,895.85,3150242
Cochin Shipyard Limited,COCHINSHIP,2024-03-21,887.45,922.9,884.7,895.85,878.25,4687245
Cochin Shipyard Limited,COCHINSHIP,2024-03-20,888.8,903.95,875.0,878.25,881.2,1640751
Cochin Shipyard Limited,COCHINSHIP,2024-03-19,873.85,911.35,864.25,881.2,875.5,4560368
Cochin Shipyard Limited,COCHINSHIP,2024-03-18,897.0,912.35,870.45,875.5,890.45,3171617
Cochin Shipyard Limited,COCHINSHIP,2024-03-15,805.0,905.0,788.6,890.45,804.3,11812467
Cochin Shipyard Limited,COCHINSHIP,2024-03-14,739.95,814.0,713.35,804.3,730.8,3713524
Cochin Shipyard Limited,COCHINSHIP,2024-03-13,820.0,837.2,716.45,730.8,818.05,3454793
Cochin Shipyard Limited,COCHINSHIP,2024-03-12,850.0,856.0,814.2,818.05,848.3,1407869
Cochin Shipyard Limited,COCHINSHIP,2024-03-11,867.2,867.2,845.0,848.3,867.2,787870
Cochin Shipyard Limited,COCHINSHIP,2024-03-07,854.85,875.7,853.85,867.2,854.85,1011544
Cochin Shipyard Limited,COCHINSHIP,2024-03-06,875.95,876.65,843.75,854.85,876.25,1472985
Cochin Shipyard Limited,COCHINSHIP,2024-03-05,884.55,890.1,872.8,876.25,881.3,1082470
Cochin Shipyard Limited,COCHINSHIP,2024-03-04,876.9,913.8,864.5,881.3,872.35,3402600
Cochin Shipyard Limited,COCHINSHIP,2024-03-02,877.2,877.9,870.0,872.35,873.8,132309
Cochin Shipyard Limited,COCHINSHIP,2024-03-01,878.9,883.9,868.0,873.8,875.1,1472366
Cochin Shipyard Limited,COCHINSHIP,2024-02-29,854.2,879.5,854.2,875.1,854.2,2582071
Cochin Shipyard Limited,COCHINSHIP,2024-02-28,866.0,903.45,842.0,854.2,854.05,8593058
Cochin Shipyard Limited,COCHINSHIP,2024-02-27,860.0,865.0,851.2,854.05,859.2,1038904
Cochin Shipyard Limited,COCHINSHIP,2024-02-26,862.25,869.95,849.1,859.2,858.7,1253538
Cochin Shipyard Limited,COCHINSHIP,2024-02-23,840.0,863.9,834.05,858.7,836.3,1739872
Cochin Shipyard Limited,COCHINSHIP,2024-02-22,834.4,844.0,814.15,836.3,830.85,1269496
Cochin Shipyard Limited,COCHINSHIP,2024-02-21,846.55,849.9,825.05,830.85,843.8,1005409
Cochin Shipyard Limited,COCHINSHIP,2024-02-20,852.6,854.95,840.05,843.8,851.0,1047391
Cochin Shipyard Limited,COCHINSHIP,2024-02-19,845.0,869.25,839.05,851.0,839.25,1987506
Cochin Shipyard Limited,COCHINSHIP,2024-02-16,864.8,884.75,835.0,839.25,860.85,1858009
Cochin Shipyard Limited,COCHINSHIP,2024-02-15,851.0,864.9,845.5,860.85,847.4,1278231
Cochin Shipyard Limited,COCHINSHIP,2024-02-14,810.05,853.5,810.05,847.4,842.8,1477541
Cochin Shipyard Limited,COCHINSHIP,2024-02-13,817.5,853.1,795.0,842.8,805.4,3156914
Cochin Shipyard Limited,COCHINSHIP,2024-02-12,882.0,882.0,790.0,805.4,882.65,3682525
Cochin Shipyard Limited,COCHINSHIP,2024-02-09,915.5,916.2,865.5,882.65,911.4,2188203
Cochin Shipyard Limited,COCHINSHIP,2024-02-08,878.55,920.0,863.9,911.4,873.9,3837173
Cochin Shipyard Limited,COCHINSHIP,2024-02-07,887.5,897.0,871.5,873.9,884.5,1182679
Cochin Shipyard Limited,COCHINSHIP,2024-02-06,895.0,895.0,863.2,884.5,890.65,1631959
Cochin Shipyard Limited,COCHINSHIP,2024-02-05,913.0,924.45,880.8,890.65,905.2,2538611
Cochin Shipyard Limited,COCHINSHIP,2024-02-02,919.1,922.0,903.0,905.2,911.55,1973422
Cochin Shipyard Limited,COCHINSHIP,2024-02-01,922.5,941.95,902.4,911.55,912.2,4522178
Cochin Shipyard Limited,COCHINSHIP,2024-01-31,935.0,945.0,895.7,912.2,878.6,6953477
Cochin Shipyard Limited,COCHINSHIP,2024-01-30,867.0,895.95,860.6,878.6,860.05,3683666
Cochin Shipyard Limited,COCHINSHIP,2024-01-29,877.95,883.2,855.45,860.05,871.6,1726017
Cochin Shipyard Limited,COCHINSHIP,2024-01-25,860.45,885.0,860.0,871.6,851.3,2473935
Cochin Shipyard Limited,COCHINSHIP,2024-01-24,853.0,854.5,796.25,851.3,848.6,3518987
Cochin Shipyard Limited,COCHINSHIP,2024-01-23,880.0,898.5,832.05,848.6,874.3,3459766
Cochin Shipyard Limited,COCHINSHIP,2024-01-20,875.0,889.0,863.3,874.3,873.7,3585746
Cochin Shipyard Limited,COCHINSHIP,2024-01-19,878.0,887.45,862.6,873.7,865.65,4771974
Cochin Shipyard Limited,COCHINSHIP,2024-01-18,857.0,896.1,822.0,865.65,849.1,11018034
Cochin Shipyard Limited,COCHINSHIP,2024-01-17,793.0,888.0,780.0,849.1,792.15,26230941
