StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Coforge Limited,COFORGE,2024-03-28,5569.0,5594.0,5485.0,5502.45,5549.25,262188
Coforge Limited,COFORGE,2024-03-27,5546.6,5631.6,5530.85,5549.25,5547.3,248089
Coforge Limited,COFORGE,2024-03-26,5546.5,5580.0,5527.0,5547.3,5540.1,206027
Coforge Limited,COFORGE,2024-03-22,5601.15,5639.3,5462.15,5540.1,5706.75,1055867
Coforge Limited,COFORGE,2024-03-21,5590.0,5729.1,5581.0,5706.75,5529.75,592395
Coforge Limited,COFORGE,2024-03-20,5575.0,5625.0,5475.5,5529.75,5557.55,334922
Coforge Limited,COFORGE,2024-03-19,5705.0,5746.0,5537.0,5557.55,5697.15,594997
Coforge Limited,COFORGE,2024-03-18,6045.15,6045.15,5665.1,5697.15,6116.4,1433639
Coforge Limited,COFORGE,2024-03-15,6078.0,6137.35,6008.3,6116.4,6087.6,210374
Coforge Limited,COFORGE,2024-03-14,6145.0,6151.2,5900.0,6087.6,6173.6,439378
Coforge Limited,COFORGE,2024-03-13,6319.95,6325.35,6120.0,6173.6,6263.65,364200
Coforge Limited,COFORGE,2024-03-12,6261.95,6346.6,6188.05,6263.65,6247.65,277022
Coforge Limited,COFORGE,2024-03-11,6280.0,6302.7,6173.0,6247.65,6253.7,486927
Coforge Limited,COFORGE,2024-03-07,6359.95,6378.45,6236.6,6253.7,6323.3,233446
Coforge Limited,COFORGE,2024-03-06,6305.0,6368.1,6113.7,6323.3,6316.45,429399
Coforge Limited,COFORGE,2024-03-05,6425.0,6446.0,6286.0,6316.45,6442.7,265245
Coforge Limited,COFORGE,2024-03-04,6525.0,6537.9,6406.0,6442.7,6505.15,446281
Coforge Limited,COFORGE,2024-03-02,6548.85,6580.0,6449.5,6505.15,6504.7,29261
Coforge Limited,COFORGE,2024-03-01,6586.75,6624.85,6455.0,6504.7,6554.05,475667
Coforge Limited,COFORGE,2024-02-29,6470.0,6580.0,6390.0,6554.05,6464.65,202478
Coforge Limited,COFORGE,2024-02-28,6569.0,6591.0,6420.25,6464.65,6561.55,192687
Coforge Limited,COFORGE,2024-02-27,6585.0,6648.6,6525.0,6561.55,6593.4,112860
Coforge Limited,COFORGE,2024-02-26,6599.0,6679.75,6484.35,6593.4,6606.0,755379
Coforge Limited,COFORGE,2024-02-23,6675.0,6722.95,6590.15,6606.0,6617.7,196052
Coforge Limited,COFORGE,2024-02-22,6585.0,6677.05,6532.3,6617.7,6546.0,198579
Coforge Limited,COFORGE,2024-02-21,6700.0,6704.9,6500.0,6546.0,6653.45,303362
Coforge Limited,COFORGE,2024-02-20,6754.65,6805.0,6583.35,6653.45,6754.9,285213
Coforge Limited,COFORGE,2024-02-19,6700.0,6847.45,6572.0,6754.9,6665.4,370439
Coforge Limited,COFORGE,2024-02-16,6679.95,6690.0,6525.9,6665.4,6644.8,319668
Coforge Limited,COFORGE,2024-02-15,6590.0,6664.0,6511.1,6644.8,6472.15,171082
Coforge Limited,COFORGE,2024-02-14,6550.0,6614.1,6395.0,6472.15,6661.9,335871
Coforge Limited,COFORGE,2024-02-13,6692.9,6753.8,6582.0,6661.9,6666.2,356627
Coforge Limited,COFORGE,2024-02-12,6549.9,6733.7,6501.5,6666.2,6500.75,881053
Coforge Limited,COFORGE,2024-02-09,6641.95,6642.0,6471.0,6500.75,6608.35,182879
Coforge Limited,COFORGE,2024-02-08,6629.95,6666.0,6568.8,6608.35,6583.5,163963
Coforge Limited,COFORGE,2024-02-07,6645.0,6645.0,6512.0,6583.5,6560.8,237786
Coforge Limited,COFORGE,2024-02-06,6421.0,6571.0,6373.0,6560.8,6366.3,434992
Coforge Limited,COFORGE,2024-02-05,6479.95,6479.95,6350.0,6366.3,6425.35,430785
Coforge Limited,COFORGE,2024-02-02,6245.0,6469.0,6227.65,6425.35,6169.75,518712
Coforge Limited,COFORGE,2024-02-01,6250.1,6282.05,6102.65,6169.75,6250.1,290416
Coforge Limited,COFORGE,2024-01-31,6253.95,6330.0,6238.05,6250.1,6244.8,337292
Coforge Limited,COFORGE,2024-01-30,6300.0,6423.2,6229.5,6244.8,6254.75,546835
Coforge Limited,COFORGE,2024-01-29,6222.2,6324.0,6200.25,6254.75,6205.05,423776
Coforge Limited,COFORGE,2024-01-25,6440.0,6440.0,6185.05,6205.05,6369.2,392096
Coforge Limited,COFORGE,2024-01-24,6223.0,6422.9,6161.0,6369.2,6201.6,345532
Coforge Limited,COFORGE,2024-01-23,6398.0,6417.4,6167.2,6201.6,6283.4,689002
Coforge Limited,COFORGE,2024-01-20,6474.95,6513.95,6264.2,6283.4,6415.35,191502
Coforge Limited,COFORGE,2024-01-19,6529.9,6548.9,6372.0,6415.35,6486.6,400947
Coforge Limited,COFORGE,2024-01-18,6595.45,6602.45,6263.05,6486.6,6626.95,541380
Coforge Limited,COFORGE,2024-01-17,6495.1,6662.0,6482.0,6626.95,6597.0,299390
Coforge Limited,COFORGE,2024-01-16,6660.0,6660.0,6511.95,6597.0,6614.05,263369
Coforge Limited,COFORGE,2024-01-15,6699.9,6789.0,6582.7,6614.05,6592.7,731362
Coforge Limited,COFORGE,2024-01-12,6350.0,6615.0,6338.0,6592.7,6238.1,1252771
Coforge Limited,COFORGE,2024-01-11,6260.0,6340.0,6223.45,6238.1,6152.25,431230
Coforge Limited,COFORGE,2024-01-10,6087.7,6173.45,6039.05,6152.25,6067.85,208245
Coforge Limited,COFORGE,2024-01-09,6190.0,6274.6,6052.8,6067.85,6060.5,423485
Coforge Limited,COFORGE,2024-01-08,6134.95,6135.0,6009.0,6060.5,6076.35,331217
Coforge Limited,COFORGE,2024-01-05,5954.1,6148.85,5954.1,6076.35,5954.05,498803
Coforge Limited,COFORGE,2024-01-04,5945.0,6037.0,5911.6,5954.05,5928.2,210040
Coforge Limited,COFORGE,2024-01-03,6049.4,6050.0,5841.55,5928.2,6038.3,400286
Coforge Limited,COFORGE,2024-01-02,6210.0,6217.4,6001.0,6038.3,6192.55,315763
Coforge Limited,COFORGE,2024-01-01,6289.95,6289.95,6181.0,6192.55,6274.4,183642
Coforge Limited,COFORGE,2023-12-29,6278.0,6320.0,6213.0,6274.4,6272.35,220563
Coforge Limited,COFORGE,2023-12-28,6325.0,6325.0,6240.05,6272.35,6299.4,320910
Coforge Limited,COFORGE,2023-12-27,6317.0,6394.95,6280.9,6299.4,6276.05,348740
Coforge Limited,COFORGE,2023-12-26,6300.0,6342.7,6245.0,6276.05,6290.2,256576
Coforge Limited,COFORGE,2023-12-22,6130.05,6323.65,6110.05,6290.2,6127.9,477031
Coforge Limited,COFORGE,2023-12-21,5959.95,6175.0,5922.05,6127.9,6039.05,366697
Coforge Limited,COFORGE,2023-12-20,6310.0,6357.4,6014.9,6039.05,6273.4,485530
Coforge Limited,COFORGE,2023-12-19,6439.95,6440.0,6261.0,6273.4,6441.1,327439
Coforge Limited,COFORGE,2023-12-18,6430.0,6478.1,6331.05,6441.1,6439.85,603544
Coforge Limited,COFORGE,2023-12-15,6196.7,6530.0,6175.05,6439.85,6156.7,1260254
