StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Container Corporation of India Limited,CONCOR,2024-03-28,869.0,891.7,864.6,882.1,866.2,1661176
Container Corporation of India Limited,CONCOR,2024-03-27,870.0,887.0,862.2,866.2,868.05,1643044
Container Corporation of India Limited,CONCOR,2024-03-26,868.1,880.45,862.75,868.05,868.1,950457
Container Corporation of India Limited,CONCOR,2024-03-22,873.2,880.95,864.6,868.1,873.2,999736
Container Corporation of India Limited,CONCOR,2024-03-21,851.0,877.55,846.3,873.2,839.6,2443904
Container Corporation of India Limited,CONCOR,2024-03-20,835.55,843.3,819.45,839.6,831.7,1182471
Container Corporation of India Limited,CONCOR,2024-03-19,854.0,857.9,827.6,831.7,854.9,1306629
Container Corporation of India Limited,CONCOR,2024-03-18,868.85,879.4,849.45,854.9,865.75,1604337
Container Corporation of India Limited,CONCOR,2024-03-15,868.05,872.4,845.0,865.75,867.95,2284557
Container Corporation of India Limited,CONCOR,2024-03-14,862.45,921.0,854.95,867.95,862.45,1997066
Container Corporation of India Limited,CONCOR,2024-03-13,918.1,928.7,853.1,862.45,925.0,3796016
Container Corporation of India Limited,CONCOR,2024-03-12,955.0,964.0,921.7,925.0,955.75,817033
Container Corporation of India Limited,CONCOR,2024-03-11,964.7,971.6,950.75,955.75,964.7,1674256
Container Corporation of India Limited,CONCOR,2024-03-07,972.05,975.7,959.05,964.7,971.7,763240
Container Corporation of India Limited,CONCOR,2024-03-06,965.0,975.0,949.3,971.7,967.95,1005912
Container Corporation of India Limited,CONCOR,2024-03-05,984.1,985.2,966.15,967.95,986.15,1258586
Container Corporation of India Limited,CONCOR,2024-03-04,977.05,990.75,972.0,986.15,981.35,1935494
Container Corporation of India Limited,CONCOR,2024-03-02,975.2,986.7,972.65,981.35,978.05,73811
Container Corporation of India Limited,CONCOR,2024-03-01,983.8,988.9,972.35,978.05,977.4,627986
Container Corporation of India Limited,CONCOR,2024-02-29,952.2,985.65,945.0,977.4,957.25,3664111
Container Corporation of India Limited,CONCOR,2024-02-28,980.2,985.95,951.2,957.25,972.05,1761906
