StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Craftsman Automation Limited,CRAFTSMAN,2024-03-28,4381.0,4447.0,4283.0,4314.9,4332.5,41032
Craftsman Automation Limited,CRAFTSMAN,2024-03-27,4176.55,4370.0,4141.0,4332.5,4172.05,52734
Craftsman Automation Limited,CRAFTSMAN,2024-03-26,4199.95,4212.95,4088.0,4172.05,4149.55,44943
Craftsman Automation Limited,CRAFTSMAN,2024-03-22,3988.95,4160.0,3964.8,4149.55,3972.35,64305
Craftsman Automation Limited,CRAFTSMAN,2024-03-21,3863.45,4034.05,3850.0,3972.35,3844.25,79963
Craftsman Automation Limited,CRAFTSMAN,2024-03-20,3830.0,3865.3,3782.05,3844.25,3837.1,73471
Craftsman Automation Limited,CRAFTSMAN,2024-03-19,3944.0,3949.0,3813.25,3837.1,3912.3,28229
Craftsman Automation Limited,CRAFTSMAN,2024-03-18,4033.1,4033.9,3875.0,3912.3,4033.1,33359
Craftsman Automation Limited,CRAFTSMAN,2024-03-15,3954.0,4050.0,3897.15,4033.1,3924.55,30039
Craftsman Automation Limited,CRAFTSMAN,2024-03-14,3825.0,3980.0,3801.0,3924.55,3851.4,46578
Craftsman Automation Limited,CRAFTSMAN,2024-03-13,4029.95,4030.45,3793.65,3851.4,4002.6,96254
Craftsman Automation Limited,CRAFTSMAN,2024-03-12,4065.05,4115.95,3986.0,4002.6,4029.45,31161
Craftsman Automation Limited,CRAFTSMAN,2024-03-11,4131.1,4168.4,4020.0,4029.45,4131.05,32207
Craftsman Automation Limited,CRAFTSMAN,2024-03-07,4110.0,4150.95,4085.0,4131.05,4165.95,30808
Craftsman Automation Limited,CRAFTSMAN,2024-03-06,4151.0,4200.0,4056.1,4165.95,4128.55,44331
Craftsman Automation Limited,CRAFTSMAN,2024-03-05,4199.2,4239.8,4090.05,4128.55,4239.25,57340
Craftsman Automation Limited,CRAFTSMAN,2024-03-04,4305.3,4319.95,4204.0,4239.25,4288.2,17140
Craftsman Automation Limited,CRAFTSMAN,2024-03-02,4315.0,4315.0,4252.0,4288.2,4290.05,1938
Craftsman Automation Limited,CRAFTSMAN,2024-03-01,4274.95,4324.0,4230.1,4290.05,4188.85,25481
