StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-28,990.0,1005.0,990.0,1005.0,1007.0,380
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-28,1000.95,1000.95,1000.95,1000.95,1000.97,14
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-28,1020.0,1023.5,1010.0,1022.3,1005.0,530
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-28,1008.97,1008.97,1000.0,1000.05,1008.95,80
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-28,1415.0,1460.1,1400.45,1441.4,1422.55,318854
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-27,1400.05,1430.5,1396.05,1422.55,1400.9,139222
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-27,1008.95,1008.95,1008.95,1008.95,1008.97,25
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-27,1000.97,1000.97,1000.97,1000.97,1000.97,4
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-26,1000.97,1000.97,1000.97,1000.97,1000.97,2
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-26,1130.0,1130.0,1130.0,1130.0,1130.0,49
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-26,1381.3,1409.5,1342.35,1400.9,1381.3,276127
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-22,1009.0,1009.0,1007.0,1007.0,1004.92,44
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-22,1000.97,1000.97,1000.97,1000.97,1005.3,20
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-22,1005.0,1005.0,1005.0,1005.0,1022.0,200
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-22,1406.0,1406.5,1370.0,1381.3,1399.45,250606
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-21,1005.3,1005.3,1005.3,1005.3,1005.0,50
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-21,1022.0,1022.0,1022.0,1022.0,1026.9,45
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-21,997.0,1008.97,997.0,1008.97,996.01,50
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-21,942.0,1002.0,876.0,1000.0,1003.0,628
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-21,1411.0,1411.0,1384.3,1399.45,1383.15,174020
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-20,1005.0,1005.0,1005.0,1005.0,1001.5,10
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-20,1006.0,1006.0,1003.0,1003.0,955.0,21
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-20,1415.05,1421.0,1375.7,1383.15,1412.0,223354
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-19,1400.2,1420.05,1365.0,1412.0,1400.2,206761
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-19,1005.0,1005.0,1004.0,1004.92,1000.05,523
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-19,996.0,996.0,993.3,995.22,995.0,70
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-19,1001.5,1026.9,1001.5,1026.9,1010.0,413
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-19,1005.0,1005.0,955.0,955.0,1000.0,14
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-18,1421.25,1421.25,1365.0,1400.2,1421.25,238222
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-18,900.0,1000.0,900.0,1000.0,1001.0,46
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-18,1100.0,1100.0,1100.0,1100.0,1100.0,9
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-15,999.09,1003.0,995.0,1000.05,1003.0,100
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-15,1010.0,1010.0,1010.0,1010.0,1010.0,10
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-15,1001.0,1001.0,1001.0,1001.0,1001.0,30
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-15,1382.8,1469.0,1355.0,1421.25,1382.75,484548
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-14,1003.0,1003.0,1003.0,1003.0,1010.0,7
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-14,1002.2,1010.0,1002.2,1010.0,970.2,81
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-14,1310.0,1394.7,1277.95,1382.75,1311.15,343494
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-13,1010.0,1010.0,1010.0,1010.0,1008.78,1
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-13,996.01,996.01,996.01,996.01,1000.0,500
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-13,1001.0,1001.0,1001.0,1001.0,1000.0,10
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-13,1326.75,1339.0,1282.65,1311.15,1326.75,423937
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-12,1000.0,1000.0,1000.0,1000.0,1000.0,2
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-12,1333.2,1343.45,1295.0,1326.75,1322.2,295375
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-12,1015.0,1015.0,900.3,970.2,1015.0,108
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-12,1100.0,1100.0,1100.0,1100.0,1115.0,19
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-11,1399.85,1417.75,1310.05,1322.2,1396.55,864457
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-11,1010.0,1010.0,1000.0,1000.0,1010.0,216
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-11,1015.0,1015.0,1015.0,1015.0,1026.9,27
CREDITACCESS GRAMEEN LIMITED,CREDITACC,2024-03-11,1001.5,1001.5,1001.5,1001.5,1000.0,1500
