StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
CRISIL Limited,CRISIL,2024-03-28,4980.0,5078.0,4955.15,5068.0,4979.2,18143
CRISIL Limited,CRISIL,2024-03-27,5150.0,5154.95,4960.1,4979.2,5119.65,36070
CRISIL Limited,CRISIL,2024-03-26,5040.0,5268.5,4992.65,5119.65,5006.0,71972
CRISIL Limited,CRISIL,2024-03-22,5001.55,5049.95,4985.1,5006.0,4976.7,19970
CRISIL Limited,CRISIL,2024-03-21,5009.4,5055.0,4957.0,4976.7,4994.5,10811
CRISIL Limited,CRISIL,2024-03-20,4950.0,5090.0,4900.0,4994.5,4982.85,43473
CRISIL Limited,CRISIL,2024-03-19,5223.55,5250.0,4962.25,4982.85,5223.55,73963
CRISIL Limited,CRISIL,2024-03-18,5020.0,5250.0,4996.95,5223.55,4976.8,74915
CRISIL Limited,CRISIL,2024-03-15,4980.7,5048.95,4934.25,4976.8,4985.65,26133
CRISIL Limited,CRISIL,2024-03-14,4883.8,4999.0,4828.05,4985.65,4883.8,30218
CRISIL Limited,CRISIL,2024-03-13,4980.05,4980.05,4825.0,4883.8,4984.3,41039
CRISIL Limited,CRISIL,2024-03-12,4950.0,5010.9,4854.65,4984.3,4924.75,44066
CRISIL Limited,CRISIL,2024-03-11,4945.0,5034.0,4911.75,4924.75,4927.85,38944
CRISIL Limited,CRISIL,2024-03-07,4896.6,4991.0,4867.25,4927.85,4896.55,35963
CRISIL Limited,CRISIL,2024-03-06,4859.85,4915.05,4764.0,4896.55,4859.9,37738
CRISIL Limited,CRISIL,2024-03-05,5001.25,5019.95,4831.5,4859.9,5014.1,51128
CRISIL Limited,CRISIL,2024-03-04,4939.95,5070.0,4911.0,5014.1,4939.7,42811
CRISIL Limited,CRISIL,2024-03-02,4935.3,4968.0,4890.0,4939.7,4901.6,1652
CRISIL Limited,CRISIL,2024-03-01,5059.35,5090.15,4883.0,4901.6,5017.15,36319
CRISIL Limited,CRISIL,2024-02-29,4872.8,5170.0,4786.0,5017.15,4870.15,49038
CRISIL Limited,CRISIL,2024-02-28,4924.75,4925.0,4830.9,4870.15,4892.7,12138
CRISIL Limited,CRISIL,2024-02-27,4931.0,4951.75,4875.1,4892.7,4898.15,23137
CRISIL Limited,CRISIL,2024-02-26,4905.25,4962.8,4867.15,4898.15,4905.25,22243
CRISIL Limited,CRISIL,2024-02-23,4984.6,4984.6,4895.0,4905.25,4984.6,34500
CRISIL Limited,CRISIL,2024-02-22,5063.8,5089.9,4953.7,4984.6,5063.8,31634
CRISIL Limited,CRISIL,2024-02-21,5035.0,5136.0,4950.1,5063.8,5050.55,79599
CRISIL Limited,CRISIL,2024-02-20,5100.0,5250.0,5000.3,5050.55,5026.5,316130
CRISIL Limited,CRISIL,2024-02-19,4875.0,5199.85,4725.15,5026.5,4609.2,688069
