StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-28,266.1,268.9,263.5,267.5,265.6,2999646
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-27,271.0,271.5,264.5,265.6,271.0,6728331
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-26,271.35,272.7,269.55,271.0,269.35,3867946
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-22,268.75,271.7,261.25,269.35,269.75,11215203
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-21,268.0,270.65,266.5,269.75,264.9,2874783
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-20,268.0,268.0,262.25,264.9,267.0,5153884
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-19,272.0,273.5,266.3,267.0,271.75,2180704
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-18,277.45,278.25,268.2,271.75,275.5,4738220
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-15,281.75,285.8,274.35,275.5,279.2,3406199
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-14,277.15,284.3,275.85,279.2,277.15,2216147
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-13,287.25,289.4,274.55,277.15,286.0,4668709
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-12,289.0,290.8,285.25,286.0,288.8,1936402
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-11,291.9,293.15,288.0,288.8,290.65,593630
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-07,291.5,296.7,289.95,290.65,291.3,1938855
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-06,295.2,295.7,288.35,291.3,294.65,2981128
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-05,300.95,300.95,293.6,294.65,299.4,1150650
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-04,301.75,302.85,297.4,299.4,301.1,2551273
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-02,297.0,302.75,296.0,301.1,295.75,587360
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-03-01,292.35,297.0,291.25,295.75,291.0,2603483
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-29,293.0,293.0,286.5,291.0,291.75,4760712
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-28,291.8,295.6,289.65,291.75,290.8,5812712
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-27,292.75,296.95,289.75,290.8,288.05,2971531
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-26,292.95,293.0,286.3,288.05,293.3,1676422
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-23,294.0,297.0,291.65,293.3,292.2,6602408
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-22,293.0,294.0,288.6,292.2,290.3,4167615
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-21,291.5,291.6,288.25,290.3,290.0,3319385
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-20,288.9,292.0,288.45,290.0,290.1,851062
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-19,286.65,291.75,285.45,290.1,284.8,1199875
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-16,283.7,286.25,282.7,284.8,283.2,2891658
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-15,285.0,291.55,277.1,283.2,285.45,2787589
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-14,282.15,286.6,281.3,285.45,285.3,1144133
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-13,285.1,286.0,281.95,285.3,283.7,1098969
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-12,288.6,288.6,282.4,283.7,286.95,2830640
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-09,288.3,289.15,284.6,286.95,287.2,2641404
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-08,289.95,291.9,286.1,287.2,288.15,1070373
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-07,292.45,292.45,287.0,288.15,288.45,1130014
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-06,300.0,300.0,286.0,288.45,302.1,5185768
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-05,304.5,309.9,301.3,302.1,304.5,2335471
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-02,303.4,307.45,302.3,304.5,302.25,3359976
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-02-01,304.25,305.25,300.95,302.25,302.95,998750
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-31,295.1,303.5,294.25,302.95,294.65,2914073
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-30,301.65,302.7,293.6,294.65,300.9,2948702
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-29,305.3,306.7,299.5,300.9,305.1,2067278
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-25,306.55,308.6,301.85,305.1,307.7,2052008
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-24,300.9,308.9,299.55,307.7,300.25,2253437
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-23,311.45,315.7,299.15,300.25,310.25,3535641
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-20,312.3,314.35,310.0,310.25,311.35,527772
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-19,311.2,315.7,308.65,311.35,309.4,1518396
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-18,315.65,316.15,306.6,309.4,316.85,2307806
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-17,317.0,321.45,313.35,316.85,320.45,1518201
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-16,325.1,325.1,316.4,320.45,324.1,1478380
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-15,325.5,327.95,322.2,324.1,325.0,1572912
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-12,326.0,326.4,322.4,325.0,324.65,1288468
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-11,325.0,326.9,321.4,324.65,322.55,5371382
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-10,313.95,324.5,313.1,322.55,314.4,4901049
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-09,314.75,317.35,311.15,314.4,313.35,2429821
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-08,318.65,319.0,311.1,313.35,316.45,1790898
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-05,318.9,321.0,314.7,316.45,317.6,1649336
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-04,320.85,323.0,316.35,317.6,318.75,2367626
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-03,312.9,320.75,308.8,318.75,311.4,3789724
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-02,315.8,316.0,306.35,311.4,313.85,2295282
Crompton Greaves Consumer Electricals Limited,CROMPTON,2024-01-01,313.5,317.35,309.6,313.85,310.9,2198792
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-29,298.95,314.5,296.1,310.9,297.5,6543873
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-28,301.5,301.85,297.0,297.5,299.95,1340641
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-27,302.8,303.0,297.6,299.95,300.0,3526373
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-26,303.0,304.6,299.2,300.0,301.8,1367276
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-22,303.45,304.8,298.5,301.8,300.0,1261307
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-21,296.5,302.0,290.0,300.0,297.15,2628984
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-20,296.1,307.8,295.55,297.15,296.1,7071090
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-19,294.45,298.35,289.75,296.1,293.35,4417371
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-18,288.85,294.95,287.15,293.35,288.85,2484562
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-15,293.35,293.4,287.55,288.85,291.9,3018951
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-14,297.5,297.5,291.15,291.9,295.5,2239470
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-13,293.0,296.0,291.1,295.5,292.35,1023175
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-12,299.2,299.2,291.5,292.35,297.75,1916910
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-11,299.0,302.5,296.8,297.75,299.45,1330482
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-08,300.0,305.9,297.05,299.45,301.7,2232304
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-07,296.45,303.05,292.2,301.7,296.5,3087207
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-06,298.0,298.45,294.65,296.5,296.95,1053782
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-05,295.8,298.95,294.35,296.95,294.8,2439845
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-04,294.0,295.65,289.9,294.8,289.9,2065238
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-12-01,286.35,290.55,285.0,289.9,284.95,1771128
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-11-30,283.8,285.8,282.0,284.95,283.8,1779613
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-11-29,284.6,286.65,282.65,283.8,283.15,1728545
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-11-28,283.5,285.3,280.3,283.15,283.8,2895205
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-11-24,288.9,290.05,282.95,283.8,288.25,1043715
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-11-23,289.55,290.7,287.2,288.25,289.15,927151
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-11-22,292.7,293.55,288.05,289.15,291.3,1152652
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-11-21,288.0,293.0,287.05,291.3,287.05,1779395
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-11-20,288.1,289.35,284.5,287.05,288.1,1010088
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-11-17,286.0,288.7,284.5,288.1,285.1,1112495
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-11-16,281.6,286.65,281.05,285.1,282.2,2236760
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-11-15,281.5,283.9,279.2,282.2,278.6,2788028
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-11-13,283.45,283.45,278.25,278.6,283.95,1350980
Crompton Greaves Consumer Electricals Limited,CROMPTON,2023-11-12,285.0,285.05,281.7,283.95,282.25,174284
