StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
CSB Bank Limited,CSBBANK,2024-03-28,355.8,361.1,351.2,354.5,353.9,164497
CSB Bank Limited,CSBBANK,2024-03-27,348.0,362.0,347.4,353.9,348.7,337225
CSB Bank Limited,CSBBANK,2024-03-26,352.4,354.5,344.5,348.7,346.9,194122
CSB Bank Limited,CSBBANK,2024-03-22,342.85,349.2,342.85,346.9,343.0,97333
CSB Bank Limited,CSBBANK,2024-03-21,343.9,352.95,340.8,343.0,341.75,181338
CSB Bank Limited,CSBBANK,2024-03-20,343.7,347.5,336.2,341.75,343.7,144967
CSB Bank Limited,CSBBANK,2024-03-19,339.8,348.75,335.0,343.7,338.15,209741
CSB Bank Limited,CSBBANK,2024-03-18,345.4,353.25,334.95,338.15,343.05,263062
CSB Bank Limited,CSBBANK,2024-03-15,351.0,354.25,336.3,343.05,353.2,228186
CSB Bank Limited,CSBBANK,2024-03-14,332.4,359.95,330.3,353.2,335.8,275467
CSB Bank Limited,CSBBANK,2024-03-13,353.45,353.45,331.5,335.8,354.8,297557
CSB Bank Limited,CSBBANK,2024-03-12,355.0,361.15,346.9,354.8,359.4,338961
CSB Bank Limited,CSBBANK,2024-03-11,370.0,384.65,340.2,359.4,368.65,730502
CSB Bank Limited,CSBBANK,2024-03-07,365.05,371.95,363.25,368.65,365.9,254739
CSB Bank Limited,CSBBANK,2024-03-06,369.0,373.8,361.3,365.9,369.2,478829
CSB Bank Limited,CSBBANK,2024-03-05,346.0,374.55,346.0,369.2,348.95,2354307
CSB Bank Limited,CSBBANK,2024-03-04,357.6,359.4,348.0,348.95,357.6,106956
CSB Bank Limited,CSBBANK,2024-03-02,351.4,359.75,350.95,357.6,351.4,16280
CSB Bank Limited,CSBBANK,2024-03-01,350.15,352.7,347.1,351.4,349.7,93806
CSB Bank Limited,CSBBANK,2024-02-29,352.05,355.65,346.05,349.7,351.0,87686
CSB Bank Limited,CSBBANK,2024-02-28,361.0,361.2,349.1,351.0,361.2,122928
CSB Bank Limited,CSBBANK,2024-02-27,360.0,364.0,358.8,361.2,359.7,114934
CSB Bank Limited,CSBBANK,2024-02-26,356.15,362.0,354.6,359.7,358.75,158580
CSB Bank Limited,CSBBANK,2024-02-23,365.7,366.0,356.3,358.75,360.05,107070
CSB Bank Limited,CSBBANK,2024-02-22,353.25,361.0,350.1,360.05,351.45,144893
CSB Bank Limited,CSBBANK,2024-02-21,366.4,367.95,348.0,351.45,366.4,460705
CSB Bank Limited,CSBBANK,2024-02-20,367.0,367.9,361.0,366.4,365.4,257345
CSB Bank Limited,CSBBANK,2024-02-19,365.75,367.65,359.65,365.4,364.7,383265
CSB Bank Limited,CSBBANK,2024-02-16,375.8,376.8,362.1,364.7,374.0,592507
CSB Bank Limited,CSBBANK,2024-02-15,372.2,377.0,370.6,374.0,370.65,113468
CSB Bank Limited,CSBBANK,2024-02-14,370.0,374.9,366.45,370.65,370.3,115821
CSB Bank Limited,CSBBANK,2024-02-13,377.0,377.75,365.5,370.3,375.7,244032
CSB Bank Limited,CSBBANK,2024-02-12,380.8,382.05,369.65,375.7,383.05,242820
CSB Bank Limited,CSBBANK,2024-02-09,391.1,396.9,380.45,383.05,391.15,199765
CSB Bank Limited,CSBBANK,2024-02-08,383.3,395.0,383.0,391.15,383.3,256040
CSB Bank Limited,CSBBANK,2024-02-07,381.45,388.5,378.6,383.3,380.7,265483
CSB Bank Limited,CSBBANK,2024-02-06,379.7,382.3,373.0,380.7,378.2,295139
CSB Bank Limited,CSBBANK,2024-02-05,393.05,395.95,376.4,378.2,392.75,242780
CSB Bank Limited,CSBBANK,2024-02-02,389.0,393.9,387.65,392.75,387.0,232025
CSB Bank Limited,CSBBANK,2024-02-01,382.25,389.9,378.65,387.0,382.25,232092
CSB Bank Limited,CSBBANK,2024-01-31,377.7,384.5,373.8,382.25,375.8,239672
CSB Bank Limited,CSBBANK,2024-01-30,377.05,379.7,372.65,375.8,374.6,277778
CSB Bank Limited,CSBBANK,2024-01-29,374.25,392.25,368.9,374.6,374.2,1122187
CSB Bank Limited,CSBBANK,2024-01-25,374.6,379.95,365.15,374.2,372.7,273909
