StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Cummins India Limited,CUMMINSIND,2024-03-28,2986.45,3025.0,2939.15,3006.25,2968.35,827120
Cummins India Limited,CUMMINSIND,2024-03-27,2988.0,3012.0,2947.2,2968.35,2969.1,384326
Cummins India Limited,CUMMINSIND,2024-03-26,2938.95,2985.0,2918.25,2969.1,2930.8,513559
Cummins India Limited,CUMMINSIND,2024-03-22,2907.0,2948.0,2872.55,2930.8,2898.25,568710
Cummins India Limited,CUMMINSIND,2024-03-21,2835.0,2908.45,2817.1,2898.25,2793.8,857294
Cummins India Limited,CUMMINSIND,2024-03-20,2715.0,2802.65,2710.7,2793.8,2715.75,886440
Cummins India Limited,CUMMINSIND,2024-03-19,2713.0,2733.2,2668.1,2715.75,2712.7,431587
Cummins India Limited,CUMMINSIND,2024-03-18,2705.8,2768.65,2664.75,2712.7,2707.65,754044
Cummins India Limited,CUMMINSIND,2024-03-15,2723.95,2737.1,2678.5,2707.65,2724.05,472475
Cummins India Limited,CUMMINSIND,2024-03-14,2663.4,2751.95,2657.75,2724.05,2675.95,762079
Cummins India Limited,CUMMINSIND,2024-03-13,2760.0,2797.7,2652.0,2675.95,2759.7,612537
Cummins India Limited,CUMMINSIND,2024-03-12,2795.85,2806.2,2746.9,2759.7,2795.85,287216
Cummins India Limited,CUMMINSIND,2024-03-11,2823.85,2891.95,2783.75,2795.85,2787.0,1183246
Cummins India Limited,CUMMINSIND,2024-03-07,2800.0,2827.0,2775.15,2787.0,2784.3,479478
Cummins India Limited,CUMMINSIND,2024-03-06,2784.0,2796.5,2709.05,2784.3,2774.75,292058
Cummins India Limited,CUMMINSIND,2024-03-05,2782.75,2798.95,2765.0,2774.75,2782.9,278427
Cummins India Limited,CUMMINSIND,2024-03-04,2736.65,2809.0,2703.0,2782.9,2736.65,932506
Cummins India Limited,CUMMINSIND,2024-03-02,2738.9,2774.85,2714.0,2736.65,2726.15,29886
Cummins India Limited,CUMMINSIND,2024-03-01,2749.0,2763.35,2717.8,2726.15,2738.65,431838
Cummins India Limited,CUMMINSIND,2024-02-29,2710.0,2761.4,2659.6,2738.65,2714.6,1010604
Cummins India Limited,CUMMINSIND,2024-02-28,2760.0,2775.45,2700.0,2714.6,2754.1,409541
Cummins India Limited,CUMMINSIND,2024-02-27,2717.0,2797.9,2716.2,2754.1,2733.55,439505
Cummins India Limited,CUMMINSIND,2024-02-26,2790.05,2828.0,2650.1,2733.55,2810.95,1848049
Cummins India Limited,CUMMINSIND,2024-02-23,2765.0,2828.0,2752.1,2810.95,2760.85,951153
Cummins India Limited,CUMMINSIND,2024-02-22,2604.65,2789.75,2595.0,2760.85,2607.9,1179771
Cummins India Limited,CUMMINSIND,2024-02-21,2617.95,2643.25,2591.2,2607.9,2629.3,285288
Cummins India Limited,CUMMINSIND,2024-02-20,2671.0,2679.5,2622.05,2629.3,2658.75,264511
Cummins India Limited,CUMMINSIND,2024-02-19,2630.0,2671.55,2601.7,2658.75,2618.2,508687
Cummins India Limited,CUMMINSIND,2024-02-16,2640.0,2646.35,2592.7,2618.2,2633.35,351624
Cummins India Limited,CUMMINSIND,2024-02-15,2589.8,2646.75,2569.35,2633.35,2563.1,402747
Cummins India Limited,CUMMINSIND,2024-02-14,2522.0,2582.15,2520.05,2563.1,2543.1,501042
Cummins India Limited,CUMMINSIND,2024-02-13,2567.95,2571.45,2506.15,2543.1,2567.55,437422
Cummins India Limited,CUMMINSIND,2024-02-12,2623.0,2623.0,2551.55,2567.55,2602.95,1134382
Cummins India Limited,CUMMINSIND,2024-02-09,2599.85,2638.55,2546.65,2602.95,2585.25,1543145
Cummins India Limited,CUMMINSIND,2024-02-08,2639.5,2648.8,2425.5,2585.25,2400.2,4892636
Cummins India Limited,CUMMINSIND,2024-02-07,2401.0,2421.85,2372.0,2400.2,2401.85,572250
Cummins India Limited,CUMMINSIND,2024-02-06,2358.0,2414.95,2329.55,2401.85,2350.2,646602
Cummins India Limited,CUMMINSIND,2024-02-05,2311.0,2373.9,2291.05,2350.2,2309.7,1055164
Cummins India Limited,CUMMINSIND,2024-02-02,2255.0,2324.35,2236.55,2309.7,2262.9,663252
Cummins India Limited,CUMMINSIND,2024-02-01,2300.0,2304.9,2220.25,2262.9,2293.85,328995
Cummins India Limited,CUMMINSIND,2024-01-31,2231.1,2306.75,2190.05,2293.85,2235.6,962485
Cummins India Limited,CUMMINSIND,2024-01-30,2268.95,2269.75,2208.25,2235.6,2255.15,326292
Cummins India Limited,CUMMINSIND,2024-01-29,2168.0,2290.75,2164.05,2255.15,2161.9,1135151
Cummins India Limited,CUMMINSIND,2024-01-25,2160.0,2191.0,2147.1,2161.9,2170.8,434655
Cummins India Limited,CUMMINSIND,2024-01-24,2085.0,2177.0,2042.05,2170.8,2097.75,1066789
Cummins India Limited,CUMMINSIND,2024-01-23,2089.8,2114.0,2085.1,2097.75,2083.25,482656
Cummins India Limited,CUMMINSIND,2024-01-20,2114.0,2126.45,2073.8,2083.25,2112.45,102973
Cummins India Limited,CUMMINSIND,2024-01-19,2032.0,2118.9,2031.3,2112.45,2030.8,700438
Cummins India Limited,CUMMINSIND,2024-01-18,2002.0,2038.75,1948.0,2030.8,2009.9,345585
Cummins India Limited,CUMMINSIND,2024-01-17,2000.0,2024.0,1978.2,2009.9,2019.8,242049
Cummins India Limited,CUMMINSIND,2024-01-16,2049.9,2054.7,2004.1,2019.8,2045.75,191012
Cummins India Limited,CUMMINSIND,2024-01-15,2054.65,2099.0,2040.0,2045.75,2047.45,1030582
Cummins India Limited,CUMMINSIND,2024-01-12,2045.0,2054.8,2015.0,2047.45,2035.7,488499
Cummins India Limited,CUMMINSIND,2024-01-11,2042.0,2066.45,2023.3,2035.7,2046.15,459742
Cummins India Limited,CUMMINSIND,2024-01-10,2025.9,2054.75,2000.0,2046.15,2025.9,464463
Cummins India Limited,CUMMINSIND,2024-01-09,2010.0,2066.85,2008.0,2025.9,2004.3,684150
Cummins India Limited,CUMMINSIND,2024-01-08,2002.75,2011.95,1969.35,2004.3,1998.4,443494
Cummins India Limited,CUMMINSIND,2024-01-05,2000.0,2018.0,1986.75,1998.4,1992.7,240305
Cummins India Limited,CUMMINSIND,2024-01-04,1977.1,2007.1,1977.1,1992.7,1971.95,232609
Cummins India Limited,CUMMINSIND,2024-01-03,1960.0,1977.25,1946.0,1971.95,1960.85,170039
Cummins India Limited,CUMMINSIND,2024-01-02,1955.0,1965.55,1927.0,1960.85,1957.95,383818
Cummins India Limited,CUMMINSIND,2024-01-01,1965.0,1974.4,1945.55,1957.95,1963.95,231172
Cummins India Limited,CUMMINSIND,2023-12-29,1939.15,1978.0,1937.0,1963.95,1940.75,373649
Cummins India Limited,CUMMINSIND,2023-12-28,1990.0,2007.6,1933.5,1940.75,1983.6,1136906
Cummins India Limited,CUMMINSIND,2023-12-27,2024.95,2035.75,1974.35,1983.6,2027.15,410225
Cummins India Limited,CUMMINSIND,2023-12-26,2013.15,2044.9,2004.15,2027.15,2013.15,550809
Cummins India Limited,CUMMINSIND,2023-12-22,1947.55,2025.0,1927.5,2013.15,1941.35,1057329
Cummins India Limited,CUMMINSIND,2023-12-21,1900.25,1949.0,1888.3,1941.35,1908.65,321468
Cummins India Limited,CUMMINSIND,2023-12-20,1980.0,2024.75,1892.6,1908.65,1976.65,821439
Cummins India Limited,CUMMINSIND,2023-12-19,1980.0,1982.7,1954.05,1976.65,1960.9,506932
Cummins India Limited,CUMMINSIND,2023-12-18,1944.7,1969.5,1930.0,1960.9,1926.5,348422
Cummins India Limited,CUMMINSIND,2023-12-15,1950.9,1978.95,1919.0,1926.5,1947.15,740405
Cummins India Limited,CUMMINSIND,2023-12-14,1971.0,1979.5,1935.0,1947.15,1964.35,738402
Cummins India Limited,CUMMINSIND,2023-12-13,1940.0,1972.95,1910.7,1964.35,1928.7,440298
Cummins India Limited,CUMMINSIND,2023-12-12,2013.95,2019.4,1835.55,1928.7,2001.2,1063056
Cummins India Limited,CUMMINSIND,2023-12-11,1952.0,2010.0,1934.45,2001.2,1949.35,562772
Cummins India Limited,CUMMINSIND,2023-12-08,1960.0,1967.2,1927.05,1949.35,1956.9,253118
Cummins India Limited,CUMMINSIND,2023-12-07,1955.8,1960.0,1922.8,1956.9,1955.8,321470
Cummins India Limited,CUMMINSIND,2023-12-06,1953.0,1978.75,1948.8,1955.8,1960.15,263761
Cummins India Limited,CUMMINSIND,2023-12-05,1965.0,1987.75,1933.2,1960.15,1953.9,356762
Cummins India Limited,CUMMINSIND,2023-12-04,1934.95,1959.9,1921.5,1953.9,1920.2,668617
Cummins India Limited,CUMMINSIND,2023-12-01,1911.15,1929.0,1898.0,1920.2,1909.1,326619
Cummins India Limited,CUMMINSIND,2023-11-30,1873.65,1920.0,1865.1,1909.1,1873.65,1324591
