StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Dabur India Limited,DABUR,2024-03-28,522.0,526.0,517.75,523.15,521.65,2312982
Dabur India Limited,DABUR,2024-03-27,524.0,524.4,519.1,521.65,521.1,2638465
Dabur India Limited,DABUR,2024-03-26,512.6,522.25,512.6,521.1,520.8,1961179
Dabur India Limited,DABUR,2024-03-22,524.0,527.35,519.0,520.8,523.95,1072318
Dabur India Limited,DABUR,2024-03-21,522.25,525.65,518.5,523.95,520.2,973386
Dabur India Limited,DABUR,2024-03-20,518.35,521.2,512.0,520.2,518.35,925067
Dabur India Limited,DABUR,2024-03-19,523.25,530.0,516.55,518.35,523.6,2071489
Dabur India Limited,DABUR,2024-03-18,526.55,526.55,521.1,523.6,526.55,1247334
Dabur India Limited,DABUR,2024-03-15,528.95,530.35,524.25,526.55,529.65,1710825
Dabur India Limited,DABUR,2024-03-14,517.0,530.8,516.15,529.65,519.95,2047715
Dabur India Limited,DABUR,2024-03-13,529.55,531.4,515.8,519.95,529.0,2666699
Dabur India Limited,DABUR,2024-03-12,530.55,532.3,525.85,529.0,533.4,1011782
Dabur India Limited,DABUR,2024-03-11,535.25,538.4,531.6,533.4,535.25,984138
Dabur India Limited,DABUR,2024-03-07,531.5,537.75,530.5,535.25,531.5,894981
Dabur India Limited,DABUR,2024-03-06,534.8,536.0,528.25,531.5,534.75,1082367
Dabur India Limited,DABUR,2024-03-05,535.15,536.8,533.05,534.75,537.3,1464768
Dabur India Limited,DABUR,2024-03-04,538.0,539.7,531.8,537.3,538.6,2030164
Dabur India Limited,DABUR,2024-03-02,541.15,542.0,536.1,538.6,541.1,112240
Dabur India Limited,DABUR,2024-03-01,538.15,544.95,538.15,541.1,538.15,762406
Dabur India Limited,DABUR,2024-02-29,536.3,539.35,532.3,538.15,536.25,2453976
Dabur India Limited,DABUR,2024-02-28,535.35,541.45,531.9,536.25,535.6,2697005
Dabur India Limited,DABUR,2024-02-27,527.9,538.2,526.0,535.6,529.25,2954271
Dabur India Limited,DABUR,2024-02-26,534.15,537.1,526.85,529.25,535.3,1180365
Dabur India Limited,DABUR,2024-02-23,542.1,544.55,534.25,535.3,541.6,1160683
Dabur India Limited,DABUR,2024-02-22,546.5,546.5,538.65,541.6,546.3,1264327
Dabur India Limited,DABUR,2024-02-21,547.6,549.85,544.35,546.3,547.55,1636393
Dabur India Limited,DABUR,2024-02-20,551.2,551.2,543.0,547.55,547.65,1057848
Dabur India Limited,DABUR,2024-02-19,545.0,550.2,540.25,547.65,544.5,1353397
Dabur India Limited,DABUR,2024-02-16,545.1,547.85,541.0,544.5,544.2,839405
Dabur India Limited,DABUR,2024-02-15,545.95,547.35,540.9,544.2,544.3,1006711
Dabur India Limited,DABUR,2024-02-14,533.55,545.25,533.25,544.3,538.75,828939
Dabur India Limited,DABUR,2024-02-13,536.35,539.9,531.15,538.75,536.55,725665
Dabur India Limited,DABUR,2024-02-12,539.2,543.75,535.4,536.55,539.2,1454041
Dabur India Limited,DABUR,2024-02-09,534.9,540.0,528.65,539.2,533.95,1786915
Dabur India Limited,DABUR,2024-02-08,539.7,541.0,532.0,533.95,537.4,1488521
Dabur India Limited,DABUR,2024-02-07,533.15,538.45,530.65,537.4,532.7,1784199
Dabur India Limited,DABUR,2024-02-06,534.25,537.4,531.25,532.7,533.65,1247440
Dabur India Limited,DABUR,2024-02-05,543.0,544.8,532.3,533.65,544.65,1417520
Dabur India Limited,DABUR,2024-02-02,554.5,559.0,539.75,544.65,554.4,3318354
Dabur India Limited,DABUR,2024-02-01,547.0,575.5,547.0,554.4,539.6,11117689
Dabur India Limited,DABUR,2024-01-31,535.95,545.6,534.0,539.6,535.95,3475918
Dabur India Limited,DABUR,2024-01-30,534.25,537.7,533.25,535.95,534.25,1603876
Dabur India Limited,DABUR,2024-01-29,515.0,535.95,515.0,534.25,531.6,1316110
Dabur India Limited,DABUR,2024-01-25,536.6,537.55,529.05,531.6,536.6,924085
Dabur India Limited,DABUR,2024-01-24,525.75,537.4,522.2,536.6,524.8,914551
Dabur India Limited,DABUR,2024-01-23,544.4,544.4,522.6,524.8,538.4,2256565
Dabur India Limited,DABUR,2024-01-20,543.0,545.25,535.65,538.4,542.3,458895
Dabur India Limited,DABUR,2024-01-19,543.25,543.95,539.55,542.3,539.45,1965102
