StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Dalmia Bharat Limited,DALBHARAT,2024-03-28,1956.0,1977.0,1935.1,1942.15,1957.85,650389
Dalmia Bharat Limited,DALBHARAT,2024-03-27,1961.0,2003.45,1950.1,1957.85,1961.2,988773
Dalmia Bharat Limited,DALBHARAT,2024-03-26,1928.7,1970.0,1928.7,1961.2,1959.25,232888
Dalmia Bharat Limited,DALBHARAT,2024-03-22,1920.0,1970.8,1907.6,1959.25,1922.15,219824
Dalmia Bharat Limited,DALBHARAT,2024-03-21,1900.1,1924.5,1898.45,1922.15,1895.05,154710
Dalmia Bharat Limited,DALBHARAT,2024-03-20,1888.95,1908.5,1849.65,1895.05,1884.4,604621
Dalmia Bharat Limited,DALBHARAT,2024-03-19,1894.85,1894.85,1865.8,1884.4,1884.95,279862
Dalmia Bharat Limited,DALBHARAT,2024-03-18,1881.05,1898.4,1851.25,1884.95,1880.4,320363
Dalmia Bharat Limited,DALBHARAT,2024-03-15,1870.0,1893.9,1854.7,1880.4,1867.05,399126
Dalmia Bharat Limited,DALBHARAT,2024-03-14,1827.0,1877.95,1821.6,1867.05,1825.5,242860
Dalmia Bharat Limited,DALBHARAT,2024-03-13,1909.15,1919.5,1803.15,1825.5,1909.15,450072
Dalmia Bharat Limited,DALBHARAT,2024-03-12,1945.0,1950.0,1891.1,1909.15,1939.25,588682
Dalmia Bharat Limited,DALBHARAT,2024-03-11,1961.2,1977.95,1935.0,1939.25,1961.2,318811
Dalmia Bharat Limited,DALBHARAT,2024-03-07,1931.1,1973.95,1931.1,1961.2,1945.95,242073
Dalmia Bharat Limited,DALBHARAT,2024-03-06,1996.0,1998.45,1916.15,1945.95,1995.95,399091
Dalmia Bharat Limited,DALBHARAT,2024-03-05,2040.0,2049.95,1985.0,1995.95,2027.05,198945
Dalmia Bharat Limited,DALBHARAT,2024-03-04,2085.0,2103.15,2021.75,2027.05,2065.3,241075
Dalmia Bharat Limited,DALBHARAT,2024-03-02,2060.0,2073.0,2018.05,2065.3,2055.45,7192
Dalmia Bharat Limited,DALBHARAT,2024-03-01,2025.0,2061.05,2025.0,2055.45,2024.9,219759
Dalmia Bharat Limited,DALBHARAT,2024-02-29,2002.25,2038.45,1986.3,2024.9,2016.95,280293
Dalmia Bharat Limited,DALBHARAT,2024-02-28,2070.0,2085.15,2002.65,2016.95,2072.65,249809
Dalmia Bharat Limited,DALBHARAT,2024-02-27,2102.0,2114.15,2065.6,2072.65,2113.65,362622
Dalmia Bharat Limited,DALBHARAT,2024-02-26,2094.45,2122.5,2081.2,2113.65,2089.7,338763
Dalmia Bharat Limited,DALBHARAT,2024-02-23,2120.0,2120.85,2080.25,2089.7,2107.15,432856
Dalmia Bharat Limited,DALBHARAT,2024-02-22,2087.9,2110.85,2062.05,2107.15,2086.95,620952
Dalmia Bharat Limited,DALBHARAT,2024-02-21,2080.0,2126.9,2075.6,2086.95,2085.55,430199
Dalmia Bharat Limited,DALBHARAT,2024-02-20,2101.7,2108.3,2072.0,2085.55,2101.7,334011
Dalmia Bharat Limited,DALBHARAT,2024-02-19,2084.6,2127.95,2084.6,2101.7,2084.6,292776
Dalmia Bharat Limited,DALBHARAT,2024-02-16,2051.5,2116.65,2051.4,2084.6,2046.35,435123
Dalmia Bharat Limited,DALBHARAT,2024-02-15,2055.0,2067.95,2035.2,2046.35,2051.35,271961
Dalmia Bharat Limited,DALBHARAT,2024-02-14,2032.2,2063.5,2027.05,2051.35,2062.9,232957
Dalmia Bharat Limited,DALBHARAT,2024-02-13,2077.9,2077.95,2005.0,2062.9,2052.15,328542
Dalmia Bharat Limited,DALBHARAT,2024-02-12,2149.0,2149.0,2033.5,2052.15,2127.2,379042
Dalmia Bharat Limited,DALBHARAT,2024-02-09,2114.05,2136.7,2068.2,2127.2,2100.35,311415
Dalmia Bharat Limited,DALBHARAT,2024-02-08,2180.0,2187.55,2087.55,2100.35,2170.8,777828
Dalmia Bharat Limited,DALBHARAT,2024-02-07,2225.5,2225.5,2160.8,2170.8,2189.75,147590
Dalmia Bharat Limited,DALBHARAT,2024-02-06,2214.85,2226.0,2180.8,2189.75,2193.55,740253
Dalmia Bharat Limited,DALBHARAT,2024-02-05,2259.1,2270.2,2178.0,2193.55,2259.1,382206
Dalmia Bharat Limited,DALBHARAT,2024-02-02,2300.0,2300.0,2255.0,2259.1,2280.4,247026
Dalmia Bharat Limited,DALBHARAT,2024-02-01,2300.0,2300.0,2266.5,2280.4,2279.8,453265
Dalmia Bharat Limited,DALBHARAT,2024-01-31,2260.05,2294.95,2256.65,2279.8,2260.05,298496
Dalmia Bharat Limited,DALBHARAT,2024-01-30,2241.4,2285.95,2237.65,2260.05,2256.45,290576
Dalmia Bharat Limited,DALBHARAT,2024-01-29,2228.0,2278.35,2221.0,2256.45,2205.05,458573
Dalmia Bharat Limited,DALBHARAT,2024-01-25,2154.75,2154.75,2154.75,2154.75,2290.0,234138
Dalmia Bharat Limited,DALBHARAT,2024-01-25,2185.0,2218.95,2141.85,2205.05,2154.75,694448
Dalmia Bharat Limited,DALBHARAT,2024-01-24,2119.9,2174.0,2071.05,2154.75,2108.9,710787
Dalmia Bharat Limited,DALBHARAT,2024-01-23,2210.0,2219.95,2101.7,2108.9,2207.7,288555
Dalmia Bharat Limited,DALBHARAT,2024-01-20,2240.0,2241.5,2200.0,2207.7,2214.4,56612
Dalmia Bharat Limited,DALBHARAT,2024-01-19,2198.0,2220.0,2165.45,2214.4,2181.45,555621
Dalmia Bharat Limited,DALBHARAT,2024-01-18,2190.0,2200.45,2135.5,2181.45,2191.7,298160
Dalmia Bharat Limited,DALBHARAT,2024-01-17,2258.35,2275.7,2181.0,2191.7,2258.35,354131
Dalmia Bharat Limited,DALBHARAT,2024-01-16,2297.65,2303.15,2233.4,2258.35,2293.25,451024
Dalmia Bharat Limited,DALBHARAT,2024-01-15,2308.0,2336.95,2282.5,2293.25,2303.5,221713
Dalmia Bharat Limited,DALBHARAT,2024-01-12,2320.0,2327.25,2282.45,2303.5,2307.3,255101
Dalmia Bharat Limited,DALBHARAT,2024-01-11,2300.0,2314.15,2260.05,2307.3,2288.6,313637
Dalmia Bharat Limited,DALBHARAT,2024-01-10,2322.95,2322.95,2264.75,2288.6,2306.75,226393
Dalmia Bharat Limited,DALBHARAT,2024-01-09,2338.4,2368.0,2298.65,2306.75,2330.35,385639
Dalmia Bharat Limited,DALBHARAT,2024-01-08,2393.1,2405.0,2298.2,2330.35,2390.7,371369
Dalmia Bharat Limited,DALBHARAT,2024-01-05,2365.0,2428.6,2341.05,2390.7,2361.0,665883
Dalmia Bharat Limited,DALBHARAT,2024-01-04,2320.0,2365.0,2304.2,2361.0,2307.65,268910
Dalmia Bharat Limited,DALBHARAT,2024-01-03,2334.9,2334.9,2301.05,2307.65,2320.55,135305
Dalmia Bharat Limited,DALBHARAT,2024-01-02,2370.0,2378.2,2289.05,2320.55,2361.25,297631
Dalmia Bharat Limited,DALBHARAT,2024-01-01,2307.5,2382.0,2301.0,2361.25,2275.2,802488
Dalmia Bharat Limited,DALBHARAT,2023-12-29,2290.95,2307.6,2262.55,2275.2,2290.1,140140
Dalmia Bharat Limited,DALBHARAT,2023-12-29,2290.0,2290.0,2290.0,2290.0,2201.0,240000
Dalmia Bharat Limited,DALBHARAT,2023-12-28,2316.1,2348.65,2281.95,2290.1,2320.05,583808
Dalmia Bharat Limited,DALBHARAT,2023-12-27,2252.5,2362.0,2241.55,2320.05,2239.05,1081795
Dalmia Bharat Limited,DALBHARAT,2023-12-26,2220.2,2263.8,2201.55,2239.05,2194.2,259059
Dalmia Bharat Limited,DALBHARAT,2023-12-22,2236.05,2245.8,2188.0,2194.2,2239.8,248245
Dalmia Bharat Limited,DALBHARAT,2023-12-22,2201.0,2201.0,2201.0,2201.0,1667.9,653000
Dalmia Bharat Limited,DALBHARAT,2023-12-21,2188.2,2244.55,2137.2,2239.8,2184.25,348713
Dalmia Bharat Limited,DALBHARAT,2023-12-20,2320.0,2337.3,2171.35,2184.25,2313.25,479524
Dalmia Bharat Limited,DALBHARAT,2023-12-19,2339.9,2362.0,2304.5,2313.25,2339.15,184582
Dalmia Bharat Limited,DALBHARAT,2023-12-18,2365.9,2380.0,2324.35,2339.15,2362.0,182957
Dalmia Bharat Limited,DALBHARAT,2023-12-15,2417.0,2417.0,2351.0,2362.0,2406.65,280164
Dalmia Bharat Limited,DALBHARAT,2023-12-14,2376.4,2430.7,2363.0,2406.65,2376.4,474283
Dalmia Bharat Limited,DALBHARAT,2023-12-13,2375.05,2390.0,2349.35,2376.4,2383.4,321308
Dalmia Bharat Limited,DALBHARAT,2023-12-12,2374.0,2390.0,2345.3,2383.4,2345.95,518878
Dalmia Bharat Limited,DALBHARAT,2023-12-11,2335.1,2355.25,2303.6,2345.95,2331.2,247712
Dalmia Bharat Limited,DALBHARAT,2023-12-08,2358.1,2375.0,2293.65,2331.2,2358.65,329996
Dalmia Bharat Limited,DALBHARAT,2023-12-07,2379.95,2379.95,2342.55,2358.65,2361.0,318560
Dalmia Bharat Limited,DALBHARAT,2023-12-06,2374.0,2374.0,2305.25,2361.0,2349.35,488652
Dalmia Bharat Limited,DALBHARAT,2023-12-05,2300.7,2361.0,2293.45,2349.35,2307.55,593144
Dalmia Bharat Limited,DALBHARAT,2023-12-04,2268.1,2328.9,2268.1,2307.55,2265.15,608378
Dalmia Bharat Limited,DALBHARAT,2023-12-01,2245.35,2275.0,2219.55,2265.15,2217.55,354401
Dalmia Bharat Limited,DALBHARAT,2023-11-30,2195.0,2251.65,2192.2,2217.55,2202.6,2753466
Dalmia Bharat Limited,DALBHARAT,2023-11-29,2216.0,2242.85,2178.75,2202.6,2206.2,303993
Dalmia Bharat Limited,DALBHARAT,2023-11-28,2230.0,2252.2,2201.6,2206.2,2231.1,262585
Dalmia Bharat Limited,DALBHARAT,2023-11-24,2190.0,2260.45,2164.05,2231.1,2185.0,464733
Dalmia Bharat Limited,DALBHARAT,2023-11-23,2170.0,2204.95,2157.65,2185.0,2155.25,275629
Dalmia Bharat Limited,DALBHARAT,2023-11-22,2212.4,2216.0,2141.8,2155.25,2212.4,217410
Dalmia Bharat Limited,DALBHARAT,2023-11-21,2205.0,2228.6,2191.85,2212.4,2203.4,275073
Dalmia Bharat Limited,DALBHARAT,2023-11-20,2209.95,2219.95,2184.5,2203.4,2207.65,371620
Dalmia Bharat Limited,DALBHARAT,2023-11-17,2165.0,2218.0,2152.1,2207.65,2161.1,415479
Dalmia Bharat Limited,DALBHARAT,2023-11-16,2139.0,2166.75,2109.6,2161.1,2122.2,209388
Dalmia Bharat Limited,DALBHARAT,2023-11-15,2190.5,2190.5,2117.0,2122.2,2110.5,466308
Dalmia Bharat Limited,DALBHARAT,2023-11-13,2100.0,2119.75,2091.0,2110.5,2104.6,64937
Dalmia Bharat Limited,DALBHARAT,2023-11-12,2124.0,2124.0,2095.2,2104.6,2089.5,37811
Dalmia Bharat Limited,DALBHARAT,2023-11-10,2081.25,2105.0,2066.1,2089.5,2094.45,153274
Dalmia Bharat Limited,DALBHARAT,2023-11-09,2128.95,2136.9,2090.0,2094.45,2123.8,90423
Dalmia Bharat Limited,DALBHARAT,2023-11-08,2081.0,2150.0,2081.0,2123.8,2089.7,337527
Dalmia Bharat Limited,DALBHARAT,2023-11-07,2117.5,2119.95,2072.05,2089.7,2099.9,173203
Dalmia Bharat Limited,DALBHARAT,2023-11-06,2073.7,2113.45,2073.7,2099.9,2073.65,202015
Dalmia Bharat Limited,DALBHARAT,2023-11-03,2092.0,2100.0,2066.8,2073.65,2077.3,107498
Dalmia Bharat Limited,DALBHARAT,2023-11-02,2079.95,2103.95,2070.45,2077.3,2072.5,199015
Dalmia Bharat Limited,DALBHARAT,2023-11-01,2119.4,2119.4,2065.05,2072.5,2104.25,183930
Dalmia Bharat Limited,DALBHARAT,2023-10-31,2054.9,2109.8,2050.05,2104.25,2043.95,481220
Dalmia Bharat Limited,DALBHARAT,2023-10-30,2049.2,2070.05,2025.0,2043.95,2038.5,232897
Dalmia Bharat Limited,DALBHARAT,2023-10-27,2026.2,2055.4,2023.65,2038.5,2015.6,159841
Dalmia Bharat Limited,DALBHARAT,2023-10-26,2040.05,2050.6,1995.05,2015.6,2057.25,242006
Dalmia Bharat Limited,DALBHARAT,2023-10-25,2074.95,2096.3,2040.4,2057.25,2075.45,289021
Dalmia Bharat Limited,DALBHARAT,2023-10-23,2169.4,2169.4,2045.1,2075.45,2158.05,841644
Dalmia Bharat Limited,DALBHARAT,2023-10-20,2214.8,2214.9,2151.85,2158.05,2208.0,334304
