StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Data Patterns (India) Limited,DATAPATTNS,2024-03-28,2490.0,2495.1,2408.0,2422.0,2456.05,153271
Data Patterns (India) Limited,DATAPATTNS,2024-03-27,2376.9,2487.45,2357.6,2456.05,2347.45,432498
Data Patterns (India) Limited,DATAPATTNS,2024-03-26,2301.05,2389.4,2301.0,2347.45,2328.35,154303
Data Patterns (India) Limited,DATAPATTNS,2024-03-22,2371.95,2371.95,2300.0,2328.35,2352.1,139560
Data Patterns (India) Limited,DATAPATTNS,2024-03-21,2295.0,2386.6,2265.0,2352.1,2254.6,245041
Data Patterns (India) Limited,DATAPATTNS,2024-03-20,2250.0,2283.95,2210.0,2254.6,2245.2,151009
Data Patterns (India) Limited,DATAPATTNS,2024-03-19,2350.0,2351.0,2226.95,2245.2,2338.4,214928
Data Patterns (India) Limited,DATAPATTNS,2024-03-18,2363.1,2446.95,2322.0,2338.4,2363.85,215180
Data Patterns (India) Limited,DATAPATTNS,2024-03-15,2410.15,2436.0,2270.0,2363.85,2379.2,354905
Data Patterns (India) Limited,DATAPATTNS,2024-03-14,2120.25,2401.55,2101.0,2379.2,2183.25,537063
Data Patterns (India) Limited,DATAPATTNS,2024-03-13,2420.0,2463.6,2181.5,2183.25,2423.85,619844
Data Patterns (India) Limited,DATAPATTNS,2024-03-12,2542.1,2555.0,2400.0,2423.85,2555.45,277203
Data Patterns (India) Limited,DATAPATTNS,2024-03-11,2720.0,2722.85,2538.0,2555.45,2698.1,265622
Data Patterns (India) Limited,DATAPATTNS,2024-03-07,2797.7,2797.7,2665.0,2698.1,2634.4,312456
Data Patterns (India) Limited,DATAPATTNS,2024-03-06,2709.9,2799.0,2568.65,2634.4,2669.9,410898
Data Patterns (India) Limited,DATAPATTNS,2024-03-05,2930.0,2939.85,2635.1,2669.9,2894.1,694807
Data Patterns (India) Limited,DATAPATTNS,2024-03-04,2800.0,3080.0,2799.0,2894.1,2796.05,1880574
Data Patterns (India) Limited,DATAPATTNS,2024-03-02,2704.0,2796.05,2703.0,2796.05,2662.95,127552
Data Patterns (India) Limited,DATAPATTNS,2024-03-01,2495.05,2699.9,2471.3,2662.95,2484.35,898910
Data Patterns (India) Limited,DATAPATTNS,2024-02-29,2488.0,2547.75,2405.0,2484.35,2490.75,289201
