StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
DCM Shriram Limited,DCMSHRIRAM,2024-03-28,860.45,874.65,832.4,854.25,860.45,53995
DCM Shriram Limited,DCMSHRIRAM,2024-03-27,871.0,882.0,854.0,860.45,866.4,59630
DCM Shriram Limited,DCMSHRIRAM,2024-03-26,890.0,892.25,862.8,866.4,887.8,61376
DCM Shriram Limited,DCMSHRIRAM,2024-03-22,898.0,899.0,885.0,887.8,894.8,30809
DCM Shriram Limited,DCMSHRIRAM,2024-03-21,885.0,906.9,885.0,894.8,880.2,24115
DCM Shriram Limited,DCMSHRIRAM,2024-03-20,892.75,898.0,860.95,880.2,888.75,51722
DCM Shriram Limited,DCMSHRIRAM,2024-03-19,891.0,898.15,881.0,888.75,895.0,36737
DCM Shriram Limited,DCMSHRIRAM,2024-03-18,872.2,937.7,872.2,895.0,867.85,693700
DCM Shriram Limited,DCMSHRIRAM,2024-03-15,880.0,890.0,860.25,867.85,872.05,24313
DCM Shriram Limited,DCMSHRIRAM,2024-03-14,861.85,881.4,859.1,872.05,863.15,33349
DCM Shriram Limited,DCMSHRIRAM,2024-03-13,918.45,918.45,855.5,863.15,912.35,71137
DCM Shriram Limited,DCMSHRIRAM,2024-03-12,915.95,920.55,902.65,912.35,915.95,49676
DCM Shriram Limited,DCMSHRIRAM,2024-03-11,960.0,960.0,907.1,915.95,946.7,40140
DCM Shriram Limited,DCMSHRIRAM,2024-03-07,951.3,953.95,936.85,946.7,945.0,15312
DCM Shriram Limited,DCMSHRIRAM,2024-03-06,960.35,960.8,938.0,945.0,960.35,25754
DCM Shriram Limited,DCMSHRIRAM,2024-03-05,974.3,975.05,951.2,960.35,966.0,36459
DCM Shriram Limited,DCMSHRIRAM,2024-03-04,975.85,976.7,962.0,966.0,971.8,25832
DCM Shriram Limited,DCMSHRIRAM,2024-03-02,965.95,985.0,965.95,971.8,962.25,3726
DCM Shriram Limited,DCMSHRIRAM,2024-03-01,960.7,973.15,951.55,962.25,954.1,27753
DCM Shriram Limited,DCMSHRIRAM,2024-02-29,982.0,982.0,945.55,954.1,977.1,36760
DCM Shriram Limited,DCMSHRIRAM,2024-02-28,1006.9,1006.9,972.55,977.1,1004.05,46730
DCM Shriram Limited,DCMSHRIRAM,2024-02-27,983.3,1027.0,968.75,1004.05,976.8,218018
DCM Shriram Limited,DCMSHRIRAM,2024-02-26,999.0,999.95,971.05,976.8,995.9,21108
DCM Shriram Limited,DCMSHRIRAM,2024-02-23,979.25,1001.0,974.75,995.9,972.75,45234
DCM Shriram Limited,DCMSHRIRAM,2024-02-22,974.2,984.15,965.85,972.75,969.35,20971
DCM Shriram Limited,DCMSHRIRAM,2024-02-21,981.0,981.2,964.3,969.35,974.5,20664
DCM Shriram Limited,DCMSHRIRAM,2024-02-20,978.5,984.95,970.0,974.5,978.5,18467
DCM Shriram Limited,DCMSHRIRAM,2024-02-19,987.0,994.5,973.25,978.5,982.45,21619
DCM Shriram Limited,DCMSHRIRAM,2024-02-16,995.0,996.3,978.3,982.45,984.4,18160
DCM Shriram Limited,DCMSHRIRAM,2024-02-15,990.0,995.0,974.15,984.4,973.15,31945
DCM Shriram Limited,DCMSHRIRAM,2024-02-14,955.15,981.1,955.15,973.15,977.65,28574
DCM Shriram Limited,DCMSHRIRAM,2024-02-13,984.35,986.0,965.05,977.65,979.45,24454
DCM Shriram Limited,DCMSHRIRAM,2024-02-12,1005.5,1005.5,975.0,979.45,998.35,52228
DCM Shriram Limited,DCMSHRIRAM,2024-02-09,1003.9,1009.95,976.1,998.35,997.15,30412
DCM Shriram Limited,DCMSHRIRAM,2024-02-08,1007.1,1010.0,988.0,997.15,1002.05,29987
DCM Shriram Limited,DCMSHRIRAM,2024-02-07,1019.9,1033.2,995.5,1002.05,1000.95,30503
DCM Shriram Limited,DCMSHRIRAM,2024-02-06,1017.85,1026.2,993.0,1000.95,1019.35,42749
DCM Shriram Limited,DCMSHRIRAM,2024-02-05,1016.0,1029.3,1004.15,1019.35,1015.9,49404
DCM Shriram Limited,DCMSHRIRAM,2024-02-02,1028.6,1037.05,1011.5,1015.9,1028.6,40908
DCM Shriram Limited,DCMSHRIRAM,2024-02-01,1042.0,1042.05,987.8,1028.6,1039.95,116475
DCM Shriram Limited,DCMSHRIRAM,2024-01-31,1007.7,1052.05,1004.75,1039.95,1007.7,83307
DCM Shriram Limited,DCMSHRIRAM,2024-01-30,1000.0,1013.9,996.1,1007.7,1005.85,26774
DCM Shriram Limited,DCMSHRIRAM,2024-01-29,999.05,1023.0,995.0,1005.85,999.05,48613
DCM Shriram Limited,DCMSHRIRAM,2024-01-25,1019.0,1019.05,992.5,999.05,1019.05,26838
DCM Shriram Limited,DCMSHRIRAM,2024-01-24,989.95,1020.0,965.1,1019.05,992.05,188005
DCM Shriram Limited,DCMSHRIRAM,2024-01-23,1026.15,1026.2,969.1,992.05,1019.8,71039
DCM Shriram Limited,DCMSHRIRAM,2024-01-20,1038.8,1038.8,1017.5,1019.8,1031.05,29738
DCM Shriram Limited,DCMSHRIRAM,2024-01-19,1013.95,1049.0,1005.1,1031.05,1004.1,250374
DCM Shriram Limited,DCMSHRIRAM,2024-01-18,993.0,1007.9,973.05,1004.1,985.75,86217
DCM Shriram Limited,DCMSHRIRAM,2024-01-17,1017.05,1024.95,976.5,985.75,1017.8,125524
DCM Shriram Limited,DCMSHRIRAM,2024-01-16,1039.95,1043.45,1010.7,1017.8,1032.05,70822
DCM Shriram Limited,DCMSHRIRAM,2024-01-15,1042.2,1047.75,1027.35,1032.05,1037.05,37622
DCM Shriram Limited,DCMSHRIRAM,2024-01-12,1048.9,1060.0,1030.0,1037.05,1048.75,86653
DCM Shriram Limited,DCMSHRIRAM,2024-01-11,1041.1,1054.85,1032.0,1048.75,1034.2,96092
DCM Shriram Limited,DCMSHRIRAM,2024-01-10,1057.45,1059.8,1025.0,1034.2,1050.3,106989
DCM Shriram Limited,DCMSHRIRAM,2024-01-09,1066.0,1086.1,1046.0,1050.3,1064.2,131842
DCM Shriram Limited,DCMSHRIRAM,2024-01-08,1080.05,1098.0,1040.1,1064.2,1077.7,158759
DCM Shriram Limited,DCMSHRIRAM,2024-01-05,1141.5,1141.5,1059.9,1077.7,1141.45,572186
DCM Shriram Limited,DCMSHRIRAM,2024-01-04,1040.0,1175.0,1026.6,1141.45,1038.35,615281
DCM Shriram Limited,DCMSHRIRAM,2024-01-03,1044.0,1050.0,1028.1,1038.35,1039.65,71527
DCM Shriram Limited,DCMSHRIRAM,2024-01-02,1036.5,1045.0,1020.6,1039.65,1028.9,155526
DCM Shriram Limited,DCMSHRIRAM,2024-01-01,1028.4,1050.0,1025.0,1028.9,1028.4,132595
DCM Shriram Limited,DCMSHRIRAM,2023-12-29,1044.95,1049.65,1023.0,1028.4,1042.7,46840
DCM Shriram Limited,DCMSHRIRAM,2023-12-28,1053.15,1068.95,1038.3,1042.7,1047.9,55728
DCM Shriram Limited,DCMSHRIRAM,2023-12-27,1057.7,1069.0,1037.55,1047.9,1052.4,66469
DCM Shriram Limited,DCMSHRIRAM,2023-12-26,1055.0,1077.15,1043.0,1052.4,1060.95,160883
DCM Shriram Limited,DCMSHRIRAM,2023-12-22,1074.0,1097.9,1044.35,1060.95,1068.55,105945
DCM Shriram Limited,DCMSHRIRAM,2023-12-21,1049.95,1091.2,1038.1,1068.55,1081.25,183485
DCM Shriram Limited,DCMSHRIRAM,2023-12-20,1115.95,1122.8,1060.1,1081.25,1106.8,470886
DCM Shriram Limited,DCMSHRIRAM,2023-12-19,997.95,1145.95,997.95,1106.8,997.95,3985510
DCM Shriram Limited,DCMSHRIRAM,2023-12-18,975.0,1004.95,975.0,997.95,974.9,90411
DCM Shriram Limited,DCMSHRIRAM,2023-12-15,980.0,989.0,971.55,974.9,976.55,64554
DCM Shriram Limited,DCMSHRIRAM,2023-12-14,976.7,988.0,966.55,976.55,976.7,41057
DCM Shriram Limited,DCMSHRIRAM,2023-12-13,976.25,979.8,964.1,976.7,971.35,42901
DCM Shriram Limited,DCMSHRIRAM,2023-12-12,962.0,979.5,962.0,971.35,960.15,44317
DCM Shriram Limited,DCMSHRIRAM,2023-12-11,950.0,970.0,950.0,960.15,949.45,38198
DCM Shriram Limited,DCMSHRIRAM,2023-12-08,980.0,988.8,940.75,949.45,986.55,70857
DCM Shriram Limited,DCMSHRIRAM,2023-12-07,991.85,996.25,970.5,986.55,993.55,53146
DCM Shriram Limited,DCMSHRIRAM,2023-12-06,981.0,998.0,977.55,993.55,980.35,51978
DCM Shriram Limited,DCMSHRIRAM,2023-12-05,973.8,987.95,969.05,980.35,973.8,44185
DCM Shriram Limited,DCMSHRIRAM,2023-12-04,975.0,985.8,958.5,973.8,969.8,51382
DCM Shriram Limited,DCMSHRIRAM,2023-12-01,959.6,978.95,951.0,969.8,959.6,78785
DCM Shriram Limited,DCMSHRIRAM,2023-11-30,943.0,963.95,943.0,959.6,957.9,48349
DCM Shriram Limited,DCMSHRIRAM,2023-11-29,949.9,963.9,945.0,957.9,948.95,73688
DCM Shriram Limited,DCMSHRIRAM,2023-11-28,938.55,956.0,928.15,948.95,938.55,50683
DCM Shriram Limited,DCMSHRIRAM,2023-11-24,910.0,965.0,902.85,938.55,901.5,523544
DCM Shriram Limited,DCMSHRIRAM,2023-11-23,904.0,910.0,896.0,901.5,900.2,26934
DCM Shriram Limited,DCMSHRIRAM,2023-11-22,900.0,904.6,891.0,900.2,898.45,20081
DCM Shriram Limited,DCMSHRIRAM,2023-11-21,892.45,906.0,890.45,898.45,888.0,23795
DCM Shriram Limited,DCMSHRIRAM,2023-11-20,908.8,912.45,885.5,888.0,904.25,28216
DCM Shriram Limited,DCMSHRIRAM,2023-11-17,906.85,913.85,900.05,904.25,906.75,28652
DCM Shriram Limited,DCMSHRIRAM,2023-11-16,911.0,917.8,900.75,906.75,902.65,30716
DCM Shriram Limited,DCMSHRIRAM,2023-11-15,905.0,905.9,890.1,902.65,883.4,41397
DCM Shriram Limited,DCMSHRIRAM,2023-11-13,895.0,905.0,880.1,883.4,892.65,40289
DCM Shriram Limited,DCMSHRIRAM,2023-11-12,893.0,897.0,883.8,892.65,883.8,8053
DCM Shriram Limited,DCMSHRIRAM,2023-11-10,877.0,894.4,877.0,883.8,881.7,30786
DCM Shriram Limited,DCMSHRIRAM,2023-11-09,892.7,894.1,873.2,881.7,888.0,36341
DCM Shriram Limited,DCMSHRIRAM,2023-11-08,882.0,897.0,880.55,888.0,884.65,46823
DCM Shriram Limited,DCMSHRIRAM,2023-11-07,895.0,898.0,882.15,884.65,888.8,21006
DCM Shriram Limited,DCMSHRIRAM,2023-11-06,876.15,890.0,876.15,888.8,876.0,35380
DCM Shriram Limited,DCMSHRIRAM,2023-11-03,873.1,884.0,862.1,876.0,870.25,61785
DCM Shriram Limited,DCMSHRIRAM,2023-11-02,875.0,887.5,865.55,870.25,866.95,75920
DCM Shriram Limited,DCMSHRIRAM,2023-11-01,931.4,931.4,851.35,866.95,926.5,273556
DCM Shriram Limited,DCMSHRIRAM,2023-10-31,940.0,958.35,915.0,926.5,974.05,199129
DCM Shriram Limited,DCMSHRIRAM,2023-10-30,969.3,981.5,949.45,974.05,971.3,60238
DCM Shriram Limited,DCMSHRIRAM,2023-10-27,965.25,1012.9,954.55,971.3,965.25,105314
DCM Shriram Limited,DCMSHRIRAM,2023-10-26,975.05,987.7,958.5,965.25,975.05,43958
DCM Shriram Limited,DCMSHRIRAM,2023-10-25,974.0,1003.1,951.0,975.05,976.35,46804
DCM Shriram Limited,DCMSHRIRAM,2023-10-23,1006.0,1006.0,970.0,976.35,1001.4,54954
DCM Shriram Limited,DCMSHRIRAM,2023-10-20,1018.0,1022.1,995.0,1001.4,1019.8,30491
DCM Shriram Limited,DCMSHRIRAM,2023-10-19,1028.0,1032.1,1010.0,1019.8,1031.1,39278
DCM Shriram Limited,DCMSHRIRAM,2023-10-18,1014.2,1039.3,1000.0,1031.1,1009.15,83346
DCM Shriram Limited,DCMSHRIRAM,2023-10-17,1006.0,1019.0,1004.95,1009.15,1002.0,23537
DCM Shriram Limited,DCMSHRIRAM,2023-10-16,1008.6,1013.4,998.1,1002.0,1008.6,36754
DCM Shriram Limited,DCMSHRIRAM,2023-10-13,1012.0,1032.0,1004.0,1008.6,1021.25,39175
DCM Shriram Limited,DCMSHRIRAM,2023-10-12,1040.0,1055.0,1005.0,1021.25,1036.35,103036
DCM Shriram Limited,DCMSHRIRAM,2023-10-11,1053.0,1063.45,1030.2,1036.35,1049.5,42913
DCM Shriram Limited,DCMSHRIRAM,2023-10-10,1055.0,1071.2,1047.1,1049.5,1054.55,33480
DCM Shriram Limited,DCMSHRIRAM,2023-10-09,1092.75,1092.75,1050.2,1054.55,1088.95,55781
DCM Shriram Limited,DCMSHRIRAM,2023-10-06,1058.0,1100.0,1047.05,1088.95,1053.5,126106
DCM Shriram Limited,DCMSHRIRAM,2023-10-05,1050.05,1089.45,1050.05,1053.5,1081.3,83999
DCM Shriram Limited,DCMSHRIRAM,2023-10-04,1080.0,1090.0,1074.0,1081.3,1088.6,132210
DCM Shriram Limited,DCMSHRIRAM,2023-10-03,1089.55,1111.0,1066.3,1088.6,1089.55,188568
DCM Shriram Limited,DCMSHRIRAM,2023-09-29,1099.9,1110.0,1081.8,1089.55,1092.8,205167
DCM Shriram Limited,DCMSHRIRAM,2023-09-28,1059.95,1099.7,1049.1,1092.8,1059.95,263890
DCM Shriram Limited,DCMSHRIRAM,2023-09-27,1058.0,1068.0,1044.15,1059.95,1048.05,84714
DCM Shriram Limited,DCMSHRIRAM,2023-09-26,1067.0,1078.7,1043.0,1048.05,1062.25,90688
DCM Shriram Limited,DCMSHRIRAM,2023-09-25,1039.1,1073.95,1032.45,1062.25,1048.6,128585
DCM Shriram Limited,DCMSHRIRAM,2023-09-22,1051.05,1061.4,1035.6,1048.6,1060.6,103177
DCM Shriram Limited,DCMSHRIRAM,2023-09-21,1050.0,1064.95,1039.95,1060.6,1049.55,109366
DCM Shriram Limited,DCMSHRIRAM,2023-09-20,1045.0,1065.0,1028.0,1049.55,1043.75,167540
DCM Shriram Limited,DCMSHRIRAM,2023-09-18,1035.05,1058.0,1025.0,1043.75,1037.35,67487
DCM Shriram Limited,DCMSHRIRAM,2023-09-15,1034.95,1066.0,1031.0,1037.35,1048.5,70908
DCM Shriram Limited,DCMSHRIRAM,2023-09-14,1010.0,1091.75,992.45,1048.5,1013.3,337088
DCM Shriram Limited,DCMSHRIRAM,2023-09-13,985.3,1021.0,960.0,1013.3,980.1,61090
DCM Shriram Limited,DCMSHRIRAM,2023-09-12,1018.1,1028.85,970.15,980.1,1017.75,83514
DCM Shriram Limited,DCMSHRIRAM,2023-09-11,995.0,1020.0,995.0,1017.75,996.25,78495
DCM Shriram Limited,DCMSHRIRAM,2023-09-08,1008.05,1010.6,990.1,996.25,1008.05,41251
DCM Shriram Limited,DCMSHRIRAM,2023-09-07,984.95,1015.5,984.9,1008.05,981.3,193702
DCM Shriram Limited,DCMSHRIRAM,2023-09-05,1024.65,1033.65,971.45,981.75,1017.45,237171
DCM Shriram Limited,DCMSHRIRAM,2023-09-01,942.0,1118.5,936.15,1034.55,932.1,2014118
DCM Shriram Limited,DCMSHRIRAM,2023-08-31,955.9,964.4,921.2,932.1,945.0,83384
DCM Shriram Limited,DCMSHRIRAM,2023-08-30,916.0,955.75,908.0,945.0,915.7,245917
DCM Shriram Limited,DCMSHRIRAM,2023-08-29,905.65,930.0,898.7,915.7,905.65,129306
DCM Shriram Limited,DCMSHRIRAM,2023-08-28,901.1,915.0,900.0,905.65,901.1,20240
DCM Shriram Limited,DCMSHRIRAM,2023-08-25,905.5,905.5,895.0,901.1,900.75,16398
DCM Shriram Limited,DCMSHRIRAM,2023-08-24,910.0,911.0,896.3,900.75,901.2,19183
