StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-28,493.0,514.9,492.45,504.1,486.7,1512219
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-27,492.45,498.95,483.25,486.7,489.85,729281
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-26,486.0,494.7,483.25,489.85,484.2,815126
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-22,483.8,495.5,482.05,484.2,482.2,540826
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-21,484.0,492.3,480.0,482.2,483.7,576453
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-20,487.8,491.25,478.05,483.7,486.1,396470
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-19,489.9,493.0,482.3,486.1,487.05,409350
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-18,488.95,493.3,483.0,487.05,490.45,405657
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-15,471.95,495.5,466.1,490.45,472.55,752131
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-14,461.0,476.1,456.65,472.55,459.95,547384
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-13,496.95,497.9,450.0,459.95,492.95,935743
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-12,504.15,504.85,488.4,492.95,503.6,524968
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-11,515.0,516.65,501.0,503.6,513.35,317165
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-07,505.6,520.3,505.6,513.35,508.5,463380
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-06,521.9,521.9,502.0,508.5,521.95,657064
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-05,505.8,528.8,505.0,521.95,505.85,982834
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-04,514.0,514.8,504.95,505.85,511.45,231711
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-02,510.95,512.5,509.35,511.45,508.65,48032
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-03-01,509.2,513.15,507.05,508.65,505.75,263710
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-02-29,514.75,517.5,502.8,505.75,515.0,359325
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-02-28,515.4,518.05,511.6,515.0,514.95,476682
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-02-27,510.95,518.0,510.5,514.95,511.1,305971
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-02-26,523.15,523.15,510.0,511.1,520.25,509004
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-02-23,520.0,525.0,517.0,520.25,517.4,447992
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-02-22,523.0,524.5,511.0,517.4,522.05,697173
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-02-21,515.2,527.4,514.55,522.05,514.55,1849768
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-02-20,517.3,546.7,508.0,514.55,494.45,11983014
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,2024-02-19,501.15,501.6,493.6,494.45,494.5,574941
