StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Deepak Nitrite Limited,DEEPAKNTR,2024-03-28,2156.55,2168.95,2117.0,2125.5,2156.55,214589
Deepak Nitrite Limited,DEEPAKNTR,2024-03-27,2148.9,2180.75,2130.0,2156.55,2139.05,273112
Deepak Nitrite Limited,DEEPAKNTR,2024-03-26,2154.2,2171.7,2134.55,2139.05,2161.15,138132
Deepak Nitrite Limited,DEEPAKNTR,2024-03-22,2160.0,2183.3,2148.15,2161.15,2149.85,225223
Deepak Nitrite Limited,DEEPAKNTR,2024-03-21,2110.55,2155.0,2110.05,2149.85,2100.05,198270
Deepak Nitrite Limited,DEEPAKNTR,2024-03-20,2115.7,2130.0,2059.15,2100.05,2115.7,165795
Deepak Nitrite Limited,DEEPAKNTR,2024-03-19,2109.45,2139.0,2096.7,2115.7,2109.25,201055
Deepak Nitrite Limited,DEEPAKNTR,2024-03-18,2106.45,2120.9,2101.0,2109.25,2098.65,102446
Deepak Nitrite Limited,DEEPAKNTR,2024-03-15,2108.0,2123.55,2080.0,2098.65,2099.6,234166
Deepak Nitrite Limited,DEEPAKNTR,2024-03-14,2051.0,2109.0,2035.1,2099.6,2065.2,138189
Deepak Nitrite Limited,DEEPAKNTR,2024-03-13,2125.1,2145.95,2054.2,2065.2,2129.35,396878
Deepak Nitrite Limited,DEEPAKNTR,2024-03-12,2174.45,2175.0,2121.5,2129.35,2165.45,183290
Deepak Nitrite Limited,DEEPAKNTR,2024-03-11,2206.05,2215.15,2157.55,2165.45,2206.05,126299
Deepak Nitrite Limited,DEEPAKNTR,2024-03-07,2200.0,2250.0,2197.0,2206.05,2189.55,244118
Deepak Nitrite Limited,DEEPAKNTR,2024-03-06,2200.0,2201.75,2134.85,2189.55,2201.4,222308
Deepak Nitrite Limited,DEEPAKNTR,2024-03-05,2176.05,2227.0,2176.05,2201.4,2187.5,215185
Deepak Nitrite Limited,DEEPAKNTR,2024-03-04,2218.35,2238.05,2184.1,2187.5,2218.35,99205
Deepak Nitrite Limited,DEEPAKNTR,2024-03-02,2221.25,2235.0,2212.0,2218.35,2221.25,15433
Deepak Nitrite Limited,DEEPAKNTR,2024-03-01,2206.15,2234.8,2206.15,2221.25,2212.85,184530
Deepak Nitrite Limited,DEEPAKNTR,2024-02-29,2190.55,2223.65,2169.0,2212.85,2190.55,214547
Deepak Nitrite Limited,DEEPAKNTR,2024-02-28,2264.95,2274.75,2180.8,2190.55,2263.1,319676
Deepak Nitrite Limited,DEEPAKNTR,2024-02-27,2284.0,2304.7,2256.05,2263.1,2283.65,145591
Deepak Nitrite Limited,DEEPAKNTR,2024-02-26,2307.0,2314.6,2275.45,2283.65,2305.55,129553
Deepak Nitrite Limited,DEEPAKNTR,2024-02-23,2343.55,2362.0,2300.0,2305.55,2341.6,188350
Deepak Nitrite Limited,DEEPAKNTR,2024-02-22,2334.0,2352.35,2320.0,2341.6,2326.75,228509
Deepak Nitrite Limited,DEEPAKNTR,2024-02-21,2371.95,2378.0,2312.05,2326.75,2356.6,748700
Deepak Nitrite Limited,DEEPAKNTR,2024-02-20,2281.6,2368.05,2276.7,2356.6,2281.6,798999
Deepak Nitrite Limited,DEEPAKNTR,2024-02-19,2295.25,2314.85,2275.55,2281.6,2312.2,299424
Deepak Nitrite Limited,DEEPAKNTR,2024-02-16,2289.0,2323.25,2273.05,2312.2,2282.7,205382
Deepak Nitrite Limited,DEEPAKNTR,2024-02-15,2270.05,2334.0,2263.0,2282.7,2256.75,420659
Deepak Nitrite Limited,DEEPAKNTR,2024-02-14,2183.0,2270.55,2183.0,2256.75,2230.75,413434
Deepak Nitrite Limited,DEEPAKNTR,2024-02-13,2189.1,2238.3,2163.0,2230.75,2197.9,180054
Deepak Nitrite Limited,DEEPAKNTR,2024-02-12,2216.0,2251.0,2189.0,2197.9,2215.15,154953
Deepak Nitrite Limited,DEEPAKNTR,2024-02-09,2200.0,2222.4,2178.0,2215.15,2203.15,145845
Deepak Nitrite Limited,DEEPAKNTR,2024-02-08,2236.0,2247.35,2195.55,2203.15,2230.2,137498
Deepak Nitrite Limited,DEEPAKNTR,2024-02-07,2255.0,2268.75,2221.55,2230.2,2248.4,206048
Deepak Nitrite Limited,DEEPAKNTR,2024-02-06,2222.0,2266.7,2212.05,2248.4,2212.05,176374
Deepak Nitrite Limited,DEEPAKNTR,2024-02-05,2250.15,2268.0,2204.35,2212.05,2250.15,186156
Deepak Nitrite Limited,DEEPAKNTR,2024-02-02,2270.0,2280.0,2245.4,2250.15,2250.5,144886
Deepak Nitrite Limited,DEEPAKNTR,2024-02-01,2350.0,2357.95,2239.0,2250.5,2305.9,406784
Deepak Nitrite Limited,DEEPAKNTR,2024-01-31,2208.05,2320.0,2208.05,2305.9,2218.5,393059
Deepak Nitrite Limited,DEEPAKNTR,2024-01-30,2250.0,2265.35,2214.5,2218.5,2240.1,164594
Deepak Nitrite Limited,DEEPAKNTR,2024-01-29,2236.4,2250.0,2223.0,2240.1,2236.4,134590
Deepak Nitrite Limited,DEEPAKNTR,2024-01-25,2284.15,2294.95,2231.9,2236.4,2284.15,125374
Deepak Nitrite Limited,DEEPAKNTR,2024-01-24,2244.75,2292.0,2227.05,2284.15,2246.55,135521
Deepak Nitrite Limited,DEEPAKNTR,2024-01-23,2318.95,2340.15,2239.05,2246.55,2318.3,235127
Deepak Nitrite Limited,DEEPAKNTR,2024-01-20,2361.2,2387.15,2295.35,2318.3,2356.7,146780
Deepak Nitrite Limited,DEEPAKNTR,2024-01-19,2300.0,2407.45,2299.2,2356.7,2293.05,457836
Deepak Nitrite Limited,DEEPAKNTR,2024-01-18,2325.4,2346.9,2261.0,2293.05,2325.35,293820
Deepak Nitrite Limited,DEEPAKNTR,2024-01-17,2381.0,2420.35,2317.0,2325.35,2403.2,367496
Deepak Nitrite Limited,DEEPAKNTR,2024-01-16,2430.0,2456.2,2373.0,2403.2,2428.1,191471
Deepak Nitrite Limited,DEEPAKNTR,2024-01-15,2433.5,2452.4,2412.0,2428.1,2433.5,159205
Deepak Nitrite Limited,DEEPAKNTR,2024-01-12,2485.65,2498.0,2423.1,2433.5,2470.6,247469
Deepak Nitrite Limited,DEEPAKNTR,2024-01-11,2430.0,2480.35,2430.0,2470.6,2429.5,234273
Deepak Nitrite Limited,DEEPAKNTR,2024-01-10,2438.0,2450.0,2395.0,2429.5,2439.45,225912
Deepak Nitrite Limited,DEEPAKNTR,2024-01-09,2441.95,2459.05,2415.0,2439.45,2431.05,265428
Deepak Nitrite Limited,DEEPAKNTR,2024-01-08,2451.95,2459.95,2401.0,2431.05,2447.95,252063
Deepak Nitrite Limited,DEEPAKNTR,2024-01-05,2475.1,2509.0,2415.6,2447.95,2487.0,292318
Deepak Nitrite Limited,DEEPAKNTR,2024-01-04,2478.0,2519.0,2473.2,2487.0,2480.05,301557
Deepak Nitrite Limited,DEEPAKNTR,2024-01-03,2479.2,2500.0,2435.05,2480.05,2479.2,401471
Deepak Nitrite Limited,DEEPAKNTR,2024-01-02,2474.0,2494.0,2424.85,2479.2,2473.9,361687
Deepak Nitrite Limited,DEEPAKNTR,2024-01-01,2488.0,2521.15,2460.0,2473.9,2481.2,499429
Deepak Nitrite Limited,DEEPAKNTR,2023-12-29,2445.0,2502.0,2432.6,2481.2,2432.95,682479
Deepak Nitrite Limited,DEEPAKNTR,2023-12-28,2456.05,2477.4,2425.55,2432.95,2464.85,409432
Deepak Nitrite Limited,DEEPAKNTR,2023-12-27,2483.9,2495.0,2432.05,2464.85,2472.4,767732
Deepak Nitrite Limited,DEEPAKNTR,2023-12-26,2387.55,2487.75,2379.45,2472.4,2379.45,1731032
