StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Devyani International Limited,DEVYANI,2024-03-28,153.0,154.6,147.15,150.45,151.75,1341863
Devyani International Limited,DEVYANI,2024-03-27,155.45,156.7,151.0,151.75,155.05,2184051
Devyani International Limited,DEVYANI,2024-03-26,155.2,156.0,153.15,155.05,155.2,1365824
Devyani International Limited,DEVYANI,2024-03-22,156.1,157.4,154.6,155.2,156.1,1242134
Devyani International Limited,DEVYANI,2024-03-21,159.9,159.9,155.2,156.1,156.95,1468914
Devyani International Limited,DEVYANI,2024-03-20,158.0,160.4,154.1,156.95,156.6,2886643
Devyani International Limited,DEVYANI,2024-03-19,158.15,158.2,153.3,156.6,157.05,2508736
Devyani International Limited,DEVYANI,2024-03-18,154.15,158.4,152.75,157.05,154.1,3465313
Devyani International Limited,DEVYANI,2024-03-15,150.0,154.85,149.1,154.1,151.15,2431549
Devyani International Limited,DEVYANI,2024-03-14,147.65,152.9,144.65,151.15,147.85,2944321
Devyani International Limited,DEVYANI,2024-03-13,151.4,152.25,142.25,147.85,150.85,7209190
Devyani International Limited,DEVYANI,2024-03-12,154.0,154.35,150.1,150.85,153.95,2308485
Devyani International Limited,DEVYANI,2024-03-11,155.8,155.95,152.7,153.95,155.75,1880411
Devyani International Limited,DEVYANI,2024-03-07,154.0,157.35,153.7,155.75,153.45,4107940
Devyani International Limited,DEVYANI,2024-03-06,154.8,155.25,152.25,153.45,154.6,2665317
Devyani International Limited,DEVYANI,2024-03-05,152.6,155.5,152.5,154.6,152.6,2909412
Devyani International Limited,DEVYANI,2024-03-04,158.65,158.65,151.8,152.6,157.95,3831064
Devyani International Limited,DEVYANI,2024-03-02,154.5,158.95,154.1,157.95,154.4,464630
Devyani International Limited,DEVYANI,2024-03-01,155.8,156.0,153.8,154.4,153.6,2561687
Devyani International Limited,DEVYANI,2024-02-29,153.95,154.95,150.9,153.6,154.35,2922792
Devyani International Limited,DEVYANI,2024-02-28,157.3,159.25,153.25,154.35,157.3,3398707
Devyani International Limited,DEVYANI,2024-02-27,161.85,161.85,152.7,157.3,162.3,16167611
Devyani International Limited,DEVYANI,2024-02-26,163.7,163.7,159.55,162.3,160.95,2887215
Devyani International Limited,DEVYANI,2024-02-23,165.0,165.2,159.1,160.95,164.85,5344243
Devyani International Limited,DEVYANI,2024-02-22,171.65,171.65,162.5,164.85,167.05,5081188
Devyani International Limited,DEVYANI,2024-02-21,164.1,164.1,164.1,164.1,176.25,53083330
Devyani International Limited,DEVYANI,2024-02-21,171.1,175.0,165.5,167.05,165.75,11594032
Devyani International Limited,DEVYANI,2024-02-20,166.5,166.5,162.55,165.75,165.2,4306340
Devyani International Limited,DEVYANI,2024-02-19,160.7,166.25,159.65,165.2,158.75,6749622
Devyani International Limited,DEVYANI,2024-02-16,152.75,162.7,152.0,158.75,150.4,11288044
Devyani International Limited,DEVYANI,2024-02-15,155.45,155.5,150.05,150.4,154.0,1941264
Devyani International Limited,DEVYANI,2024-02-14,150.8,154.95,148.55,154.0,151.0,1490663
Devyani International Limited,DEVYANI,2024-02-13,151.95,152.45,147.2,151.0,151.85,1558604
Devyani International Limited,DEVYANI,2024-02-12,156.5,156.5,149.85,151.85,154.25,1849565
Devyani International Limited,DEVYANI,2024-02-09,153.0,155.6,148.15,154.25,152.85,3836808
Devyani International Limited,DEVYANI,2024-02-08,156.05,157.45,152.25,152.85,154.8,3839455
Devyani International Limited,DEVYANI,2024-02-07,160.0,160.0,153.75,154.8,158.05,5124903
Devyani International Limited,DEVYANI,2024-02-06,163.45,163.85,155.8,158.05,162.25,5077362
Devyani International Limited,DEVYANI,2024-02-05,171.45,171.45,161.5,162.25,173.0,4756026
Devyani International Limited,DEVYANI,2024-02-02,179.0,181.0,172.0,173.0,177.85,4481649
Devyani International Limited,DEVYANI,2024-02-01,182.45,184.3,176.0,177.85,181.9,2199232
Devyani International Limited,DEVYANI,2024-01-31,176.9,183.0,176.15,181.9,175.05,2813168
Devyani International Limited,DEVYANI,2024-01-30,172.95,177.15,172.55,175.05,171.55,2198505
Devyani International Limited,DEVYANI,2024-01-29,178.85,178.85,171.05,171.55,178.15,3074552
Devyani International Limited,DEVYANI,2024-01-25,175.95,179.2,174.4,178.15,176.25,899416
Devyani International Limited,DEVYANI,2024-01-25,176.25,176.25,176.25,176.25,194.7,827227
Devyani International Limited,DEVYANI,2024-01-24,176.0,179.2,172.2,176.25,176.0,1413443
