StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Divi's Laboratories Limited,DIVISLAB,2024-03-28,3400.0,3402.0,3400.0,3445.3,3367.85,4
Divi's Laboratories Limited,DIVISLAB,2024-03-28,3367.05,3469.7,3367.05,3445.3,3367.85,1145370
Divi's Laboratories Limited,DIVISLAB,2024-03-27,3390.0,3403.4,3350.0,3367.85,3391.0,506472
Divi's Laboratories Limited,DIVISLAB,2024-03-26,3400.0,3439.0,3375.0,3391.0,3431.45,478462
Divi's Laboratories Limited,DIVISLAB,2024-03-22,3463.0,3476.35,3425.0,3431.45,3465.3,409887
Divi's Laboratories Limited,DIVISLAB,2024-03-21,3444.8,3477.4,3431.25,3465.3,3428.3,279116
Divi's Laboratories Limited,DIVISLAB,2024-03-20,3447.15,3460.0,3397.15,3428.3,3447.15,517131
Divi's Laboratories Limited,DIVISLAB,2024-03-19,3509.8,3514.95,3422.05,3447.15,3506.6,525027
Divi's Laboratories Limited,DIVISLAB,2024-03-18,3485.4,3520.0,3475.0,3506.6,3485.4,171118
Divi's Laboratories Limited,DIVISLAB,2024-03-15,3517.1,3524.7,3455.05,3485.4,3517.9,317079
Divi's Laboratories Limited,DIVISLAB,2024-03-14,3460.0,3530.0,3441.0,3517.9,3479.8,385179
Divi's Laboratories Limited,DIVISLAB,2024-03-13,3577.75,3587.0,3454.75,3479.8,3577.75,402498
Divi's Laboratories Limited,DIVISLAB,2024-03-12,3600.0,3634.9,3564.6,3577.75,3604.75,415249
Divi's Laboratories Limited,DIVISLAB,2024-03-11,3601.6,3652.05,3586.05,3604.75,3601.6,408279
Divi's Laboratories Limited,DIVISLAB,2024-03-07,3544.65,3620.0,3536.5,3601.6,3544.65,624261
Divi's Laboratories Limited,DIVISLAB,2024-03-06,3485.0,3560.0,3450.0,3544.65,3484.45,642191
Divi's Laboratories Limited,DIVISLAB,2024-03-05,3484.6,3496.5,3452.0,3484.45,3482.3,485056
Divi's Laboratories Limited,DIVISLAB,2024-03-04,3514.8,3542.0,3478.0,3482.3,3508.5,494795
Divi's Laboratories Limited,DIVISLAB,2024-03-02,3514.0,3544.95,3490.05,3508.5,3482.4,30856
Divi's Laboratories Limited,DIVISLAB,2024-03-01,3491.0,3519.0,3474.0,3482.4,3488.8,347396
Divi's Laboratories Limited,DIVISLAB,2024-02-29,3509.2,3529.4,3465.0,3488.8,3518.35,807900
Divi's Laboratories Limited,DIVISLAB,2024-02-28,3540.0,3553.45,3507.0,3518.35,3539.8,464435
Divi's Laboratories Limited,DIVISLAB,2024-02-27,3580.0,3598.0,3509.9,3539.8,3577.35,524599
Divi's Laboratories Limited,DIVISLAB,2024-02-26,3649.0,3655.0,3556.35,3577.35,3648.1,404285
Divi's Laboratories Limited,DIVISLAB,2024-02-23,3645.4,3669.05,3626.85,3648.1,3645.4,326640
Divi's Laboratories Limited,DIVISLAB,2024-02-22,3659.7,3659.7,3597.05,3645.4,3649.1,485941
Divi's Laboratories Limited,DIVISLAB,2024-02-21,3708.05,3739.7,3637.2,3649.1,3712.75,386150
Divi's Laboratories Limited,DIVISLAB,2024-02-20,3723.0,3739.0,3675.2,3712.75,3723.45,328713
Divi's Laboratories Limited,DIVISLAB,2024-02-19,3730.0,3763.25,3715.7,3723.45,3729.2,217681
Divi's Laboratories Limited,DIVISLAB,2024-02-16,3708.7,3778.9,3708.0,3729.2,3708.85,625808
Divi's Laboratories Limited,DIVISLAB,2024-02-15,3729.7,3745.0,3696.55,3708.85,3719.65,288401
Divi's Laboratories Limited,DIVISLAB,2024-02-14,3690.0,3728.65,3632.05,3719.65,3700.45,452222
Divi's Laboratories Limited,DIVISLAB,2024-02-13,3740.15,3832.8,3687.0,3700.45,3740.15,814115
Divi's Laboratories Limited,DIVISLAB,2024-02-12,3650.0,3818.6,3645.7,3740.15,3652.3,1303179
Divi's Laboratories Limited,DIVISLAB,2024-02-09,3697.5,3697.5,3613.5,3652.3,3684.4,415749
Divi's Laboratories Limited,DIVISLAB,2024-02-08,3745.95,3765.0,3660.4,3684.4,3731.8,399402
Divi's Laboratories Limited,DIVISLAB,2024-02-07,3739.95,3771.0,3702.2,3731.8,3726.5,226715
Divi's Laboratories Limited,DIVISLAB,2024-02-06,3698.0,3744.4,3689.9,3726.5,3699.5,276514
Divi's Laboratories Limited,DIVISLAB,2024-02-05,3699.4,3742.0,3664.55,3699.5,3699.4,518516
Divi's Laboratories Limited,DIVISLAB,2024-02-02,3665.0,3744.7,3665.0,3699.4,3655.4,423758
Divi's Laboratories Limited,DIVISLAB,2024-02-01,3696.0,3696.0,3636.05,3655.4,3670.6,393645
Divi's Laboratories Limited,DIVISLAB,2024-01-31,3585.0,3680.9,3560.05,3670.6,3551.7,840784
Divi's Laboratories Limited,DIVISLAB,2024-01-30,3574.95,3619.35,3540.3,3551.7,3570.6,1052177
Divi's Laboratories Limited,DIVISLAB,2024-01-29,3578.0,3586.0,3550.1,3570.6,3578.9,765970
Divi's Laboratories Limited,DIVISLAB,2024-01-25,3644.0,3660.0,3547.25,3578.9,3643.55,407761
Divi's Laboratories Limited,DIVISLAB,2024-01-24,3650.0,3671.95,3609.0,3643.55,3615.35,377660
Divi's Laboratories Limited,DIVISLAB,2024-01-23,3700.0,3700.0,3585.85,3615.35,3649.55,387616
Divi's Laboratories Limited,DIVISLAB,2024-01-20,3720.0,3727.65,3637.05,3649.55,3693.8,113402
Divi's Laboratories Limited,DIVISLAB,2024-01-19,3730.0,3733.35,3664.2,3693.8,3700.2,324763
Divi's Laboratories Limited,DIVISLAB,2024-01-18,3728.8,3756.55,3585.0,3700.2,3728.8,651966
Divi's Laboratories Limited,DIVISLAB,2024-01-17,3810.1,3819.9,3717.35,3728.8,3814.5,574671
Divi's Laboratories Limited,DIVISLAB,2024-01-16,3909.6,3926.35,3800.4,3814.5,3909.6,483779
Divi's Laboratories Limited,DIVISLAB,2024-01-15,3900.0,3943.95,3871.75,3909.6,3883.95,326872
Divi's Laboratories Limited,DIVISLAB,2024-01-12,3911.95,3925.2,3860.5,3883.95,3905.2,291344
Divi's Laboratories Limited,DIVISLAB,2024-01-11,3902.65,3942.9,3881.7,3905.2,3902.65,238212
Divi's Laboratories Limited,DIVISLAB,2024-01-10,3984.65,4016.9,3877.55,3902.65,3984.65,351976
Divi's Laboratories Limited,DIVISLAB,2024-01-09,3948.95,4004.0,3920.6,3984.65,3934.15,468363
Divi's Laboratories Limited,DIVISLAB,2024-01-08,3999.0,4025.35,3910.45,3934.15,4014.75,403753
Divi's Laboratories Limited,DIVISLAB,2024-01-05,4052.0,4070.1,3980.0,4014.75,4042.15,313459
Divi's Laboratories Limited,DIVISLAB,2024-01-04,4050.0,4074.4,3973.2,4042.15,4030.6,485788
Divi's Laboratories Limited,DIVISLAB,2024-01-03,4050.0,4064.5,4012.0,4030.6,4030.0,452402
Divi's Laboratories Limited,DIVISLAB,2024-01-02,3925.0,4052.1,3905.2,4030.0,3915.9,1386959
Divi's Laboratories Limited,DIVISLAB,2024-01-01,3910.0,3939.95,3882.15,3915.9,3903.9,240126
Divi's Laboratories Limited,DIVISLAB,2023-12-29,3949.0,3949.0,3896.35,3903.9,3939.95,262845
Divi's Laboratories Limited,DIVISLAB,2023-12-28,3900.0,3952.0,3861.35,3939.95,3884.25,668311
Divi's Laboratories Limited,DIVISLAB,2023-12-27,3894.0,3917.0,3845.5,3884.25,3863.5,598775
Divi's Laboratories Limited,DIVISLAB,2023-12-26,3699.05,3897.0,3694.0,3863.5,3694.95,1249185
Divi's Laboratories Limited,DIVISLAB,2023-12-22,3650.0,3762.9,3643.95,3694.95,3632.7,898967
Divi's Laboratories Limited,DIVISLAB,2023-12-21,3615.0,3649.8,3565.55,3632.7,3620.0,353261
Divi's Laboratories Limited,DIVISLAB,2023-12-20,3752.0,3752.0,3604.8,3620.0,3723.9,346170
Divi's Laboratories Limited,DIVISLAB,2023-12-19,3713.0,3739.0,3689.2,3723.9,3713.05,287231
Divi's Laboratories Limited,DIVISLAB,2023-12-18,3690.0,3773.95,3687.25,3713.05,3697.05,457133
Divi's Laboratories Limited,DIVISLAB,2023-12-15,3700.0,3720.3,3679.05,3697.05,3683.2,338280
Divi's Laboratories Limited,DIVISLAB,2023-12-14,3663.9,3703.95,3641.0,3683.2,3656.0,448099
Divi's Laboratories Limited,DIVISLAB,2023-12-13,3669.8,3676.0,3612.0,3656.0,3647.6,355453
Divi's Laboratories Limited,DIVISLAB,2023-12-12,3670.5,3694.95,3631.0,3647.6,3670.5,188686
Divi's Laboratories Limited,DIVISLAB,2023-12-11,3679.0,3693.55,3641.75,3670.5,3681.75,247368
Divi's Laboratories Limited,DIVISLAB,2023-12-08,3739.0,3747.45,3662.4,3681.75,3734.35,455037
Divi's Laboratories Limited,DIVISLAB,2023-12-07,3734.45,3772.9,3724.0,3734.35,3734.45,281509
Divi's Laboratories Limited,DIVISLAB,2023-12-06,3762.85,3781.6,3716.35,3734.45,3741.15,298255
Divi's Laboratories Limited,DIVISLAB,2023-12-05,3789.05,3810.0,3724.05,3741.15,3798.1,449862
Divi's Laboratories Limited,DIVISLAB,2023-12-04,3810.0,3835.05,3790.0,3798.1,3792.7,318936
