StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
DLF Limited,DLF,2024-03-28,886.8,907.0,882.7,897.0,880.5,4055477
DLF Limited,DLF,2024-03-27,878.95,888.7,875.55,880.5,873.4,3049873
DLF Limited,DLF,2024-03-26,864.9,876.45,858.15,873.4,865.9,2686188
DLF Limited,DLF,2024-03-22,861.05,869.9,855.6,865.9,857.7,2786894
DLF Limited,DLF,2024-03-21,839.1,859.35,834.1,857.7,825.95,3484101
DLF Limited,DLF,2024-03-20,827.0,834.4,805.3,825.95,823.05,3281967
DLF Limited,DLF,2024-03-19,830.0,841.8,819.5,823.05,836.25,4696393
DLF Limited,DLF,2024-03-18,826.05,839.65,816.25,836.25,823.7,2709444
DLF Limited,DLF,2024-03-15,836.6,848.75,809.3,823.7,840.65,6129505
DLF Limited,DLF,2024-03-14,826.0,844.0,817.0,840.65,830.15,5915623
DLF Limited,DLF,2024-03-13,860.0,873.25,820.65,830.15,864.4,8639565
DLF Limited,DLF,2024-03-12,910.9,915.3,861.0,864.4,911.25,8341087
DLF Limited,DLF,2024-03-11,928.0,933.3,907.2,911.25,920.3,4511073
DLF Limited,DLF,2024-03-07,925.6,929.0,917.15,920.3,922.7,2108204
DLF Limited,DLF,2024-03-06,930.95,933.9,908.1,922.7,932.05,3258284
DLF Limited,DLF,2024-03-05,930.0,939.4,926.0,932.05,931.8,2846188
DLF Limited,DLF,2024-03-04,925.2,941.9,923.65,931.8,922.95,3951444
DLF Limited,DLF,2024-03-02,916.05,927.55,916.05,922.95,909.9,300763
DLF Limited,DLF,2024-03-01,902.0,917.0,901.2,909.9,901.2,2562306
DLF Limited,DLF,2024-02-29,898.0,911.95,881.65,901.2,899.0,19571487
DLF Limited,DLF,2024-02-28,914.2,919.95,893.6,899.0,916.4,3541248
DLF Limited,DLF,2024-02-27,905.0,918.2,902.9,916.4,902.9,3614155
DLF Limited,DLF,2024-02-26,898.0,910.25,887.7,902.9,899.25,4080998
DLF Limited,DLF,2024-02-23,898.0,905.0,892.35,899.25,892.25,3438995
DLF Limited,DLF,2024-02-22,894.0,895.0,878.85,892.25,886.85,3784762
DLF Limited,DLF,2024-02-21,865.0,896.75,863.9,886.85,863.9,8801547
DLF Limited,DLF,2024-02-20,852.0,869.5,846.2,863.9,848.6,4100739
DLF Limited,DLF,2024-02-19,864.3,866.7,845.35,848.6,863.3,2390450
DLF Limited,DLF,2024-02-16,857.0,869.3,848.8,863.3,851.4,3451534
DLF Limited,DLF,2024-02-15,848.0,857.95,842.5,851.4,843.8,3505476
DLF Limited,DLF,2024-02-14,819.0,847.45,816.2,843.8,829.35,2710385
DLF Limited,DLF,2024-02-13,810.0,831.95,799.05,829.35,807.6,3526880
DLF Limited,DLF,2024-02-12,833.0,837.6,803.35,807.6,834.4,2814982
DLF Limited,DLF,2024-02-09,830.85,837.0,810.0,834.4,830.85,4351187
DLF Limited,DLF,2024-02-08,828.8,840.9,823.15,830.85,827.45,3355261
DLF Limited,DLF,2024-02-07,806.0,838.3,806.0,827.45,797.35,10550511
DLF Limited,DLF,2024-02-06,794.0,802.0,784.2,797.35,786.6,3996095
DLF Limited,DLF,2024-02-05,784.9,806.0,783.2,786.6,791.45,3023829
DLF Limited,DLF,2024-02-02,801.2,808.4,783.2,791.45,800.05,3474878
DLF Limited,DLF,2024-02-01,802.55,808.75,791.05,800.05,802.6,5565773
DLF Limited,DLF,2024-01-31,786.9,806.7,782.5,802.6,786.9,7997614
DLF Limited,DLF,2024-01-30,770.5,798.7,767.0,786.9,767.35,10661351
DLF Limited,DLF,2024-01-29,761.0,771.7,755.25,767.35,758.65,5504653
DLF Limited,DLF,2024-01-25,776.0,776.0,749.3,758.65,747.4,9110800
DLF Limited,DLF,2024-01-24,739.95,749.0,732.3,747.4,739.3,6963379
DLF Limited,DLF,2024-01-23,790.0,791.9,733.95,739.3,777.05,19908675
DLF Limited,DLF,2024-01-20,783.65,788.55,769.0,777.05,785.55,3960173
DLF Limited,DLF,2024-01-19,780.7,788.0,777.7,785.55,775.45,3519988
DLF Limited,DLF,2024-01-18,776.0,780.6,762.75,775.45,775.3,8727583
DLF Limited,DLF,2024-01-17,780.0,790.0,771.05,775.3,786.85,6183356
DLF Limited,DLF,2024-01-16,804.4,806.35,777.15,786.85,805.4,3800255
DLF Limited,DLF,2024-01-15,802.0,815.75,798.5,805.4,800.55,4959825
DLF Limited,DLF,2024-01-12,800.0,811.4,796.25,800.55,797.45,4158326
DLF Limited,DLF,2024-01-11,797.5,804.9,794.35,797.45,796.05,5304485
DLF Limited,DLF,2024-01-10,790.45,800.8,777.55,796.05,789.6,5169408
DLF Limited,DLF,2024-01-09,772.0,793.0,762.5,789.6,759.3,9348457
DLF Limited,DLF,2024-01-08,760.5,773.45,751.3,759.3,752.95,4448637
