StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
DOMS Industries Limited,DOMS,2024-03-28,1590.0,1595.0,1551.1,1565.75,1595.85,57525
DOMS Industries Limited,DOMS,2024-03-27,1510.0,1608.8,1508.4,1595.85,1495.3,205703
DOMS Industries Limited,DOMS,2024-03-26,1512.9,1512.9,1485.0,1495.3,1500.75,45627
DOMS Industries Limited,DOMS,2024-03-22,1495.0,1513.85,1475.0,1500.75,1494.55,57877
DOMS Industries Limited,DOMS,2024-03-21,1470.0,1504.35,1426.5,1494.55,1422.05,263111
DOMS Industries Limited,DOMS,2024-03-20,1441.5,1457.0,1411.6,1422.05,1420.2,264115
DOMS Industries Limited,DOMS,2024-03-19,1452.25,1458.0,1390.0,1420.2,1437.9,175959
DOMS Industries Limited,DOMS,2024-03-18,1366.0,1464.8,1366.0,1437.9,1400.05,311904
DOMS Industries Limited,DOMS,2024-03-15,1440.5,1440.5,1393.6,1400.05,1419.25,86511
DOMS Industries Limited,DOMS,2024-03-14,1405.7,1459.0,1375.0,1419.25,1405.7,52139
DOMS Industries Limited,DOMS,2024-03-13,1419.65,1419.65,1372.35,1405.7,1409.65,97278
DOMS Industries Limited,DOMS,2024-03-12,1432.35,1443.05,1402.0,1409.65,1453.35,59608
DOMS Industries Limited,DOMS,2024-03-11,1461.65,1464.0,1406.7,1453.35,1449.95,54070
DOMS Industries Limited,DOMS,2024-03-07,1438.0,1476.1,1423.9,1449.95,1420.4,84224
DOMS Industries Limited,DOMS,2024-03-06,1403.55,1441.55,1396.3,1420.4,1432.6,187513
DOMS Industries Limited,DOMS,2024-03-05,1515.65,1515.65,1425.0,1432.6,1500.05,72867
DOMS Industries Limited,DOMS,2024-03-04,1528.9,1528.9,1491.0,1500.05,1516.1,84561
DOMS Industries Limited,DOMS,2024-03-02,1512.6,1531.0,1490.0,1516.1,1502.3,7318
DOMS Industries Limited,DOMS,2024-03-01,1524.4,1540.4,1495.55,1502.3,1514.05,61322
DOMS Industries Limited,DOMS,2024-02-29,1563.0,1571.95,1508.5,1514.05,1559.05,103686
DOMS Industries Limited,DOMS,2024-02-28,1636.9,1638.95,1542.95,1559.05,1593.85,69985
DOMS Industries Limited,DOMS,2024-02-27,1607.05,1687.2,1577.05,1593.85,1607.05,242441
DOMS Industries Limited,DOMS,2024-02-26,1581.0,1613.0,1561.05,1607.05,1569.05,133743
DOMS Industries Limited,DOMS,2024-02-23,1520.0,1596.9,1518.9,1569.05,1524.0,68382
DOMS Industries Limited,DOMS,2024-02-22,1539.65,1545.2,1474.9,1524.0,1530.25,149996
DOMS Industries Limited,DOMS,2024-02-21,1580.0,1643.8,1502.0,1530.25,1576.55,258142
DOMS Industries Limited,DOMS,2024-02-20,1576.1,1587.5,1553.45,1576.55,1570.0,132431
DOMS Industries Limited,DOMS,2024-02-19,1545.2,1585.0,1545.15,1570.0,1568.2,79619
DOMS Industries Limited,DOMS,2024-02-16,1578.0,1590.0,1540.25,1568.2,1566.55,50084
DOMS Industries Limited,DOMS,2024-02-15,1559.5,1598.0,1540.15,1566.55,1548.85,68170
DOMS Industries Limited,DOMS,2024-02-14,1551.1,1658.7,1541.05,1548.85,1581.95,266803
DOMS Industries Limited,DOMS,2024-02-13,1530.0,1626.0,1515.25,1581.95,1511.3,223826
DOMS Industries Limited,DOMS,2024-02-12,1572.85,1589.95,1471.55,1511.3,1556.7,135953
DOMS Industries Limited,DOMS,2024-02-09,1529.6,1644.5,1529.6,1556.7,1506.65,415276
DOMS Industries Limited,DOMS,2024-02-08,1454.8,1535.3,1454.8,1506.65,1454.8,186787
DOMS Industries Limited,DOMS,2024-02-07,1450.0,1475.95,1436.0,1454.8,1438.45,65288
DOMS Industries Limited,DOMS,2024-02-06,1420.1,1454.0,1408.25,1438.45,1413.05,43039
DOMS Industries Limited,DOMS,2024-02-05,1414.15,1438.0,1408.0,1413.05,1414.15,54743
DOMS Industries Limited,DOMS,2024-02-02,1480.0,1480.0,1407.65,1414.15,1416.45,73926
DOMS Industries Limited,DOMS,2024-02-01,1403.0,1432.6,1403.0,1416.45,1404.55,85643
DOMS Industries Limited,DOMS,2024-01-31,1400.95,1424.9,1374.1,1404.55,1400.85,223759
DOMS Industries Limited,DOMS,2024-01-30,1445.0,1461.0,1386.35,1400.85,1447.0,145203
DOMS Industries Limited,DOMS,2024-01-29,1468.4,1485.6,1424.0,1447.0,1450.15,159191
DOMS Industries Limited,DOMS,2024-01-25,1424.95,1460.95,1402.1,1450.15,1419.5,113985
DOMS Industries Limited,DOMS,2024-01-25,1419.5,1419.5,1419.5,1419.5,790.0,76977
DOMS Industries Limited,DOMS,2024-01-24,1424.85,1434.75,1392.05,1419.5,1413.15,46721
DOMS Industries Limited,DOMS,2024-01-23,1433.0,1476.7,1399.9,1413.15,1424.95,175524
DOMS Industries Limited,DOMS,2024-01-20,1447.8,1447.8,1418.0,1424.95,1432.85,49004
DOMS Industries Limited,DOMS,2024-01-19,1427.0,1467.95,1420.8,1432.85,1425.2,175624
DOMS Industries Limited,DOMS,2024-01-18,1440.0,1455.9,1396.0,1425.2,1447.75,130917
