StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Easy Trip Planners Limited,EASEMYTRIP,2024-03-28,43.8,44.3,42.6,42.8,43.45,43280573
Easy Trip Planners Limited,EASEMYTRIP,2024-03-27,44.15,45.2,43.0,43.45,44.05,23945130
Easy Trip Planners Limited,EASEMYTRIP,2024-03-26,43.75,45.2,43.05,44.05,43.75,22438786
Easy Trip Planners Limited,EASEMYTRIP,2024-03-22,44.25,44.35,43.65,43.75,44.25,16413696
Easy Trip Planners Limited,EASEMYTRIP,2024-03-21,45.0,45.5,43.8,44.25,44.75,26762051
Easy Trip Planners Limited,EASEMYTRIP,2024-03-20,43.65,45.6,43.3,44.75,43.35,34232938
Easy Trip Planners Limited,EASEMYTRIP,2024-03-19,44.1,44.95,43.15,43.35,44.2,18100181
Easy Trip Planners Limited,EASEMYTRIP,2024-03-18,44.1,44.95,43.3,44.2,44.1,14479781
Easy Trip Planners Limited,EASEMYTRIP,2024-03-15,45.2,45.9,43.65,44.1,45.5,15288653
Easy Trip Planners Limited,EASEMYTRIP,2024-03-14,41.65,46.55,40.8,45.5,41.65,29740375
Easy Trip Planners Limited,EASEMYTRIP,2024-03-13,44.4,46.2,41.15,41.65,44.35,28846672
Easy Trip Planners Limited,EASEMYTRIP,2024-03-12,46.65,46.65,44.1,44.35,46.75,15960436
Easy Trip Planners Limited,EASEMYTRIP,2024-03-11,47.65,47.65,46.6,46.75,47.35,15748750
Easy Trip Planners Limited,EASEMYTRIP,2024-03-07,46.5,48.15,46.5,47.35,46.35,24549668
Easy Trip Planners Limited,EASEMYTRIP,2024-03-06,47.05,47.2,45.3,46.35,47.0,16744033
Easy Trip Planners Limited,EASEMYTRIP,2024-03-05,48.2,48.3,46.8,47.0,48.0,20058559
Easy Trip Planners Limited,EASEMYTRIP,2024-03-04,49.05,50.35,47.7,48.0,49.05,34009677
Easy Trip Planners Limited,EASEMYTRIP,2024-03-02,49.05,49.9,47.5,49.05,48.85,3288882
Easy Trip Planners Limited,EASEMYTRIP,2024-03-01,48.6,49.8,48.5,48.85,48.35,24463103
Easy Trip Planners Limited,EASEMYTRIP,2024-02-29,48.65,49.0,47.55,48.35,48.55,27083837
Easy Trip Planners Limited,EASEMYTRIP,2024-02-28,49.0,50.65,48.2,48.55,48.9,31777832
Easy Trip Planners Limited,EASEMYTRIP,2024-02-27,48.45,51.85,48.25,48.9,48.25,104840591
Easy Trip Planners Limited,EASEMYTRIP,2024-02-26,47.85,49.25,47.65,48.25,47.8,34160493
Easy Trip Planners Limited,EASEMYTRIP,2024-02-23,47.55,48.4,47.5,47.8,47.3,13402298
Easy Trip Planners Limited,EASEMYTRIP,2024-02-22,48.35,48.6,47.2,47.3,48.25,29442424
Easy Trip Planners Limited,EASEMYTRIP,2024-02-21,50.0,50.15,48.1,48.25,49.75,23622563
Easy Trip Planners Limited,EASEMYTRIP,2024-02-20,49.75,50.9,48.75,49.75,49.65,39698379
Easy Trip Planners Limited,EASEMYTRIP,2024-02-19,49.8,50.55,49.45,49.65,49.5,18788148
Easy Trip Planners Limited,EASEMYTRIP,2024-02-16,49.05,50.9,48.85,49.5,48.9,28620438
Easy Trip Planners Limited,EASEMYTRIP,2024-02-15,49.8,49.9,48.65,48.9,49.3,15723985
Easy Trip Planners Limited,EASEMYTRIP,2024-02-14,46.95,49.5,46.1,49.3,47.6,22913093
Easy Trip Planners Limited,EASEMYTRIP,2024-02-13,49.05,49.8,46.65,47.6,48.9,34801927
Easy Trip Planners Limited,EASEMYTRIP,2024-02-12,53.2,53.55,48.2,48.9,51.1,76097064
Easy Trip Planners Limited,EASEMYTRIP,2024-02-09,52.85,54.0,49.7,51.1,52.45,60416023
Easy Trip Planners Limited,EASEMYTRIP,2024-02-08,53.5,53.9,51.5,52.45,52.7,36628637
Easy Trip Planners Limited,EASEMYTRIP,2024-02-07,51.7,53.3,51.4,52.7,51.2,69486528
Easy Trip Planners Limited,EASEMYTRIP,2024-02-06,49.55,51.7,48.75,51.2,49.25,63538564
Easy Trip Planners Limited,EASEMYTRIP,2024-02-05,49.95,51.0,49.0,49.25,49.3,41765480
Easy Trip Planners Limited,EASEMYTRIP,2024-02-02,47.35,51.25,47.2,49.3,46.8,89275417
Easy Trip Planners Limited,EASEMYTRIP,2024-02-01,47.5,48.65,46.5,46.8,47.15,44393237
Easy Trip Planners Limited,EASEMYTRIP,2024-01-31,46.45,48.0,46.1,47.15,46.35,20306964
Easy Trip Planners Limited,EASEMYTRIP,2024-01-30,47.0,47.05,45.85,46.35,46.7,14043594
Easy Trip Planners Limited,EASEMYTRIP,2024-01-29,47.75,47.95,46.35,46.7,47.1,12598200
Easy Trip Planners Limited,EASEMYTRIP,2024-01-25,47.25,48.75,46.6,47.1,46.7,24454115
Easy Trip Planners Limited,EASEMYTRIP,2024-01-24,45.5,47.0,44.3,46.7,44.8,23855480
Easy Trip Planners Limited,EASEMYTRIP,2024-01-23,46.95,47.95,44.55,44.8,46.35,23686954
Easy Trip Planners Limited,EASEMYTRIP,2024-01-20,46.8,47.25,46.15,46.35,46.4,13037884
Easy Trip Planners Limited,EASEMYTRIP,2024-01-19,48.0,48.0,46.15,46.4,45.4,17840944
Easy Trip Planners Limited,EASEMYTRIP,2024-01-18,46.05,47.25,43.55,45.4,45.95,28311306
Easy Trip Planners Limited,EASEMYTRIP,2024-01-17,48.0,48.2,45.7,45.95,48.2,20460551
Easy Trip Planners Limited,EASEMYTRIP,2024-01-16,48.95,50.4,47.05,48.2,48.75,38449237
Easy Trip Planners Limited,EASEMYTRIP,2024-01-15,50.4,51.0,48.05,48.75,49.65,52668197
Easy Trip Planners Limited,EASEMYTRIP,2024-01-12,52.05,52.3,49.1,49.65,51.8,110431325
Easy Trip Planners Limited,EASEMYTRIP,2024-01-11,44.75,52.8,44.7,51.8,44.25,434992979
Easy Trip Planners Limited,EASEMYTRIP,2024-01-10,46.2,46.4,43.95,44.25,45.8,79180501
Easy Trip Planners Limited,EASEMYTRIP,2024-01-09,44.7,46.5,43.65,45.8,43.35,135180811
Easy Trip Planners Limited,EASEMYTRIP,2024-01-08,41.75,44.05,41.6,43.35,41.4,98003466
Easy Trip Planners Limited,EASEMYTRIP,2024-01-05,41.1,41.7,40.45,41.4,40.85,39031119
Easy Trip Planners Limited,EASEMYTRIP,2024-01-04,41.3,41.6,40.75,40.85,40.95,24828893
Easy Trip Planners Limited,EASEMYTRIP,2024-01-03,40.45,41.15,40.0,40.95,40.45,26996483
Easy Trip Planners Limited,EASEMYTRIP,2024-01-02,40.95,41.25,39.7,40.45,40.7,20404935
Easy Trip Planners Limited,EASEMYTRIP,2024-01-01,40.55,41.35,40.15,40.7,40.35,22465247
Easy Trip Planners Limited,EASEMYTRIP,2023-12-29,38.85,40.6,38.75,40.35,38.75,29742270
Easy Trip Planners Limited,EASEMYTRIP,2023-12-28,39.0,39.1,38.6,38.75,38.85,12072549
Easy Trip Planners Limited,EASEMYTRIP,2023-12-27,39.2,39.35,38.7,38.85,39.05,9319920
Easy Trip Planners Limited,EASEMYTRIP,2023-12-26,39.0,39.3,38.75,39.05,38.5,11408385
Easy Trip Planners Limited,EASEMYTRIP,2023-12-22,38.45,39.05,38.2,38.5,38.25,14241408
Easy Trip Planners Limited,EASEMYTRIP,2023-12-21,37.95,38.7,37.6,38.25,38.35,14346468
Easy Trip Planners Limited,EASEMYTRIP,2023-12-20,39.45,39.65,38.1,38.35,39.35,26244435
Easy Trip Planners Limited,EASEMYTRIP,2023-12-19,39.65,39.75,39.25,39.35,39.6,13572143
Easy Trip Planners Limited,EASEMYTRIP,2023-12-18,39.5,39.8,39.4,39.6,39.5,8796037
Easy Trip Planners Limited,EASEMYTRIP,2023-12-15,40.1,40.2,39.3,39.5,40.0,21404077
Easy Trip Planners Limited,EASEMYTRIP,2023-12-14,40.75,41.05,39.75,40.0,40.0,25834881
Easy Trip Planners Limited,EASEMYTRIP,2023-12-13,38.5,40.15,38.35,40.0,38.3,35676898
Easy Trip Planners Limited,EASEMYTRIP,2023-12-12,38.6,38.8,38.2,38.3,38.7,14914500
Easy Trip Planners Limited,EASEMYTRIP,2023-12-11,38.9,39.1,38.65,38.7,38.55,10922209
Easy Trip Planners Limited,EASEMYTRIP,2023-12-08,38.8,39.05,38.45,38.55,38.7,13607155
Easy Trip Planners Limited,EASEMYTRIP,2023-12-07,38.75,39.05,38.65,38.7,38.7,12893552
Easy Trip Planners Limited,EASEMYTRIP,2023-12-06,39.2,39.2,38.6,38.7,39.05,9666469
Easy Trip Planners Limited,EASEMYTRIP,2023-12-05,39.0,39.7,38.8,39.05,38.85,27110844
Easy Trip Planners Limited,EASEMYTRIP,2023-12-04,39.2,39.25,38.65,38.85,38.75,12547939
Easy Trip Planners Limited,EASEMYTRIP,2023-12-01,38.5,38.9,38.4,38.75,38.3,21732957
Easy Trip Planners Limited,EASEMYTRIP,2023-11-30,38.6,39.15,37.8,38.3,38.55,43569522
Easy Trip Planners Limited,EASEMYTRIP,2023-11-29,39.2,39.25,38.45,38.55,39.05,12631829
Easy Trip Planners Limited,EASEMYTRIP,2023-11-28,39.0,39.25,38.75,39.05,38.75,14631159
Easy Trip Planners Limited,EASEMYTRIP,2023-11-24,38.7,38.95,38.5,38.75,38.5,13746261
Easy Trip Planners Limited,EASEMYTRIP,2023-11-23,38.95,39.25,38.45,38.5,38.8,22082284
Easy Trip Planners Limited,EASEMYTRIP,2023-11-22,39.7,39.75,38.6,38.8,39.55,21421112
Easy Trip Planners Limited,EASEMYTRIP,2023-11-21,40.05,40.3,39.45,39.55,39.8,16319897
Easy Trip Planners Limited,EASEMYTRIP,2023-11-20,41.25,41.3,39.7,39.8,41.05,27670244
Easy Trip Planners Limited,EASEMYTRIP,2023-11-17,41.6,41.7,40.95,41.05,41.6,14893976
Easy Trip Planners Limited,EASEMYTRIP,2023-11-16,41.9,42.05,41.5,41.6,42.0,8334961
Easy Trip Planners Limited,EASEMYTRIP,2023-11-15,42.05,42.8,41.75,42.0,41.5,14930297
Easy Trip Planners Limited,EASEMYTRIP,2023-11-13,41.85,42.1,41.15,41.5,41.85,8936963
Easy Trip Planners Limited,EASEMYTRIP,2023-11-12,42.45,42.5,41.45,41.85,42.05,4086319
Easy Trip Planners Limited,EASEMYTRIP,2023-11-10,41.85,42.6,41.4,42.05,41.7,10372353
