StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
eClerx Services Limited,ECLERX,2024-03-28,2389.45,2414.7,2336.0,2367.3,2387.1,59087
eClerx Services Limited,ECLERX,2024-03-27,2342.0,2399.0,2342.0,2387.1,2341.8,26408
eClerx Services Limited,ECLERX,2024-03-26,2403.0,2428.0,2330.15,2341.8,2410.45,60552
eClerx Services Limited,ECLERX,2024-03-22,2343.6,2428.0,2325.6,2410.45,2358.0,39600
eClerx Services Limited,ECLERX,2024-03-21,2360.1,2438.75,2337.5,2358.0,2355.65,58524
eClerx Services Limited,ECLERX,2024-03-20,2335.0,2395.3,2335.0,2355.65,2333.7,48561
eClerx Services Limited,ECLERX,2024-03-19,2501.95,2550.0,2292.35,2333.7,2461.3,217027
eClerx Services Limited,ECLERX,2024-03-18,2432.0,2502.0,2420.0,2461.3,2425.95,74649
eClerx Services Limited,ECLERX,2024-03-15,2428.6,2495.75,2383.05,2425.95,2448.65,87423
eClerx Services Limited,ECLERX,2024-03-14,2334.3,2464.25,2334.3,2448.65,2334.3,36285
eClerx Services Limited,ECLERX,2024-03-13,2364.25,2390.0,2272.2,2334.3,2404.15,56187
eClerx Services Limited,ECLERX,2024-03-12,2411.95,2418.35,2360.0,2404.15,2400.05,39423
eClerx Services Limited,ECLERX,2024-03-11,2472.6,2472.6,2381.85,2400.05,2434.15,48995
eClerx Services Limited,ECLERX,2024-03-07,2435.0,2475.0,2400.0,2434.15,2435.55,38922
eClerx Services Limited,ECLERX,2024-03-06,2499.8,2499.8,2359.85,2435.55,2498.1,96594
eClerx Services Limited,ECLERX,2024-03-05,2496.0,2512.5,2473.5,2498.1,2499.8,53603
eClerx Services Limited,ECLERX,2024-03-04,2491.1,2509.15,2475.05,2499.8,2518.55,14971
eClerx Services Limited,ECLERX,2024-03-02,2548.9,2548.9,2472.05,2518.55,2498.9,2340
eClerx Services Limited,ECLERX,2024-03-01,2512.5,2569.0,2481.0,2498.9,2521.9,30956
eClerx Services Limited,ECLERX,2024-02-29,2498.7,2552.0,2450.8,2521.9,2488.85,108524
eClerx Services Limited,ECLERX,2024-02-28,2517.7,2549.9,2456.3,2488.85,2486.85,43703
eClerx Services Limited,ECLERX,2024-02-27,2442.2,2507.95,2430.0,2486.85,2442.2,31021
eClerx Services Limited,ECLERX,2024-02-26,2499.55,2500.0,2426.0,2442.2,2495.55,34078
eClerx Services Limited,ECLERX,2024-02-23,2480.05,2520.0,2460.0,2495.55,2482.05,43690
eClerx Services Limited,ECLERX,2024-02-22,2456.35,2490.0,2409.05,2482.05,2449.05,55890
eClerx Services Limited,ECLERX,2024-02-21,2391.05,2523.7,2379.1,2449.05,2404.15,115047
eClerx Services Limited,ECLERX,2024-02-20,2329.3,2424.9,2301.15,2404.15,2312.3,141004
eClerx Services Limited,ECLERX,2024-02-19,2278.05,2412.05,2278.05,2312.3,2320.15,356587
eClerx Services Limited,ECLERX,2024-02-16,2350.0,2374.95,2311.9,2320.15,2318.05,330867
eClerx Services Limited,ECLERX,2024-02-15,2376.0,2384.2,2305.05,2318.05,2363.85,77476
eClerx Services Limited,ECLERX,2024-02-14,2363.3,2398.85,2352.0,2363.85,2395.2,50353
eClerx Services Limited,ECLERX,2024-02-13,2383.0,2406.25,2364.15,2395.2,2399.5,52591
eClerx Services Limited,ECLERX,2024-02-12,2477.0,2545.0,2381.0,2399.5,2476.4,51173
eClerx Services Limited,ECLERX,2024-02-09,2548.65,2567.6,2450.0,2476.4,2535.95,164959
eClerx Services Limited,ECLERX,2024-02-08,2635.9,2645.75,2526.65,2535.95,2635.85,109830
eClerx Services Limited,ECLERX,2024-02-07,2696.0,2701.45,2630.0,2635.85,2667.95,24747
eClerx Services Limited,ECLERX,2024-02-06,2635.1,2682.95,2632.0,2667.95,2624.55,33466
eClerx Services Limited,ECLERX,2024-02-05,2682.0,2682.0,2571.95,2624.55,2687.05,85615
eClerx Services Limited,ECLERX,2024-02-02,2780.15,2805.0,2676.0,2687.05,2762.25,231961
eClerx Services Limited,ECLERX,2024-02-01,2740.0,2790.0,2682.05,2762.25,2727.15,31609
eClerx Services Limited,ECLERX,2024-01-31,2671.9,2748.0,2669.9,2727.15,2666.85,45424
eClerx Services Limited,ECLERX,2024-01-30,2748.9,2750.95,2644.45,2666.85,2697.4,59805
eClerx Services Limited,ECLERX,2024-01-29,2610.3,2709.95,2610.0,2697.4,2609.85,48049
eClerx Services Limited,ECLERX,2024-01-25,2660.7,2675.65,2594.35,2609.85,2655.65,30051
eClerx Services Limited,ECLERX,2024-01-24,2593.0,2665.0,2590.25,2655.65,2613.75,29228
eClerx Services Limited,ECLERX,2024-01-23,2687.0,2687.0,2582.15,2613.75,2660.1,37779
eClerx Services Limited,ECLERX,2024-01-20,2668.4,2684.55,2635.05,2660.1,2668.4,14421
eClerx Services Limited,ECLERX,2024-01-19,2657.0,2690.0,2631.85,2668.4,2647.05,35502
eClerx Services Limited,ECLERX,2024-01-18,2717.1,2733.95,2561.6,2647.05,2703.55,85230
eClerx Services Limited,ECLERX,2024-01-17,2749.55,2750.0,2690.75,2703.55,2749.55,57753
eClerx Services Limited,ECLERX,2024-01-16,2810.0,2818.95,2720.8,2749.55,2797.9,60396
eClerx Services Limited,ECLERX,2024-01-15,2756.0,2828.0,2726.05,2797.9,2709.05,144037
eClerx Services Limited,ECLERX,2024-01-12,2682.0,2825.0,2632.15,2709.05,2635.9,626940
eClerx Services Limited,ECLERX,2024-01-11,2584.15,2654.0,2579.05,2635.9,2584.15,78187
eClerx Services Limited,ECLERX,2024-01-10,2609.75,2615.45,2551.05,2584.15,2593.65,37988
eClerx Services Limited,ECLERX,2024-01-09,2553.2,2620.0,2553.2,2593.65,2540.45,47647
eClerx Services Limited,ECLERX,2024-01-08,2574.35,2597.95,2530.0,2540.45,2572.55,29675
eClerx Services Limited,ECLERX,2024-01-05,2564.75,2590.0,2514.25,2572.55,2555.25,60790
eClerx Services Limited,ECLERX,2024-01-04,2590.0,2590.05,2535.0,2555.25,2583.05,45252
eClerx Services Limited,ECLERX,2024-01-03,2518.95,2599.4,2505.0,2583.05,2505.3,65612
eClerx Services Limited,ECLERX,2024-01-02,2565.0,2588.0,2484.05,2505.3,2553.95,113297
eClerx Services Limited,ECLERX,2024-01-01,2620.45,2635.0,2540.0,2553.95,2591.6,73500
eClerx Services Limited,ECLERX,2023-12-29,2646.65,2651.75,2566.4,2591.6,2634.35,66981
eClerx Services Limited,ECLERX,2023-12-28,2610.0,2680.45,2586.4,2634.35,2595.5,144303
eClerx Services Limited,ECLERX,2023-12-27,2621.0,2656.7,2560.75,2595.5,2615.85,150498
eClerx Services Limited,ECLERX,2023-12-26,2579.95,2640.9,2545.1,2615.85,2580.1,132353
eClerx Services Limited,ECLERX,2023-12-22,2532.3,2613.0,2532.3,2580.1,2528.65,73772
eClerx Services Limited,ECLERX,2023-12-21,2539.0,2559.95,2464.0,2528.65,2544.65,81905
eClerx Services Limited,ECLERX,2023-12-20,2534.45,2624.8,2503.0,2544.65,2534.45,155924
eClerx Services Limited,ECLERX,2023-12-19,2531.0,2559.95,2482.55,2534.45,2512.7,108572
eClerx Services Limited,ECLERX,2023-12-18,2549.8,2556.75,2495.0,2512.7,2542.6,63901
eClerx Services Limited,ECLERX,2023-12-15,2535.5,2601.0,2522.0,2542.6,2522.15,141299
eClerx Services Limited,ECLERX,2023-12-14,2534.75,2584.9,2490.8,2522.15,2497.3,120991
eClerx Services Limited,ECLERX,2023-12-13,2480.2,2575.0,2478.8,2497.3,2477.7,71722
eClerx Services Limited,ECLERX,2023-12-12,2600.0,2605.95,2457.0,2477.7,2573.65,75871
eClerx Services Limited,ECLERX,2023-12-11,2581.55,2610.0,2545.5,2573.65,2543.4,37789
eClerx Services Limited,ECLERX,2023-12-08,2630.0,2630.0,2525.0,2543.4,2612.35,34274
eClerx Services Limited,ECLERX,2023-12-07,2576.0,2625.0,2560.0,2612.35,2558.85,40210
eClerx Services Limited,ECLERX,2023-12-06,2593.4,2616.5,2538.15,2558.85,2592.55,37810
eClerx Services Limited,ECLERX,2023-12-05,2630.0,2665.95,2571.2,2592.55,2628.15,62846
eClerx Services Limited,ECLERX,2023-12-04,2750.65,2756.0,2604.3,2628.15,2632.95,73172
eClerx Services Limited,ECLERX,2023-12-01,2710.0,2710.0,2612.8,2632.95,2676.9,100112
eClerx Services Limited,ECLERX,2023-11-30,2600.0,2728.8,2538.65,2676.9,2608.6,209641
eClerx Services Limited,ECLERX,2023-11-29,2513.0,2635.45,2495.0,2608.6,2491.05,194446
eClerx Services Limited,ECLERX,2023-11-28,2599.65,2613.75,2476.9,2491.05,2589.25,128221
eClerx Services Limited,ECLERX,2023-11-24,2641.2,2660.95,2552.0,2589.25,2650.35,225207
eClerx Services Limited,ECLERX,2023-11-23,2582.05,2675.0,2507.05,2650.35,2627.2,389980
eClerx Services Limited,ECLERX,2023-11-22,2345.9,2760.0,2337.4,2627.2,2337.4,1350246
eClerx Services Limited,ECLERX,2023-11-21,2385.0,2464.25,2313.2,2337.4,2397.1,111919
eClerx Services Limited,ECLERX,2023-11-20,2420.0,2464.8,2374.95,2397.1,2414.65,67287
eClerx Services Limited,ECLERX,2023-11-17,2381.5,2474.25,2377.55,2414.65,2369.0,131102
eClerx Services Limited,ECLERX,2023-11-16,2440.0,2473.45,2351.05,2369.0,2431.65,127291
eClerx Services Limited,ECLERX,2023-11-15,2344.0,2468.0,2280.8,2431.65,2318.65,435202
eClerx Services Limited,ECLERX,2023-11-13,2220.0,2337.9,2202.25,2318.65,2203.35,291130
eClerx Services Limited,ECLERX,2023-11-12,2180.0,2238.0,2160.2,2203.35,2151.9,74400
eClerx Services Limited,ECLERX,2023-11-10,2167.9,2195.0,2110.0,2151.9,2056.15,383952
eClerx Services Limited,ECLERX,2023-11-09,2099.8,2130.0,2002.0,2056.15,2088.85,37257
