StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Eicher Motors Limited,EICHERMOT,2024-03-28,3915.3,4075.0,3891.75,4019.3,3913.8,1307106
Eicher Motors Limited,EICHERMOT,2024-03-27,3934.8,3987.0,3905.8,3913.8,3911.1,510950
Eicher Motors Limited,EICHERMOT,2024-03-26,4001.45,4042.5,3907.1,3911.1,3988.4,772158
Eicher Motors Limited,EICHERMOT,2024-03-22,3945.0,4013.95,3863.2,3988.4,3918.95,1033237
Eicher Motors Limited,EICHERMOT,2024-03-21,3881.35,3949.0,3881.0,3918.95,3873.6,838929
Eicher Motors Limited,EICHERMOT,2024-03-20,3821.0,3940.0,3821.0,3873.6,3716.85,3045475
Eicher Motors Limited,EICHERMOT,2024-03-19,3699.7,3730.0,3672.0,3716.85,3699.7,559402
Eicher Motors Limited,EICHERMOT,2024-03-18,3745.0,3745.0,3681.7,3699.7,3745.65,533167
Eicher Motors Limited,EICHERMOT,2024-03-15,3772.65,3779.95,3707.05,3745.65,3772.65,487749
Eicher Motors Limited,EICHERMOT,2024-03-14,3717.0,3803.75,3686.25,3772.65,3735.55,720948
Eicher Motors Limited,EICHERMOT,2024-03-13,3811.55,3852.4,3715.0,3735.55,3810.75,428324
Eicher Motors Limited,EICHERMOT,2024-03-12,3804.4,3855.8,3771.0,3810.75,3783.9,528035
Eicher Motors Limited,EICHERMOT,2024-03-11,3795.45,3814.95,3770.0,3783.9,3785.25,373335
Eicher Motors Limited,EICHERMOT,2024-03-07,3793.2,3810.0,3759.05,3785.25,3793.2,734239
Eicher Motors Limited,EICHERMOT,2024-03-06,3800.0,3806.85,3734.05,3793.2,3791.9,315398
Eicher Motors Limited,EICHERMOT,2024-03-05,3751.45,3801.95,3742.55,3791.9,3751.45,591293
Eicher Motors Limited,EICHERMOT,2024-03-04,3858.6,3883.3,3744.0,3751.45,3860.35,641251
Eicher Motors Limited,EICHERMOT,2024-03-02,3855.0,3877.85,3837.05,3860.35,3843.55,17701
Eicher Motors Limited,EICHERMOT,2024-03-01,3790.2,3868.8,3776.05,3843.55,3792.4,665946
Eicher Motors Limited,EICHERMOT,2024-02-29,3862.95,3890.0,3760.05,3792.4,3863.75,1021336
Eicher Motors Limited,EICHERMOT,2024-02-28,4002.75,4018.95,3851.0,3863.75,4002.75,658953
Eicher Motors Limited,EICHERMOT,2024-02-27,3950.0,4012.55,3940.0,4002.75,3952.95,579400
Eicher Motors Limited,EICHERMOT,2024-02-26,3927.05,3991.45,3895.0,3952.95,3927.05,474465
Eicher Motors Limited,EICHERMOT,2024-02-23,3970.4,3972.0,3913.65,3927.05,3951.4,571998
Eicher Motors Limited,EICHERMOT,2024-02-22,3864.8,3970.0,3841.85,3951.4,3836.35,1130600
Eicher Motors Limited,EICHERMOT,2024-02-21,3828.1,3895.75,3821.0,3836.35,3828.1,575380
Eicher Motors Limited,EICHERMOT,2024-02-20,3894.0,3898.9,3784.2,3828.1,3902.85,1324518
