StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
EID Parry India Limited,EIDPARRY,2024-03-28,546.1,555.95,543.0,545.7,545.5,184116
EID Parry India Limited,EIDPARRY,2024-03-27,546.4,556.95,540.0,545.5,550.85,310982
EID Parry India Limited,EIDPARRY,2024-03-26,567.95,571.0,547.1,550.85,564.6,190691
EID Parry India Limited,EIDPARRY,2024-03-22,553.1,572.2,553.1,564.6,555.7,185175
EID Parry India Limited,EIDPARRY,2024-03-21,547.45,560.0,547.4,555.7,542.15,164816
EID Parry India Limited,EIDPARRY,2024-03-20,559.95,564.5,539.3,542.15,556.95,166698
EID Parry India Limited,EIDPARRY,2024-03-19,570.0,570.0,554.5,556.95,564.8,126328
EID Parry India Limited,EIDPARRY,2024-03-18,565.5,571.0,560.3,564.8,565.45,124439
EID Parry India Limited,EIDPARRY,2024-03-15,565.8,579.9,561.0,565.45,561.35,271235
EID Parry India Limited,EIDPARRY,2024-03-14,554.95,566.95,550.85,561.35,554.1,257283
EID Parry India Limited,EIDPARRY,2024-03-13,579.5,581.9,547.8,554.1,576.6,561189
EID Parry India Limited,EIDPARRY,2024-03-12,602.35,605.7,573.1,576.6,602.15,327842
EID Parry India Limited,EIDPARRY,2024-03-11,612.1,617.65,599.0,602.15,608.15,201685
EID Parry India Limited,EIDPARRY,2024-03-07,604.95,617.9,604.95,608.15,602.35,143506
EID Parry India Limited,EIDPARRY,2024-03-06,618.0,618.1,597.4,602.35,618.45,397051
EID Parry India Limited,EIDPARRY,2024-03-05,618.05,622.0,613.0,618.45,617.15,131031
EID Parry India Limited,EIDPARRY,2024-03-04,627.95,632.4,612.25,617.15,624.5,414830
EID Parry India Limited,EIDPARRY,2024-03-02,627.15,633.75,618.5,624.5,623.4,21502
EID Parry India Limited,EIDPARRY,2024-03-01,634.0,634.0,621.95,623.4,629.5,136095
EID Parry India Limited,EIDPARRY,2024-02-29,627.0,638.8,622.2,629.5,622.4,356662
EID Parry India Limited,EIDPARRY,2024-02-28,634.0,640.5,618.1,622.4,631.4,382966
EID Parry India Limited,EIDPARRY,2024-02-27,630.0,634.75,625.0,631.4,630.35,377988
EID Parry India Limited,EIDPARRY,2024-02-26,640.5,643.5,624.85,630.35,638.7,410234
EID Parry India Limited,EIDPARRY,2024-02-23,626.95,642.0,624.05,638.7,628.0,647917
EID Parry India Limited,EIDPARRY,2024-02-22,642.95,642.95,614.4,628.0,639.8,833193
EID Parry India Limited,EIDPARRY,2024-02-21,637.95,659.0,633.8,639.8,637.95,1607120
EID Parry India Limited,EIDPARRY,2024-02-20,635.0,653.45,621.95,637.95,599.55,4801738
EID Parry India Limited,EIDPARRY,2024-02-19,600.75,608.9,595.0,599.55,597.2,219480
