StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
EIH Limited,EIHOTEL,2024-03-28,441.0,473.9,441.0,449.5,439.8,1555171
EIH Limited,EIHOTEL,2024-03-27,449.8,456.7,430.35,439.8,442.5,1078430
EIH Limited,EIHOTEL,2024-03-26,428.0,448.45,425.05,442.5,421.75,1335045
EIH Limited,EIHOTEL,2024-03-22,420.0,425.0,415.95,421.75,419.15,361432
EIH Limited,EIHOTEL,2024-03-21,416.5,422.9,415.1,419.15,416.25,240699
EIH Limited,EIHOTEL,2024-03-20,398.0,421.0,396.5,416.25,398.55,588462
EIH Limited,EIHOTEL,2024-03-19,404.8,408.5,396.0,398.55,405.05,172102
EIH Limited,EIHOTEL,2024-03-18,417.05,419.0,402.4,405.05,417.05,285234
EIH Limited,EIHOTEL,2024-03-15,426.0,429.0,400.0,417.05,420.0,514050
EIH Limited,EIHOTEL,2024-03-14,380.1,426.9,377.35,420.0,385.95,875213
EIH Limited,EIHOTEL,2024-03-13,401.7,410.0,365.75,385.95,406.25,1145050
EIH Limited,EIHOTEL,2024-03-12,418.9,418.9,402.0,406.25,414.5,373764
EIH Limited,EIHOTEL,2024-03-11,428.25,429.65,411.5,414.5,424.85,511825
EIH Limited,EIHOTEL,2024-03-07,427.0,429.65,420.05,424.85,428.05,424098
EIH Limited,EIHOTEL,2024-03-06,430.0,432.0,415.85,428.05,426.9,1822143
EIH Limited,EIHOTEL,2024-03-05,415.5,431.0,413.65,426.9,413.65,1476862
EIH Limited,EIHOTEL,2024-03-04,409.85,428.35,407.0,413.65,404.6,1482101
EIH Limited,EIHOTEL,2024-03-02,411.75,411.75,403.0,404.6,406.1,58180
EIH Limited,EIHOTEL,2024-03-01,406.8,413.3,402.85,406.1,403.95,550750
EIH Limited,EIHOTEL,2024-02-29,392.0,407.25,384.35,403.95,393.95,1703605
EIH Limited,EIHOTEL,2024-02-28,399.2,401.3,391.3,393.95,398.35,1981369
EIH Limited,EIHOTEL,2024-02-27,402.0,407.5,395.0,398.35,404.85,451726
EIH Limited,EIHOTEL,2024-02-26,405.0,414.75,398.25,404.85,407.35,739604
EIH Limited,EIHOTEL,2024-02-23,399.95,411.7,397.15,407.35,397.4,812080
EIH Limited,EIHOTEL,2024-02-22,402.95,409.9,390.0,397.4,400.6,1293748
EIH Limited,EIHOTEL,2024-02-21,400.0,423.0,395.5,400.6,398.3,3182518
EIH Limited,EIHOTEL,2024-02-20,403.0,485.75,390.05,398.3,404.8,6094323
EIH Limited,EIHOTEL,2024-02-19,403.0,412.5,395.25,404.8,394.7,562950
EIH Limited,EIHOTEL,2024-02-16,411.0,413.8,392.5,394.7,409.55,852020
EIH Limited,EIHOTEL,2024-02-15,396.45,414.0,393.1,409.55,391.9,630844
EIH Limited,EIHOTEL,2024-02-14,390.9,415.3,380.65,391.9,388.3,649775
EIH Limited,EIHOTEL,2024-02-13,391.1,399.0,360.0,388.3,391.1,852864
EIH Limited,EIHOTEL,2024-02-12,404.0,411.9,385.35,391.1,407.5,675226
EIH Limited,EIHOTEL,2024-02-09,412.95,421.3,386.3,407.5,414.15,889558
EIH Limited,EIHOTEL,2024-02-08,425.0,425.0,407.25,414.15,425.0,2398325
EIH Limited,EIHOTEL,2024-02-07,396.0,426.5,383.1,425.0,355.45,15186206
EIH Limited,EIHOTEL,2024-02-06,348.2,358.6,344.4,355.45,344.25,1145312
EIH Limited,EIHOTEL,2024-02-05,339.0,347.8,335.5,344.25,339.0,1183958
EIH Limited,EIHOTEL,2024-02-02,330.0,342.0,326.55,339.0,327.3,1792796
EIH Limited,EIHOTEL,2024-02-01,329.05,329.65,323.0,327.3,327.85,379362
EIH Limited,EIHOTEL,2024-01-31,321.65,329.7,319.6,327.85,319.35,1177235
EIH Limited,EIHOTEL,2024-01-30,323.6,324.3,314.1,319.35,323.4,709088
EIH Limited,EIHOTEL,2024-01-29,312.5,325.1,309.5,323.4,310.45,1612460
EIH Limited,EIHOTEL,2024-01-25,307.6,314.95,307.05,310.45,308.7,2649598
EIH Limited,EIHOTEL,2024-01-24,298.0,315.8,297.3,308.7,295.45,1689278
EIH Limited,EIHOTEL,2024-01-23,304.0,316.75,293.45,295.45,293.45,3744314
EIH Limited,EIHOTEL,2024-01-20,292.75,295.0,287.6,293.45,288.45,388300
EIH Limited,EIHOTEL,2024-01-19,288.8,292.9,283.1,288.45,285.7,1208428
EIH Limited,EIHOTEL,2024-01-18,283.15,290.35,274.4,285.7,283.35,1198154
EIH Limited,EIHOTEL,2024-01-17,286.0,289.3,280.95,283.35,289.25,925643
EIH Limited,EIHOTEL,2024-01-16,292.4,294.5,285.05,289.25,288.95,1092399
EIH Limited,EIHOTEL,2024-01-15,280.1,291.0,277.9,288.95,279.7,1549844
EIH Limited,EIHOTEL,2024-01-12,279.25,282.9,276.0,279.7,278.25,702746
EIH Limited,EIHOTEL,2024-01-11,274.05,282.95,274.05,278.25,275.9,850757
EIH Limited,EIHOTEL,2024-01-10,275.15,281.6,274.0,275.9,275.15,748904
EIH Limited,EIHOTEL,2024-01-09,272.3,279.5,272.3,275.15,271.3,730389
EIH Limited,EIHOTEL,2024-01-08,278.0,278.95,270.0,271.3,279.2,1255653
EIH Limited,EIHOTEL,2024-01-05,281.0,287.25,275.1,279.2,280.5,1637533
EIH Limited,EIHOTEL,2024-01-04,270.5,288.0,269.4,280.5,269.05,2639629
EIH Limited,EIHOTEL,2024-01-03,266.4,270.0,262.85,269.05,265.55,1766703
EIH Limited,EIHOTEL,2024-01-02,250.85,268.65,249.0,265.55,250.85,6862998
EIH Limited,EIHOTEL,2024-01-01,253.0,254.0,248.5,250.85,249.5,1025306
EIH Limited,EIHOTEL,2023-12-29,243.2,250.5,243.0,249.5,243.2,1250619
EIH Limited,EIHOTEL,2023-12-28,242.0,244.5,242.0,243.2,241.95,1089030
EIH Limited,EIHOTEL,2023-12-27,242.1,243.7,240.25,241.95,241.35,534865
EIH Limited,EIHOTEL,2023-12-26,235.65,242.15,235.65,241.35,237.55,709649
EIH Limited,EIHOTEL,2023-12-22,234.7,238.7,233.15,237.55,234.7,549097
EIH Limited,EIHOTEL,2023-12-21,225.65,235.25,222.45,234.7,228.5,1206560
EIH Limited,EIHOTEL,2023-12-20,244.25,245.45,227.15,228.5,243.25,1639721
EIH Limited,EIHOTEL,2023-12-19,245.9,248.6,242.05,243.25,245.15,599675
EIH Limited,EIHOTEL,2023-12-18,243.05,250.0,242.65,245.15,243.75,1489340
EIH Limited,EIHOTEL,2023-12-15,244.0,246.45,242.1,243.75,242.6,1097731
EIH Limited,EIHOTEL,2023-12-14,244.7,245.2,241.05,242.6,241.55,755904
EIH Limited,EIHOTEL,2023-12-13,245.9,246.45,239.0,241.55,244.75,709273
EIH Limited,EIHOTEL,2023-12-12,251.0,251.05,243.0,244.75,248.65,699213
EIH Limited,EIHOTEL,2023-12-11,250.95,251.7,246.3,248.65,247.35,2632189
EIH Limited,EIHOTEL,2023-12-08,250.1,255.5,243.0,247.35,249.4,1646185
EIH Limited,EIHOTEL,2023-12-07,238.65,251.0,238.0,249.4,239.15,2674962
EIH Limited,EIHOTEL,2023-12-06,240.95,241.55,238.3,239.15,239.95,737513
EIH Limited,EIHOTEL,2023-12-05,239.9,244.55,237.8,239.95,238.85,855793
EIH Limited,EIHOTEL,2023-12-04,239.6,243.0,237.1,238.85,236.2,1089696
EIH Limited,EIHOTEL,2023-12-01,236.45,238.2,234.55,236.2,237.9,854274
