StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Elecon Engineering Company Limited,ELECON,2024-03-28,970.0,974.4,933.9,948.75,960.15,123181
Elecon Engineering Company Limited,ELECON,2024-03-27,949.9,971.0,928.1,960.15,943.25,310626
Elecon Engineering Company Limited,ELECON,2024-03-26,920.25,948.7,905.4,943.25,920.25,246240
Elecon Engineering Company Limited,ELECON,2024-03-22,889.05,924.7,881.15,920.25,889.8,273633
Elecon Engineering Company Limited,ELECON,2024-03-21,855.0,905.4,854.3,889.8,840.85,234785
Elecon Engineering Company Limited,ELECON,2024-03-20,846.0,860.0,825.0,840.85,839.1,137953
Elecon Engineering Company Limited,ELECON,2024-03-19,856.5,856.5,832.05,839.1,848.45,113445
Elecon Engineering Company Limited,ELECON,2024-03-18,870.0,878.5,842.5,848.45,872.95,221090
Elecon Engineering Company Limited,ELECON,2024-03-15,855.3,893.35,841.0,872.95,844.0,1932239
Elecon Engineering Company Limited,ELECON,2024-03-14,823.0,860.0,790.3,844.0,809.8,358527
Elecon Engineering Company Limited,ELECON,2024-03-13,879.95,884.7,795.1,809.8,870.25,565912
Elecon Engineering Company Limited,ELECON,2024-03-12,930.05,952.0,859.0,870.25,942.85,421424
Elecon Engineering Company Limited,ELECON,2024-03-11,962.35,963.0,921.0,942.85,962.35,287115
Elecon Engineering Company Limited,ELECON,2024-03-07,945.75,965.9,930.45,962.35,942.6,177700
Elecon Engineering Company Limited,ELECON,2024-03-06,981.1,982.25,933.0,942.6,981.7,239589
Elecon Engineering Company Limited,ELECON,2024-03-05,998.0,999.0,976.0,981.7,991.05,133721
Elecon Engineering Company Limited,ELECON,2024-03-04,999.45,1001.55,975.4,991.05,998.9,111188
Elecon Engineering Company Limited,ELECON,2024-03-02,987.0,1007.0,980.05,998.9,989.9,14736
Elecon Engineering Company Limited,ELECON,2024-03-01,998.9,1009.8,986.05,989.9,1002.15,112712
Elecon Engineering Company Limited,ELECON,2024-02-29,943.4,1013.9,911.0,1002.15,938.8,554537
Elecon Engineering Company Limited,ELECON,2024-02-28,966.0,971.0,924.0,938.8,951.0,203984
Elecon Engineering Company Limited,ELECON,2024-02-27,1000.0,1006.9,933.0,951.0,999.25,329265
Elecon Engineering Company Limited,ELECON,2024-02-26,1024.0,1025.95,995.0,999.25,1018.9,118122
Elecon Engineering Company Limited,ELECON,2024-02-23,1005.0,1028.7,999.0,1018.9,997.3,157756
Elecon Engineering Company Limited,ELECON,2024-02-22,997.0,1009.55,991.0,997.3,999.4,125877
Elecon Engineering Company Limited,ELECON,2024-02-21,1031.8,1036.0,986.05,999.4,1021.55,196276
Elecon Engineering Company Limited,ELECON,2024-02-20,1045.0,1053.25,1018.0,1021.55,1043.4,130834
Elecon Engineering Company Limited,ELECON,2024-02-19,1030.4,1059.9,1022.0,1043.4,1020.2,189416
Elecon Engineering Company Limited,ELECON,2024-02-16,1034.45,1050.0,1011.1,1020.2,1026.45,167112
Elecon Engineering Company Limited,ELECON,2024-02-15,1044.65,1063.95,1023.55,1026.45,1038.4,154230
Elecon Engineering Company Limited,ELECON,2024-02-14,990.25,1047.8,990.25,1038.4,1005.9,174676
Elecon Engineering Company Limited,ELECON,2024-02-13,985.2,1014.85,971.35,1005.9,985.15,114029
Elecon Engineering Company Limited,ELECON,2024-02-12,1014.15,1015.15,981.0,985.15,1014.15,145307
Elecon Engineering Company Limited,ELECON,2024-02-09,1042.0,1048.5,996.45,1014.15,1042.55,212848
Elecon Engineering Company Limited,ELECON,2024-02-08,1061.0,1061.0,1040.05,1042.55,1056.85,116396
Elecon Engineering Company Limited,ELECON,2024-02-07,1054.0,1069.0,1045.85,1056.85,1048.0,123101
Elecon Engineering Company Limited,ELECON,2024-02-06,1070.0,1074.35,1043.0,1048.0,1067.85,156685
Elecon Engineering Company Limited,ELECON,2024-02-05,1076.6,1089.0,1058.2,1067.85,1067.3,282890
Elecon Engineering Company Limited,ELECON,2024-02-02,1075.2,1098.0,1060.0,1067.3,1069.85,285690
Elecon Engineering Company Limited,ELECON,2024-02-01,1106.15,1109.2,1064.75,1069.85,1100.6,319527
Elecon Engineering Company Limited,ELECON,2024-01-31,1090.0,1109.0,1063.25,1100.6,1085.8,468048
Elecon Engineering Company Limited,ELECON,2024-01-30,1071.35,1122.0,1067.1,1085.8,1064.25,808447
Elecon Engineering Company Limited,ELECON,2024-01-29,1050.0,1084.0,1039.0,1064.25,1036.2,523089
Elecon Engineering Company Limited,ELECON,2024-01-25,1066.6,1119.9,1025.85,1036.2,1059.1,1289928
Elecon Engineering Company Limited,ELECON,2024-01-24,1000.0,1067.7,995.05,1059.1,1010.55,428513
Elecon Engineering Company Limited,ELECON,2024-01-23,1096.35,1100.0,1005.0,1010.55,1075.8,485148
Elecon Engineering Company Limited,ELECON,2024-01-20,1093.0,1099.0,1062.95,1075.8,1085.55,160740
Elecon Engineering Company Limited,ELECON,2024-01-19,1025.0,1091.0,1022.6,1085.55,1016.15,663970
Elecon Engineering Company Limited,ELECON,2024-01-18,1017.0,1028.0,957.55,1016.15,1018.8,444908
Elecon Engineering Company Limited,ELECON,2024-01-17,1025.0,1042.05,1010.0,1018.8,1033.2,290190
Elecon Engineering Company Limited,ELECON,2024-01-16,1074.0,1090.0,1005.15,1033.2,1073.55,510144
Elecon Engineering Company Limited,ELECON,2024-01-15,1027.5,1093.6,1022.9,1073.55,1020.65,957729
Elecon Engineering Company Limited,ELECON,2024-01-12,1020.1,1027.6,1006.85,1020.65,1014.05,335798
Elecon Engineering Company Limited,ELECON,2024-01-11,1007.1,1033.9,1000.0,1014.05,1002.9,572297
Elecon Engineering Company Limited,ELECON,2024-01-10,1009.0,1009.35,985.0,1002.9,1004.95,319182
Elecon Engineering Company Limited,ELECON,2024-01-09,1005.1,1027.0,997.0,1004.95,991.5,752463
Elecon Engineering Company Limited,ELECON,2024-01-08,942.0,1028.0,942.0,991.5,934.85,2590941
Elecon Engineering Company Limited,ELECON,2024-01-05,935.95,944.75,926.55,934.85,928.35,188937
Elecon Engineering Company Limited,ELECON,2024-01-04,925.9,941.25,917.0,928.35,921.75,155641
Elecon Engineering Company Limited,ELECON,2024-01-03,920.0,929.05,916.85,921.75,919.25,119030
Elecon Engineering Company Limited,ELECON,2024-01-02,940.2,944.95,905.0,919.25,937.4,248544
Elecon Engineering Company Limited,ELECON,2024-01-01,932.95,944.9,928.95,937.4,926.95,147484
Elecon Engineering Company Limited,ELECON,2023-12-29,937.55,968.0,922.0,926.95,937.55,514359
Elecon Engineering Company Limited,ELECON,2023-12-28,945.95,948.0,932.05,937.55,939.0,171028
Elecon Engineering Company Limited,ELECON,2023-12-27,945.0,950.0,931.3,939.0,940.25,244322
Elecon Engineering Company Limited,ELECON,2023-12-26,891.95,947.7,882.2,940.25,893.5,887879
Elecon Engineering Company Limited,ELECON,2023-12-22,896.0,903.5,883.15,893.5,889.95,131045
Elecon Engineering Company Limited,ELECON,2023-12-21,885.0,897.65,857.55,889.95,881.45,203823
Elecon Engineering Company Limited,ELECON,2023-12-20,909.5,936.0,865.0,881.45,906.05,488488
Elecon Engineering Company Limited,ELECON,2023-12-19,917.0,918.7,902.0,906.05,913.0,195929
Elecon Engineering Company Limited,ELECON,2023-12-18,920.95,922.7,908.65,913.0,915.65,203601
Elecon Engineering Company Limited,ELECON,2023-12-15,925.25,934.45,911.95,915.65,922.1,194198
Elecon Engineering Company Limited,ELECON,2023-12-14,937.5,943.35,918.15,922.1,931.55,173868
Elecon Engineering Company Limited,ELECON,2023-12-13,915.0,935.6,906.5,931.55,913.5,215146
Elecon Engineering Company Limited,ELECON,2023-12-12,936.95,948.0,906.0,913.5,933.45,249255
Elecon Engineering Company Limited,ELECON,2023-12-11,938.0,972.85,928.0,933.45,937.35,347075
Elecon Engineering Company Limited,ELECON,2023-12-08,950.0,954.7,925.0,937.35,948.3,156392
Elecon Engineering Company Limited,ELECON,2023-12-07,931.0,959.15,916.15,948.3,930.4,277903
Elecon Engineering Company Limited,ELECON,2023-12-06,936.0,942.3,916.9,930.4,934.0,205107
Elecon Engineering Company Limited,ELECON,2023-12-05,955.8,966.0,925.0,934.0,953.6,336312
Elecon Engineering Company Limited,ELECON,2023-12-04,950.0,984.0,950.0,953.6,936.85,321459
Elecon Engineering Company Limited,ELECON,2023-12-01,948.0,963.85,932.55,936.85,942.9,271707
Elecon Engineering Company Limited,ELECON,2023-11-30,917.8,949.0,905.55,942.9,912.8,775489
Elecon Engineering Company Limited,ELECON,2023-11-29,935.05,942.0,907.15,912.8,931.2,498928
Elecon Engineering Company Limited,ELECON,2023-11-28,989.0,989.8,925.55,931.2,956.25,635048
Elecon Engineering Company Limited,ELECON,2023-11-24,890.0,987.7,886.0,956.25,883.15,3137133
