StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Elgi Equipments Limited,ELGIEQUIP,2024-03-28,583.75,605.0,578.15,601.7,579.4,514956
Elgi Equipments Limited,ELGIEQUIP,2024-03-27,581.5,589.5,576.55,579.4,580.45,243548
Elgi Equipments Limited,ELGIEQUIP,2024-03-26,593.0,593.0,578.05,580.45,589.55,244293
Elgi Equipments Limited,ELGIEQUIP,2024-03-22,594.5,601.2,584.0,589.55,596.9,349159
Elgi Equipments Limited,ELGIEQUIP,2024-03-21,599.95,617.4,594.2,596.9,597.4,199169
Elgi Equipments Limited,ELGIEQUIP,2024-03-20,629.85,630.0,594.0,597.4,629.4,277548
Elgi Equipments Limited,ELGIEQUIP,2024-03-19,627.0,633.55,626.55,629.4,628.05,95589
Elgi Equipments Limited,ELGIEQUIP,2024-03-18,630.0,636.95,622.55,628.05,634.0,77261
Elgi Equipments Limited,ELGIEQUIP,2024-03-15,632.85,652.25,618.8,634.0,630.7,424929
Elgi Equipments Limited,ELGIEQUIP,2024-03-14,621.3,642.3,609.0,630.7,624.8,239080
Elgi Equipments Limited,ELGIEQUIP,2024-03-13,628.1,630.0,602.95,624.8,631.85,388766
Elgi Equipments Limited,ELGIEQUIP,2024-03-12,684.5,687.0,625.55,631.85,684.45,614251
Elgi Equipments Limited,ELGIEQUIP,2024-03-11,702.5,713.45,671.55,684.45,699.7,215247
Elgi Equipments Limited,ELGIEQUIP,2024-03-07,697.5,707.45,693.35,699.7,697.55,160652
Elgi Equipments Limited,ELGIEQUIP,2024-03-06,703.65,714.2,679.0,697.55,703.05,286477
Elgi Equipments Limited,ELGIEQUIP,2024-03-05,672.0,713.9,672.0,703.05,681.35,880535
Elgi Equipments Limited,ELGIEQUIP,2024-03-04,689.85,691.95,676.75,681.35,687.35,210715
Elgi Equipments Limited,ELGIEQUIP,2024-03-02,687.0,701.0,685.0,687.35,680.6,57220
Elgi Equipments Limited,ELGIEQUIP,2024-03-01,653.45,696.45,653.3,680.6,652.05,1890817
Elgi Equipments Limited,ELGIEQUIP,2024-02-29,631.7,655.5,615.55,652.05,631.3,354896
Elgi Equipments Limited,ELGIEQUIP,2024-02-28,633.85,639.0,625.95,631.3,631.95,94805
Elgi Equipments Limited,ELGIEQUIP,2024-02-27,622.95,635.2,617.05,631.95,621.9,173157
Elgi Equipments Limited,ELGIEQUIP,2024-02-26,634.0,635.65,620.2,621.9,632.45,85007
Elgi Equipments Limited,ELGIEQUIP,2024-02-23,634.15,637.0,624.1,632.45,629.1,95443
Elgi Equipments Limited,ELGIEQUIP,2024-02-22,649.5,651.0,622.5,629.1,646.7,305098
Elgi Equipments Limited,ELGIEQUIP,2024-02-21,631.6,669.8,631.6,646.7,630.25,565862
Elgi Equipments Limited,ELGIEQUIP,2024-02-20,632.4,674.0,626.0,630.25,631.75,880822
Elgi Equipments Limited,ELGIEQUIP,2024-02-19,645.65,645.7,630.8,631.75,640.55,80451
Elgi Equipments Limited,ELGIEQUIP,2024-02-16,649.9,661.35,636.5,640.55,647.75,269733
Elgi Equipments Limited,ELGIEQUIP,2024-02-15,660.0,667.0,642.15,647.75,668.15,297012
Elgi Equipments Limited,ELGIEQUIP,2024-02-14,613.0,683.5,612.0,668.15,613.25,3735572
Elgi Equipments Limited,ELGIEQUIP,2024-02-13,664.0,664.0,606.6,613.25,679.4,757104
Elgi Equipments Limited,ELGIEQUIP,2024-02-12,679.8,699.0,667.05,679.4,679.8,249471
Elgi Equipments Limited,ELGIEQUIP,2024-02-09,678.05,685.45,661.15,679.8,680.4,631645
Elgi Equipments Limited,ELGIEQUIP,2024-02-08,656.0,703.95,654.15,680.4,649.2,1194879
Elgi Equipments Limited,ELGIEQUIP,2024-02-07,630.0,682.6,625.6,649.2,617.95,1617521
Elgi Equipments Limited,ELGIEQUIP,2024-02-06,597.0,624.9,595.45,617.95,594.1,307230
Elgi Equipments Limited,ELGIEQUIP,2024-02-05,606.6,606.6,582.3,594.1,606.6,196719
Elgi Equipments Limited,ELGIEQUIP,2024-02-02,616.3,619.9,600.0,606.6,614.5,195755
Elgi Equipments Limited,ELGIEQUIP,2024-02-01,611.8,617.45,608.05,614.5,614.9,167999
Elgi Equipments Limited,ELGIEQUIP,2024-01-31,612.25,617.0,607.4,614.9,607.4,278428
Elgi Equipments Limited,ELGIEQUIP,2024-01-30,599.6,615.5,591.4,607.4,595.45,681790
Elgi Equipments Limited,ELGIEQUIP,2024-01-29,584.0,602.45,580.45,595.45,580.55,884777
Elgi Equipments Limited,ELGIEQUIP,2024-01-25,578.5,587.5,576.0,580.55,575.05,555182
