StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Emami Limited,EMAMILTD,2024-03-28,437.75,438.6,426.35,429.35,437.75,699523
Emami Limited,EMAMILTD,2024-03-27,439.0,440.85,432.0,437.75,435.25,687739
Emami Limited,EMAMILTD,2024-03-26,424.0,437.8,418.85,435.25,424.25,759976
Emami Limited,EMAMILTD,2024-03-22,430.0,438.35,419.6,424.25,428.1,1129009
Emami Limited,EMAMILTD,2024-03-21,424.95,431.0,423.05,428.1,423.95,1159886
Emami Limited,EMAMILTD,2024-03-20,428.0,429.2,421.1,423.95,428.15,548534
Emami Limited,EMAMILTD,2024-03-19,430.05,430.05,420.7,428.15,427.2,457960
Emami Limited,EMAMILTD,2024-03-18,423.25,430.55,418.3,427.2,423.05,596980
Emami Limited,EMAMILTD,2024-03-15,436.45,436.95,417.1,423.05,434.95,904432
Emami Limited,EMAMILTD,2024-03-14,436.0,443.2,433.0,434.95,437.3,349212
Emami Limited,EMAMILTD,2024-03-13,443.85,450.15,433.65,437.3,443.8,1599397
Emami Limited,EMAMILTD,2024-03-12,445.2,446.9,432.0,443.8,444.9,443203
Emami Limited,EMAMILTD,2024-03-11,450.2,457.4,443.4,444.9,450.2,415629
Emami Limited,EMAMILTD,2024-03-07,447.15,452.05,441.0,450.2,447.15,672010
Emami Limited,EMAMILTD,2024-03-06,459.4,459.8,445.75,447.15,458.95,755995
Emami Limited,EMAMILTD,2024-03-05,457.9,463.05,454.05,458.95,457.9,902936
Emami Limited,EMAMILTD,2024-03-04,460.0,460.9,452.35,457.9,458.25,328773
Emami Limited,EMAMILTD,2024-03-02,460.0,460.0,455.5,458.25,455.0,24258
Emami Limited,EMAMILTD,2024-03-01,466.0,466.85,452.2,455.0,466.0,561229
Emami Limited,EMAMILTD,2024-02-29,469.4,469.4,456.95,466.0,466.5,864281
Emami Limited,EMAMILTD,2024-02-28,469.15,470.95,453.3,466.5,469.2,3324253
Emami Limited,EMAMILTD,2024-02-27,469.8,471.9,466.0,469.2,469.6,853538
Emami Limited,EMAMILTD,2024-02-26,461.75,473.75,460.0,469.6,458.35,1248367
Emami Limited,EMAMILTD,2024-02-23,461.8,466.1,456.0,458.35,461.45,448313
Emami Limited,EMAMILTD,2024-02-22,468.55,472.05,460.0,461.45,467.7,276243
Emami Limited,EMAMILTD,2024-02-21,470.35,476.7,466.0,467.7,466.65,697750
Emami Limited,EMAMILTD,2024-02-20,476.0,478.3,465.75,466.65,475.35,489656
Emami Limited,EMAMILTD,2024-02-19,461.9,483.0,456.65,475.35,460.0,1497677
Emami Limited,EMAMILTD,2024-02-16,461.15,465.6,459.25,460.0,461.15,387468
Emami Limited,EMAMILTD,2024-02-15,465.95,470.0,460.65,461.15,464.7,1049919
Emami Limited,EMAMILTD,2024-02-14,469.05,474.9,462.0,464.7,470.0,324325
Emami Limited,EMAMILTD,2024-02-13,482.9,482.95,468.0,470.0,482.85,357787
Emami Limited,EMAMILTD,2024-02-12,485.5,487.65,475.55,482.85,484.55,393865
Emami Limited,EMAMILTD,2024-02-09,489.65,492.8,475.5,484.55,485.65,685529
Emami Limited,EMAMILTD,2024-02-08,491.05,496.95,484.0,485.65,493.1,386923
Emami Limited,EMAMILTD,2024-02-07,503.45,505.0,492.0,493.1,502.5,390799
Emami Limited,EMAMILTD,2024-02-06,504.05,510.95,498.95,502.5,503.1,850786
Emami Limited,EMAMILTD,2024-02-05,506.6,509.45,499.0,503.1,501.45,309361
Emami Limited,EMAMILTD,2024-02-02,499.8,505.05,496.35,501.45,498.6,570238
Emami Limited,EMAMILTD,2024-02-01,503.0,508.5,495.5,498.6,499.85,1076914
Emami Limited,EMAMILTD,2024-01-31,499.8,512.0,498.3,499.85,498.0,1096425
Emami Limited,EMAMILTD,2024-01-30,502.05,512.0,495.1,498.0,499.6,802338
Emami Limited,EMAMILTD,2024-01-29,493.9,502.5,493.9,499.6,492.5,711353
Emami Limited,EMAMILTD,2024-01-25,497.3,504.55,491.2,492.5,497.1,1000614
Emami Limited,EMAMILTD,2024-01-24,499.95,507.7,495.1,497.1,498.9,1035664
Emami Limited,EMAMILTD,2024-01-23,513.0,513.0,492.25,498.9,509.45,518113
