StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Endurance Technologies Limited,ENDURANCE,2024-03-28,1825.0,1865.0,1778.4,1827.0,1815.05,165547
Endurance Technologies Limited,ENDURANCE,2024-03-27,1765.0,1829.65,1762.85,1815.05,1762.85,165952
Endurance Technologies Limited,ENDURANCE,2024-03-26,1795.3,1818.25,1755.0,1762.85,1786.4,46074
Endurance Technologies Limited,ENDURANCE,2024-03-22,1775.0,1823.9,1775.0,1786.4,1779.9,58166
Endurance Technologies Limited,ENDURANCE,2024-03-21,1762.3,1795.45,1755.1,1779.9,1753.1,14819
Endurance Technologies Limited,ENDURANCE,2024-03-20,1782.0,1795.9,1735.0,1753.1,1781.4,33547
Endurance Technologies Limited,ENDURANCE,2024-03-19,1808.45,1808.5,1775.0,1781.4,1799.5,19489
Endurance Technologies Limited,ENDURANCE,2024-03-18,1829.95,1845.9,1767.0,1799.5,1807.2,94787
Endurance Technologies Limited,ENDURANCE,2024-03-15,1780.3,1845.9,1773.05,1807.2,1750.2,254764
Endurance Technologies Limited,ENDURANCE,2024-03-14,1731.2,1780.6,1720.8,1750.2,1726.3,63229
Endurance Technologies Limited,ENDURANCE,2024-03-13,1832.05,1838.95,1716.2,1726.3,1829.5,57276
Endurance Technologies Limited,ENDURANCE,2024-03-12,1802.95,1837.0,1787.1,1829.5,1802.95,110768
Endurance Technologies Limited,ENDURANCE,2024-03-11,1830.5,1846.95,1790.0,1802.95,1820.95,72631
Endurance Technologies Limited,ENDURANCE,2024-03-07,1781.0,1828.7,1781.0,1820.95,1786.9,167470
Endurance Technologies Limited,ENDURANCE,2024-03-06,1794.0,1821.9,1772.9,1786.9,1794.9,122396
Endurance Technologies Limited,ENDURANCE,2024-03-05,1834.95,1849.1,1785.7,1794.9,1835.5,110684
Endurance Technologies Limited,ENDURANCE,2024-03-04,1863.1,1863.1,1807.0,1835.5,1845.0,143308
Endurance Technologies Limited,ENDURANCE,2024-03-02,1837.75,1852.1,1824.0,1845.0,1828.25,1590
Endurance Technologies Limited,ENDURANCE,2024-03-01,1863.0,1863.0,1820.0,1828.25,1857.0,29876
Endurance Technologies Limited,ENDURANCE,2024-02-29,1806.25,1873.45,1802.05,1857.0,1808.35,177644
Endurance Technologies Limited,ENDURANCE,2024-02-28,1852.95,1867.2,1793.5,1808.35,1855.75,59990
Endurance Technologies Limited,ENDURANCE,2024-02-27,1866.8,1878.6,1822.15,1855.75,1860.8,216952
Endurance Technologies Limited,ENDURANCE,2024-02-26,1849.95,1877.0,1832.05,1860.8,1842.45,144357
Endurance Technologies Limited,ENDURANCE,2024-02-23,1834.95,1847.95,1827.3,1842.45,1829.1,79791
Endurance Technologies Limited,ENDURANCE,2024-02-22,1839.0,1850.0,1821.3,1829.1,1842.2,211136
Endurance Technologies Limited,ENDURANCE,2024-02-21,1831.7,1865.95,1801.5,1842.2,1831.7,147813
Endurance Technologies Limited,ENDURANCE,2024-02-20,1825.0,1840.75,1804.75,1831.7,1818.15,176770
Endurance Technologies Limited,ENDURANCE,2024-02-19,1790.0,1857.75,1783.65,1818.15,1783.65,147629
Endurance Technologies Limited,ENDURANCE,2024-02-16,1799.9,1825.6,1764.2,1783.65,1794.4,291809
Endurance Technologies Limited,ENDURANCE,2024-02-15,1825.0,1836.4,1780.0,1794.4,1817.1,119920
Endurance Technologies Limited,ENDURANCE,2024-02-14,1777.75,1838.0,1775.0,1817.1,1806.9,93869
Endurance Technologies Limited,ENDURANCE,2024-02-13,1784.4,1844.95,1763.45,1806.9,1775.7,69999
Endurance Technologies Limited,ENDURANCE,2024-02-12,1845.55,1881.95,1765.6,1775.7,1842.45,171221
Endurance Technologies Limited,ENDURANCE,2024-02-09,1954.0,1957.0,1832.15,1842.45,1929.7,338856
Endurance Technologies Limited,ENDURANCE,2024-02-08,2004.75,2004.75,1925.0,1929.7,1983.25,89632
Endurance Technologies Limited,ENDURANCE,2024-02-07,2197.0,2197.0,1965.05,1983.25,2115.3,229957
Endurance Technologies Limited,ENDURANCE,2024-02-06,2120.0,2197.0,2076.65,2115.3,2114.2,88317
Endurance Technologies Limited,ENDURANCE,2024-02-05,2135.7,2155.95,2095.0,2114.2,2129.05,27792
Endurance Technologies Limited,ENDURANCE,2024-02-02,2161.6,2171.15,2102.0,2129.05,2150.85,35444
Endurance Technologies Limited,ENDURANCE,2024-02-01,2115.0,2183.2,2102.35,2150.85,2105.25,98362
Endurance Technologies Limited,ENDURANCE,2024-01-31,2099.0,2175.0,2058.6,2105.25,2070.25,255313
Endurance Technologies Limited,ENDURANCE,2024-01-30,2017.0,2100.0,2008.55,2070.25,2023.25,65859
Endurance Technologies Limited,ENDURANCE,2024-01-29,1990.3,2067.55,1990.3,2023.25,1979.85,107879
Endurance Technologies Limited,ENDURANCE,2024-01-25,2001.7,2014.9,1969.95,1979.85,1992.2,49667
Endurance Technologies Limited,ENDURANCE,2024-01-24,2047.0,2056.95,1960.1,1992.2,2054.55,126980
Endurance Technologies Limited,ENDURANCE,2024-01-23,2075.0,2096.55,2016.55,2054.55,2065.4,51821
Endurance Technologies Limited,ENDURANCE,2024-01-20,2079.4,2091.05,2051.0,2065.4,2075.25,20544
Endurance Technologies Limited,ENDURANCE,2024-01-19,2047.1,2081.0,2009.65,2075.25,2036.4,89598
Endurance Technologies Limited,ENDURANCE,2024-01-18,2049.45,2050.0,1950.0,2036.4,2042.1,95265
Endurance Technologies Limited,ENDURANCE,2024-01-17,1952.0,2088.0,1914.85,2042.1,1952.35,537069
Endurance Technologies Limited,ENDURANCE,2024-01-16,1964.75,2024.95,1938.65,1952.35,1956.4,131549
Endurance Technologies Limited,ENDURANCE,2024-01-15,1981.0,2009.95,1926.45,1956.4,1992.95,167351
Endurance Technologies Limited,ENDURANCE,2024-01-12,2007.0,2024.55,1977.55,1992.95,2005.9,139496
Endurance Technologies Limited,ENDURANCE,2024-01-11,2029.9,2155.0,1962.55,2005.9,2012.3,532081
Endurance Technologies Limited,ENDURANCE,2024-01-10,2052.5,2072.0,2000.0,2012.3,2059.7,141216
Endurance Technologies Limited,ENDURANCE,2024-01-09,2113.1,2262.35,1985.8,2059.7,2091.95,910996
Endurance Technologies Limited,ENDURANCE,2024-01-08,2112.05,2199.8,2047.2,2091.95,2116.45,376266
Endurance Technologies Limited,ENDURANCE,2024-01-05,1932.0,2318.8,1932.0,2116.45,1932.35,1860825
Endurance Technologies Limited,ENDURANCE,2024-01-04,1884.4,1940.0,1881.45,1932.35,1892.8,76285
Endurance Technologies Limited,ENDURANCE,2024-01-03,1870.0,1909.9,1864.6,1892.8,1881.7,90384
Endurance Technologies Limited,ENDURANCE,2024-01-02,1917.1,1930.0,1870.0,1881.7,1929.75,57595
Endurance Technologies Limited,ENDURANCE,2024-01-01,1945.85,1945.85,1906.5,1929.75,1933.2,71934
Endurance Technologies Limited,ENDURANCE,2023-12-29,1870.45,1948.0,1870.0,1933.2,1870.45,523713
Endurance Technologies Limited,ENDURANCE,2023-12-28,1818.0,1880.0,1790.05,1870.45,1786.4,235875
Endurance Technologies Limited,ENDURANCE,2023-12-27,1805.0,1830.0,1770.0,1786.4,1801.95,82685
Endurance Technologies Limited,ENDURANCE,2023-12-26,1838.0,1847.35,1796.0,1801.95,1833.95,44545
Endurance Technologies Limited,ENDURANCE,2023-12-22,1810.0,1864.9,1787.3,1833.95,1803.65,262908
Endurance Technologies Limited,ENDURANCE,2023-12-21,1754.5,1806.0,1736.35,1803.65,1745.3,129229
Endurance Technologies Limited,ENDURANCE,2023-12-20,1785.15,1818.0,1720.1,1745.3,1781.7,130438
Endurance Technologies Limited,ENDURANCE,2023-12-19,1790.0,1818.7,1769.7,1781.7,1774.2,541381
Endurance Technologies Limited,ENDURANCE,2023-12-18,1750.0,1825.0,1705.05,1774.2,1736.55,361954
Endurance Technologies Limited,ENDURANCE,2023-12-15,1697.25,1745.45,1691.0,1736.55,1688.85,119240
Endurance Technologies Limited,ENDURANCE,2023-12-14,1705.0,1723.95,1685.15,1688.85,1698.95,31564
Endurance Technologies Limited,ENDURANCE,2023-12-13,1736.0,1740.0,1691.2,1698.95,1712.0,78670
Endurance Technologies Limited,ENDURANCE,2023-12-12,1669.95,1725.0,1668.0,1712.0,1665.4,156826
Endurance Technologies Limited,ENDURANCE,2023-12-11,1681.9,1688.2,1639.05,1665.4,1670.5,70408
Endurance Technologies Limited,ENDURANCE,2023-12-08,1688.5,1702.5,1655.0,1670.5,1679.7,42303
Endurance Technologies Limited,ENDURANCE,2023-12-07,1691.0,1738.4,1666.95,1679.7,1690.65,109828
Endurance Technologies Limited,ENDURANCE,2023-12-06,1745.5,1748.95,1681.0,1690.65,1736.4,88586
Endurance Technologies Limited,ENDURANCE,2023-12-05,1724.0,1767.15,1705.0,1736.4,1722.65,125607
Endurance Technologies Limited,ENDURANCE,2023-12-04,1728.0,1733.85,1684.65,1722.65,1679.7,108052
Endurance Technologies Limited,ENDURANCE,2023-12-01,1683.95,1697.65,1670.1,1679.7,1683.95,50259
Endurance Technologies Limited,ENDURANCE,2023-11-30,1644.0,1688.1,1624.0,1683.95,1638.15,79364
Endurance Technologies Limited,ENDURANCE,2023-11-29,1638.9,1647.95,1624.15,1638.15,1630.3,37250
Endurance Technologies Limited,ENDURANCE,2023-11-28,1625.0,1649.0,1616.1,1630.3,1619.45,115458
Endurance Technologies Limited,ENDURANCE,2023-11-24,1586.65,1642.3,1586.65,1619.45,1582.75,65659
Endurance Technologies Limited,ENDURANCE,2023-11-23,1592.6,1604.7,1572.35,1582.75,1590.3,182569
Endurance Technologies Limited,ENDURANCE,2023-11-22,1619.0,1619.2,1581.1,1590.3,1610.75,45225
Endurance Technologies Limited,ENDURANCE,2023-11-21,1615.2,1632.4,1599.1,1610.75,1628.4,32147
Endurance Technologies Limited,ENDURANCE,2023-11-20,1640.55,1653.95,1600.1,1628.4,1632.35,54441
Endurance Technologies Limited,ENDURANCE,2023-11-17,1599.0,1639.0,1595.5,1632.35,1595.7,171244
Endurance Technologies Limited,ENDURANCE,2023-11-16,1592.25,1615.0,1585.2,1595.7,1588.4,75530
Endurance Technologies Limited,ENDURANCE,2023-11-15,1620.0,1623.0,1585.05,1588.4,1607.3,68017
Endurance Technologies Limited,ENDURANCE,2023-11-13,1634.95,1640.65,1603.0,1607.3,1632.6,43895
Endurance Technologies Limited,ENDURANCE,2023-11-12,1639.0,1656.4,1621.25,1632.6,1635.45,9599
Endurance Technologies Limited,ENDURANCE,2023-11-10,1635.25,1643.9,1580.1,1635.45,1623.9,153155
Endurance Technologies Limited,ENDURANCE,2023-11-09,1729.5,1729.5,1611.55,1623.9,1724.65,185971
Endurance Technologies Limited,ENDURANCE,2023-11-08,1718.35,1735.85,1690.25,1724.65,1718.35,86223
Endurance Technologies Limited,ENDURANCE,2023-11-07,1733.95,1733.95,1690.05,1718.35,1719.5,82705
Endurance Technologies Limited,ENDURANCE,2023-11-06,1678.2,1746.15,1678.2,1719.5,1669.45,390945
Endurance Technologies Limited,ENDURANCE,2023-11-03,1605.95,1682.05,1605.95,1669.45,1600.15,266701
Endurance Technologies Limited,ENDURANCE,2023-11-02,1591.4,1634.3,1591.35,1600.15,1583.5,489388
Endurance Technologies Limited,ENDURANCE,2023-11-01,1599.0,1606.9,1575.0,1583.5,1596.35,171078
Endurance Technologies Limited,ENDURANCE,2023-10-31,1607.95,1611.55,1573.85,1596.35,1604.05,288857
Endurance Technologies Limited,ENDURANCE,2023-10-30,1603.05,1617.5,1587.0,1604.05,1595.1,122737
Endurance Technologies Limited,ENDURANCE,2023-10-27,1581.05,1634.5,1580.0,1595.1,1581.05,198675
Endurance Technologies Limited,ENDURANCE,2023-10-26,1599.0,1609.15,1559.35,1581.05,1601.3,212041
Endurance Technologies Limited,ENDURANCE,2023-10-25,1630.0,1630.0,1580.0,1601.3,1622.2,62903
Endurance Technologies Limited,ENDURANCE,2023-10-23,1642.0,1643.9,1600.0,1622.2,1635.75,119375
Endurance Technologies Limited,ENDURANCE,2023-10-20,1607.9,1647.95,1590.0,1635.75,1611.7,201449
Endurance Technologies Limited,ENDURANCE,2023-10-19,1610.8,1620.6,1578.5,1611.7,1610.2,93879
Endurance Technologies Limited,ENDURANCE,2023-10-18,1573.7,1635.95,1573.7,1610.2,1573.85,126833
Endurance Technologies Limited,ENDURANCE,2023-10-17,1586.95,1606.75,1565.15,1573.85,1583.5,26013
Endurance Technologies Limited,ENDURANCE,2023-10-16,1601.9,1620.0,1575.3,1583.5,1601.9,45021
Endurance Technologies Limited,ENDURANCE,2023-10-13,1580.0,1616.95,1577.75,1601.9,1586.85,299697
Endurance Technologies Limited,ENDURANCE,2023-10-12,1599.0,1604.95,1576.0,1586.85,1590.05,144308
Endurance Technologies Limited,ENDURANCE,2023-10-11,1571.2,1616.95,1563.1,1590.05,1568.2,388110
Endurance Technologies Limited,ENDURANCE,2023-10-10,1551.95,1580.0,1548.15,1568.2,1552.3,54257
Endurance Technologies Limited,ENDURANCE,2023-10-09,1585.1,1587.95,1540.05,1552.3,1585.1,47666
Endurance Technologies Limited,ENDURANCE,2023-10-06,1599.55,1604.55,1576.0,1585.1,1599.55,68147
Endurance Technologies Limited,ENDURANCE,2023-10-05,1582.8,1607.0,1577.0,1599.55,1574.9,75268
Endurance Technologies Limited,ENDURANCE,2023-10-04,1570.0,1610.0,1562.0,1574.9,1576.35,495586
Endurance Technologies Limited,ENDURANCE,2023-10-03,1582.15,1638.0,1568.5,1576.35,1591.65,34487
Endurance Technologies Limited,ENDURANCE,2023-09-29,1588.0,1599.85,1582.95,1591.65,1598.2,409520
Endurance Technologies Limited,ENDURANCE,2023-09-28,1680.0,1680.0,1551.15,1598.2,1600.25,242959
Endurance Technologies Limited,ENDURANCE,2023-09-27,1585.0,1608.4,1585.0,1600.25,1590.35,12964
Endurance Technologies Limited,ENDURANCE,2023-09-26,1584.05,1613.85,1575.05,1590.35,1591.3,90107
Endurance Technologies Limited,ENDURANCE,2023-09-25,1603.25,1615.0,1580.05,1591.3,1603.25,24492
Endurance Technologies Limited,ENDURANCE,2023-09-22,1608.0,1629.95,1595.7,1603.25,1615.1,16853
Endurance Technologies Limited,ENDURANCE,2023-09-21,1613.6,1678.15,1604.3,1615.1,1613.6,93848
Endurance Technologies Limited,ENDURANCE,2023-09-20,1649.65,1684.45,1609.5,1613.6,1649.65,66859
Endurance Technologies Limited,ENDURANCE,2023-09-18,1629.4,1657.1,1623.8,1649.65,1621.3,63799
Endurance Technologies Limited,ENDURANCE,2023-09-15,1578.5,1628.4,1570.25,1621.3,1570.25,272323
Endurance Technologies Limited,ENDURANCE,2023-09-14,1573.9,1599.0,1560.05,1570.25,1566.85,39368
Endurance Technologies Limited,ENDURANCE,2023-09-13,1596.2,1625.0,1560.55,1566.85,1587.85,68325
Endurance Technologies Limited,ENDURANCE,2023-09-12,1638.45,1648.0,1579.05,1587.85,1629.95,35632
Endurance Technologies Limited,ENDURANCE,2023-09-11,1627.0,1644.0,1620.9,1629.95,1618.9,17242
Endurance Technologies Limited,ENDURANCE,2023-09-08,1621.15,1640.0,1609.3,1618.9,1613.1,34164
Endurance Technologies Limited,ENDURANCE,2023-09-07,1639.0,1647.25,1601.05,1613.1,1639.1,39806
Endurance Technologies Limited,ENDURANCE,2023-09-05,1644.5,1665.0,1627.8,1640.2,1629.6,40765
Endurance Technologies Limited,ENDURANCE,2023-09-01,1670.5,1678.95,1647.0,1659.6,1660.35,149064
Endurance Technologies Limited,ENDURANCE,2023-08-31,1657.8,1685.05,1650.0,1660.35,1647.7,51312
Endurance Technologies Limited,ENDURANCE,2023-08-30,1634.0,1655.0,1624.9,1647.7,1624.9,82663
Endurance Technologies Limited,ENDURANCE,2023-08-29,1622.0,1634.95,1613.1,1624.9,1619.7,20660
Endurance Technologies Limited,ENDURANCE,2023-08-28,1611.8,1639.95,1611.0,1619.7,1611.8,25994
Endurance Technologies Limited,ENDURANCE,2023-08-25,1653.0,1672.3,1605.0,1611.8,1653.7,224496
Endurance Technologies Limited,ENDURANCE,2023-08-24,1633.95,1664.0,1623.85,1653.7,1625.65,99003
Endurance Technologies Limited,ENDURANCE,2023-08-23,1642.0,1650.95,1622.55,1625.65,1642.9,116139
Endurance Technologies Limited,ENDURANCE,2023-08-22,1629.2,1645.0,1619.1,1642.9,1620.7,21842
Endurance Technologies Limited,ENDURANCE,2023-08-21,1617.0,1635.95,1598.2,1620.7,1610.7,40347
Endurance Technologies Limited,ENDURANCE,2023-08-18,1603.0,1614.0,1575.05,1610.7,1602.2,69853
Endurance Technologies Limited,ENDURANCE,2023-08-17,1613.45,1629.95,1593.5,1602.2,1606.9,26088
Endurance Technologies Limited,ENDURANCE,2023-08-16,1648.9,1652.6,1595.3,1606.9,1649.9,28179
Endurance Technologies Limited,ENDURANCE,2023-08-14,1649.0,1664.4,1632.2,1649.9,1643.45,19300
Endurance Technologies Limited,ENDURANCE,2023-08-11,1745.0,1749.0,1635.0,1643.45,1699.85,164738
Endurance Technologies Limited,ENDURANCE,2023-08-10,1664.3,1715.0,1660.0,1699.85,1655.6,220602
Endurance Technologies Limited,ENDURANCE,2023-08-09,1676.7,1678.9,1650.1,1655.6,1670.9,28139
Endurance Technologies Limited,ENDURANCE,2023-08-08,1681.9,1686.4,1663.0,1670.9,1680.45,32339
Endurance Technologies Limited,ENDURANCE,2023-08-07,1682.3,1690.95,1670.8,1680.45,1680.85,22260
Endurance Technologies Limited,ENDURANCE,2023-08-04,1728.9,1729.3,1672.55,1680.85,1720.25,33478
Endurance Technologies Limited,ENDURANCE,2023-08-03,1684.0,1738.0,1672.7,1720.25,1688.1,30254
Endurance Technologies Limited,ENDURANCE,2023-08-02,1712.0,1728.85,1671.0,1688.1,1711.75,37382
Endurance Technologies Limited,ENDURANCE,2023-08-01,1685.05,1717.9,1680.35,1711.75,1692.8,35236
Endurance Technologies Limited,ENDURANCE,2023-07-31,1643.6,1710.0,1633.8,1692.8,1643.65,156676
Endurance Technologies Limited,ENDURANCE,2023-07-28,1642.85,1656.2,1621.5,1643.65,1641.4,251344
Endurance Technologies Limited,ENDURANCE,2023-07-27,1664.75,1673.95,1629.0,1641.4,1659.8,88541
Endurance Technologies Limited,ENDURANCE,2023-07-26,1705.55,1710.45,1654.0,1659.8,1697.05,186915
Endurance Technologies Limited,ENDURANCE,2023-07-25,1710.0,1750.95,1690.0,1697.05,1699.15,109246
Endurance Technologies Limited,ENDURANCE,2023-07-24,1697.7,1712.25,1677.0,1699.15,1688.8,167113
Endurance Technologies Limited,ENDURANCE,2023-07-21,1687.0,1698.0,1675.05,1688.8,1684.3,163089
Endurance Technologies Limited,ENDURANCE,2023-07-20,1674.35,1705.45,1674.35,1684.3,1674.35,18424
Endurance Technologies Limited,ENDURANCE,2023-07-19,1701.05,1708.45,1651.1,1674.35,1694.35,153589
