StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Engineers India Limited,ENGINERSIN,2024-03-28,203.0,208.4,200.75,201.95,199.75,10743440
Engineers India Limited,ENGINERSIN,2024-03-27,207.8,213.5,198.1,199.75,206.25,15545724
Engineers India Limited,ENGINERSIN,2024-03-26,197.25,209.75,195.25,206.25,196.55,19535541
Engineers India Limited,ENGINERSIN,2024-03-22,195.9,198.0,192.05,196.55,195.9,12116074
Engineers India Limited,ENGINERSIN,2024-03-21,179.0,198.3,179.0,195.9,174.45,40946124
Engineers India Limited,ENGINERSIN,2024-03-20,181.7,184.75,173.5,174.45,180.0,7794548
Engineers India Limited,ENGINERSIN,2024-03-19,185.0,187.95,178.75,180.0,185.3,4809092
Engineers India Limited,ENGINERSIN,2024-03-18,190.0,195.75,182.7,185.3,188.8,9342129
Engineers India Limited,ENGINERSIN,2024-03-15,195.9,200.4,183.0,188.8,195.85,8500124
Engineers India Limited,ENGINERSIN,2024-03-14,187.45,199.25,183.65,195.85,186.75,8088061
Engineers India Limited,ENGINERSIN,2024-03-13,210.2,214.5,184.75,186.75,211.15,12896265
Engineers India Limited,ENGINERSIN,2024-03-12,216.75,216.75,204.45,211.15,216.8,6298992
Engineers India Limited,ENGINERSIN,2024-03-11,226.85,226.9,215.05,216.8,225.75,3577163
Engineers India Limited,ENGINERSIN,2024-03-07,226.0,228.35,223.2,225.75,224.35,3329381
Engineers India Limited,ENGINERSIN,2024-03-06,233.4,233.4,219.45,224.35,233.15,8517498
Engineers India Limited,ENGINERSIN,2024-03-05,223.1,237.9,221.3,233.15,222.3,25870660
Engineers India Limited,ENGINERSIN,2024-03-04,217.0,226.5,213.0,222.3,215.7,8984687
Engineers India Limited,ENGINERSIN,2024-03-02,217.2,217.3,214.6,215.7,215.7,482288
Engineers India Limited,ENGINERSIN,2024-03-01,212.5,217.55,210.55,215.7,209.55,4822213
Engineers India Limited,ENGINERSIN,2024-02-29,205.0,212.35,202.0,209.55,205.55,6244360
Engineers India Limited,ENGINERSIN,2024-02-28,213.95,214.9,203.65,205.55,213.55,5575292
Engineers India Limited,ENGINERSIN,2024-02-27,216.0,218.85,211.9,213.55,216.25,4577588
Engineers India Limited,ENGINERSIN,2024-02-26,220.45,221.45,215.55,216.25,220.45,2683178
Engineers India Limited,ENGINERSIN,2024-02-23,219.7,227.0,219.05,220.45,218.3,5152426
Engineers India Limited,ENGINERSIN,2024-02-22,222.0,222.1,213.0,218.3,219.85,4876501
Engineers India Limited,ENGINERSIN,2024-02-21,227.4,231.25,217.75,219.85,225.95,5996929
Engineers India Limited,ENGINERSIN,2024-02-20,231.6,231.85,224.3,225.95,231.0,4199751
Engineers India Limited,ENGINERSIN,2024-02-19,219.0,236.0,217.6,231.0,217.55,15828143
Engineers India Limited,ENGINERSIN,2024-02-16,217.6,220.55,215.65,217.55,215.9,4216758
Engineers India Limited,ENGINERSIN,2024-02-15,217.0,222.15,214.3,215.9,215.2,7673175
Engineers India Limited,ENGINERSIN,2024-02-14,202.95,216.4,201.25,215.2,206.45,9656742
Engineers India Limited,ENGINERSIN,2024-02-13,200.05,210.15,192.15,206.45,201.45,9993339
Engineers India Limited,ENGINERSIN,2024-02-12,228.35,228.35,199.1,201.45,226.4,12678153
Engineers India Limited,ENGINERSIN,2024-02-09,241.7,241.75,222.0,226.4,240.55,9544763
Engineers India Limited,ENGINERSIN,2024-02-08,244.0,245.0,238.15,240.55,241.65,6265328
Engineers India Limited,ENGINERSIN,2024-02-07,243.0,253.6,240.15,241.65,240.2,11889066
Engineers India Limited,ENGINERSIN,2024-02-06,247.7,247.7,237.0,240.2,244.25,6745823
Engineers India Limited,ENGINERSIN,2024-02-05,252.4,259.0,241.2,244.25,261.35,21578662
Engineers India Limited,ENGINERSIN,2024-02-02,239.4,273.9,239.3,261.35,236.9,57382859
Engineers India Limited,ENGINERSIN,2024-02-01,237.9,239.9,231.75,236.9,233.85,7130932
Engineers India Limited,ENGINERSIN,2024-01-31,233.9,237.95,231.0,233.85,232.9,6894726
Engineers India Limited,ENGINERSIN,2024-01-30,237.3,239.0,231.75,232.9,234.85,4810549
Engineers India Limited,ENGINERSIN,2024-01-29,234.9,242.2,233.55,234.85,232.55,6743317
Engineers India Limited,ENGINERSIN,2024-01-25,235.0,236.05,231.25,232.55,233.65,5011413
Engineers India Limited,ENGINERSIN,2024-01-24,224.05,239.7,218.6,233.65,222.15,18637485
Engineers India Limited,ENGINERSIN,2024-01-23,244.5,244.8,218.0,222.15,242.15,14000409
Engineers India Limited,ENGINERSIN,2024-01-20,242.0,256.2,240.0,242.15,233.95,21399498
Engineers India Limited,ENGINERSIN,2024-01-19,225.7,237.0,222.2,233.95,223.55,17277209
Engineers India Limited,ENGINERSIN,2024-01-18,218.1,225.5,205.0,223.55,217.8,15170346
Engineers India Limited,ENGINERSIN,2024-01-17,217.0,227.8,213.0,217.8,219.85,9817388
Engineers India Limited,ENGINERSIN,2024-01-16,227.7,229.45,215.35,219.85,227.5,10162230
Engineers India Limited,ENGINERSIN,2024-01-15,215.3,232.5,209.95,227.5,213.85,31507040
Engineers India Limited,ENGINERSIN,2024-01-12,218.8,221.55,211.35,213.85,216.4,12917069
Engineers India Limited,ENGINERSIN,2024-01-11,198.25,218.8,197.35,216.4,197.05,46980498
Engineers India Limited,ENGINERSIN,2024-01-10,199.8,199.8,195.0,197.05,199.6,4438422
Engineers India Limited,ENGINERSIN,2024-01-09,200.15,204.0,195.65,199.6,199.15,7252644
Engineers India Limited,ENGINERSIN,2024-01-08,199.75,204.45,194.0,199.15,199.45,9647330
Engineers India Limited,ENGINERSIN,2024-01-05,202.0,204.9,194.6,199.45,201.1,10796664
