StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
EPL Limited,EPL,2024-03-28,181.3,182.65,178.35,179.3,180.2,641325
EPL Limited,EPL,2024-03-27,180.5,184.4,179.7,180.2,180.45,531063
EPL Limited,EPL,2024-03-26,182.8,184.0,180.05,180.45,183.05,397830
EPL Limited,EPL,2024-03-22,184.0,186.9,182.6,183.05,183.5,417659
EPL Limited,EPL,2024-03-21,184.75,187.3,182.5,183.5,181.9,1017953
EPL Limited,EPL,2024-03-20,184.2,188.5,180.2,181.9,184.0,412113
EPL Limited,EPL,2024-03-19,188.15,189.9,183.05,184.0,188.05,336263
EPL Limited,EPL,2024-03-18,187.2,189.35,186.35,188.05,187.95,559096
EPL Limited,EPL,2024-03-15,186.3,188.65,185.6,187.95,186.3,489406
EPL Limited,EPL,2024-03-14,183.65,186.95,181.5,186.3,183.85,528013
EPL Limited,EPL,2024-03-13,189.05,191.5,182.5,183.85,190.95,1263473
EPL Limited,EPL,2024-03-12,188.3,191.85,186.55,190.95,187.4,1085342
EPL Limited,EPL,2024-03-11,186.7,188.5,185.75,187.4,185.3,578398
EPL Limited,EPL,2024-03-07,184.1,188.8,182.5,185.3,183.3,662953
EPL Limited,EPL,2024-03-06,189.2,189.2,181.8,183.3,189.45,708582
EPL Limited,EPL,2024-03-05,189.95,190.4,188.05,189.45,189.5,415147
EPL Limited,EPL,2024-03-04,193.0,194.8,188.05,189.5,192.3,614238
EPL Limited,EPL,2024-03-02,190.5,192.8,186.35,192.3,190.2,82766
EPL Limited,EPL,2024-03-01,187.8,191.2,187.55,190.2,187.25,346443
EPL Limited,EPL,2024-02-29,188.6,191.4,185.6,187.25,188.0,419504
EPL Limited,EPL,2024-02-28,192.0,195.7,187.1,188.0,192.0,1108155
EPL Limited,EPL,2024-02-27,190.25,193.15,190.0,192.0,189.85,373984
EPL Limited,EPL,2024-02-26,191.6,192.9,189.35,189.85,191.6,337659
EPL Limited,EPL,2024-02-23,190.8,193.5,189.75,191.6,189.45,644751
EPL Limited,EPL,2024-02-22,193.3,193.45,188.8,189.45,193.2,730473
EPL Limited,EPL,2024-02-21,194.5,195.2,192.65,193.2,194.2,398454
EPL Limited,EPL,2024-02-20,195.9,195.95,193.45,194.2,195.3,298564
EPL Limited,EPL,2024-02-19,194.5,196.25,193.3,195.3,193.05,508226
EPL Limited,EPL,2024-02-16,193.05,197.5,192.5,193.05,192.85,585484
EPL Limited,EPL,2024-02-15,194.0,196.45,192.4,192.85,192.75,628456
EPL Limited,EPL,2024-02-14,191.5,193.85,190.8,192.75,192.7,333506
EPL Limited,EPL,2024-02-13,193.25,194.4,190.55,192.7,190.85,516577
EPL Limited,EPL,2024-02-12,196.05,197.0,190.15,190.85,193.9,703986
EPL Limited,EPL,2024-02-09,197.0,197.85,192.0,193.9,196.15,587868
EPL Limited,EPL,2024-02-08,200.0,206.4,195.05,196.15,192.2,3183001
EPL Limited,EPL,2024-02-07,193.45,194.7,191.1,192.2,191.5,530038
EPL Limited,EPL,2024-02-06,192.2,196.65,191.05,191.5,191.75,890750
EPL Limited,EPL,2024-02-05,194.5,194.75,191.25,191.75,194.15,852500
EPL Limited,EPL,2024-02-02,199.8,199.8,193.7,194.15,197.65,835664
EPL Limited,EPL,2024-02-01,202.9,204.7,197.25,197.65,202.1,646211
EPL Limited,EPL,2024-01-31,195.15,203.1,195.1,202.1,194.6,1405640
EPL Limited,EPL,2024-01-30,197.65,198.95,193.5,194.6,197.55,563870
EPL Limited,EPL,2024-01-29,199.6,200.0,196.9,197.55,198.2,396394
