StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Equitas Small Finance Bank Limited,EQUITASBNK,2024-03-28,93.9,94.05,92.2,92.55,92.95,3378126
Equitas Small Finance Bank Limited,EQUITASBNK,2024-03-27,93.45,94.45,92.25,92.95,93.25,4273691
Equitas Small Finance Bank Limited,EQUITASBNK,2024-03-26,92.8,95.05,92.7,93.25,92.8,3902297
Equitas Small Finance Bank Limited,EQUITASBNK,2024-03-22,93.5,94.0,91.8,92.8,93.5,3996075
Equitas Small Finance Bank Limited,EQUITASBNK,2024-03-21,92.4,94.25,91.85,93.5,91.55,3331560
Equitas Small Finance Bank Limited,EQUITASBNK,2024-03-20,92.95,93.25,89.9,91.55,92.4,2167062
Equitas Small Finance Bank Limited,EQUITASBNK,2024-03-19,93.0,94.0,91.8,92.4,92.95,1481107
Equitas Small Finance Bank Limited,EQUITASBNK,2024-03-18,94.75,95.0,92.5,92.95,94.3,2099458
Equitas Small Finance Bank Limited,EQUITASBNK,2024-03-15,93.3,95.0,92.4,94.3,93.3,1920909
Equitas Small Finance Bank Limited,EQUITASBNK,2024-03-14,91.5,95.35,89.25,93.3,91.6,2735944
Equitas Small Finance Bank Limited,EQUITASBNK,2024-03-13,93.3,94.0,88.25,91.6,92.95,7423648
Equitas Small Finance Bank Limited,EQUITASBNK,2024-03-12,98.0,99.3,92.3,92.95,96.95,6813521
Equitas Small Finance Bank Limited,EQUITASBNK,2024-03-11,97.15,97.5,95.4,96.95,96.9,4217584
Equitas Small Finance Bank Limited,EQUITASBNK,2024-03-07,100.45,101.75,96.25,96.9,100.0,5105458
Equitas Small Finance Bank Limited,EQUITASBNK,2024-03-06,101.1,101.7,99.5,100.0,100.45,3122096
Equitas Small Finance Bank Limited,EQUITASBNK,2024-03-05,99.85,101.3,99.8,100.45,101.15,2139733
Equitas Small Finance Bank Limited,EQUITASBNK,2024-03-04,101.5,102.0,99.6,101.15,101.3,1681335
Equitas Small Finance Bank Limited,EQUITASBNK,2024-03-02,101.8,102.8,101.1,101.3,101.5,217250
