StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Eris Lifesciences Limited,ERIS,2024-03-28,848.0,862.15,832.0,843.35,841.0,59652
Eris Lifesciences Limited,ERIS,2024-03-27,843.65,849.5,836.1,841.0,843.65,55713
Eris Lifesciences Limited,ERIS,2024-03-26,845.0,850.0,834.0,843.65,842.95,146410
Eris Lifesciences Limited,ERIS,2024-03-22,843.0,845.8,837.15,842.95,843.0,26036
Eris Lifesciences Limited,ERIS,2024-03-21,843.55,852.0,837.0,843.0,840.2,99725
Eris Lifesciences Limited,ERIS,2024-03-20,851.5,851.5,835.0,840.2,847.25,33613
Eris Lifesciences Limited,ERIS,2024-03-19,837.45,854.0,836.55,847.25,845.9,42191
Eris Lifesciences Limited,ERIS,2024-03-18,845.0,855.5,832.1,845.9,844.95,88374
Eris Lifesciences Limited,ERIS,2024-03-15,862.05,862.4,837.05,844.95,862.7,498196
Eris Lifesciences Limited,ERIS,2024-03-14,833.95,871.8,824.25,862.7,831.3,387589
Eris Lifesciences Limited,ERIS,2024-03-13,878.1,878.1,809.15,831.3,878.1,208861
Eris Lifesciences Limited,ERIS,2024-03-12,905.55,925.0,856.3,878.1,900.45,368619
Eris Lifesciences Limited,ERIS,2024-03-11,912.1,934.55,895.5,900.45,907.3,544316
Eris Lifesciences Limited,ERIS,2024-03-07,886.05,917.75,884.55,907.3,894.9,277359
Eris Lifesciences Limited,ERIS,2024-03-06,899.0,907.75,871.0,894.9,888.7,188862
Eris Lifesciences Limited,ERIS,2024-03-05,892.0,894.95,880.0,888.7,889.25,39869
Eris Lifesciences Limited,ERIS,2024-03-04,886.85,898.0,880.0,889.25,878.05,217621
Eris Lifesciences Limited,ERIS,2024-03-02,889.95,892.4,875.0,878.05,886.05,8853
Eris Lifesciences Limited,ERIS,2024-03-01,886.6,892.0,873.0,886.05,883.05,61528
Eris Lifesciences Limited,ERIS,2024-02-29,878.0,889.95,860.3,883.05,872.35,399136
Eris Lifesciences Limited,ERIS,2024-02-28,875.15,880.05,862.15,872.35,872.55,71370
Eris Lifesciences Limited,ERIS,2024-02-27,885.0,886.55,866.0,872.55,879.95,103414
Eris Lifesciences Limited,ERIS,2024-02-26,879.65,899.45,873.0,879.95,875.5,92073
Eris Lifesciences Limited,ERIS,2024-02-23,871.75,877.35,862.0,875.5,868.25,61675
Eris Lifesciences Limited,ERIS,2024-02-22,860.05,874.75,850.95,868.25,855.75,141781
Eris Lifesciences Limited,ERIS,2024-02-21,848.05,859.85,848.05,855.75,853.15,114109
Eris Lifesciences Limited,ERIS,2024-02-20,869.0,869.05,851.5,853.15,862.75,125854
Eris Lifesciences Limited,ERIS,2024-02-19,890.0,890.05,859.1,862.75,888.6,179296
Eris Lifesciences Limited,ERIS,2024-02-16,866.65,922.0,859.55,888.6,856.45,464471
Eris Lifesciences Limited,ERIS,2024-02-15,866.0,877.0,846.35,856.45,865.55,382370
Eris Lifesciences Limited,ERIS,2024-02-14,934.0,939.8,851.1,865.55,923.8,690965
Eris Lifesciences Limited,ERIS,2024-02-13,917.0,934.5,903.1,923.8,913.4,95782
Eris Lifesciences Limited,ERIS,2024-02-12,910.0,942.2,905.1,913.4,910.2,168704
Eris Lifesciences Limited,ERIS,2024-02-09,951.05,962.9,898.7,910.2,943.25,272453
Eris Lifesciences Limited,ERIS,2024-02-08,921.75,951.0,908.55,943.25,907.85,549266
Eris Lifesciences Limited,ERIS,2024-02-07,884.0,912.0,884.0,907.85,884.45,181094
Eris Lifesciences Limited,ERIS,2024-02-06,890.25,900.0,878.9,884.45,885.8,153059
Eris Lifesciences Limited,ERIS,2024-02-05,906.0,910.8,883.55,885.8,892.05,123372
Eris Lifesciences Limited,ERIS,2024-02-02,912.05,929.7,882.35,892.05,906.65,735377
