StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
FDC Limited,FDC,2024-03-28,426.0,432.5,423.35,424.9,423.9,114410
FDC Limited,FDC,2024-03-27,421.0,427.65,420.0,423.9,420.7,80175
FDC Limited,FDC,2024-03-26,431.0,433.25,419.9,420.7,429.75,154395
FDC Limited,FDC,2024-03-22,434.9,435.05,425.25,429.75,436.2,66310
FDC Limited,FDC,2024-03-21,439.25,439.25,425.1,436.2,437.05,97815
FDC Limited,FDC,2024-03-20,427.0,439.1,419.95,437.05,427.0,100570
FDC Limited,FDC,2024-03-19,430.0,437.0,424.0,427.0,431.2,119514
FDC Limited,FDC,2024-03-18,428.0,439.35,428.0,431.2,428.05,125236
FDC Limited,FDC,2024-03-15,436.0,436.1,426.95,428.05,437.45,81429
FDC Limited,FDC,2024-03-14,420.4,440.3,419.65,437.45,423.75,192359
FDC Limited,FDC,2024-03-13,431.0,432.85,420.8,423.75,430.4,189785
FDC Limited,FDC,2024-03-12,433.75,438.1,429.25,430.4,434.25,123078
FDC Limited,FDC,2024-03-11,451.9,452.8,427.1,434.25,449.4,103467
FDC Limited,FDC,2024-03-07,451.1,457.0,446.45,449.4,450.45,115918
FDC Limited,FDC,2024-03-06,459.0,459.0,442.3,450.45,459.55,164360
FDC Limited,FDC,2024-03-05,460.0,463.35,454.5,459.55,459.6,197233
FDC Limited,FDC,2024-03-04,448.45,466.2,448.4,459.6,446.25,565062
FDC Limited,FDC,2024-03-02,446.0,454.75,444.95,446.25,443.85,27112
FDC Limited,FDC,2024-03-01,438.3,446.0,435.45,443.85,436.7,180528
FDC Limited,FDC,2024-02-29,444.0,447.6,434.0,436.7,445.35,433590
FDC Limited,FDC,2024-02-28,456.25,459.15,442.1,445.35,456.25,259170
FDC Limited,FDC,2024-02-27,482.45,485.0,452.5,456.25,482.6,577064
FDC Limited,FDC,2024-02-26,478.45,487.7,475.55,482.6,472.45,519293
FDC Limited,FDC,2024-02-23,457.7,479.0,448.45,472.45,455.55,908779
FDC Limited,FDC,2024-02-22,455.0,458.0,447.1,455.55,454.05,144101
FDC Limited,FDC,2024-02-21,451.95,463.7,447.65,454.05,449.95,396221
FDC Limited,FDC,2024-02-20,439.9,454.85,436.55,449.95,440.9,211459
FDC Limited,FDC,2024-02-19,432.45,444.8,431.95,440.9,435.7,207484
FDC Limited,FDC,2024-02-16,454.85,459.0,428.9,435.7,453.9,272895
FDC Limited,FDC,2024-02-15,446.05,459.0,446.0,453.9,445.95,150008
FDC Limited,FDC,2024-02-14,442.65,448.2,437.0,445.95,446.8,105956
FDC Limited,FDC,2024-02-13,431.05,448.0,425.05,446.8,431.9,279787
FDC Limited,FDC,2024-02-12,449.0,449.8,430.0,431.9,446.8,171309
FDC Limited,FDC,2024-02-09,450.0,456.5,435.45,446.8,449.5,359444
FDC Limited,FDC,2024-02-08,468.0,469.45,447.0,449.5,464.95,855299
FDC Limited,FDC,2024-02-07,435.9,471.95,424.0,464.95,432.9,2622570
FDC Limited,FDC,2024-02-06,429.0,443.2,428.3,432.9,426.3,444529
FDC Limited,FDC,2024-02-05,425.35,436.3,425.0,426.3,423.2,365189
FDC Limited,FDC,2024-02-02,417.25,427.25,416.45,423.2,415.15,360589
FDC Limited,FDC,2024-02-01,417.6,428.2,413.55,415.15,417.45,273419
FDC Limited,FDC,2024-01-31,417.45,444.9,415.6,417.45,415.35,785778
FDC Limited,FDC,2024-01-30,412.0,419.15,409.0,415.35,413.9,188029
