StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Fine Organic Industries Limited,FINEORG,2024-03-28,4096.0,4127.25,4021.0,4034.85,4089.25,42934
Fine Organic Industries Limited,FINEORG,2024-03-27,4054.05,4110.0,4054.05,4089.25,4053.05,46369
Fine Organic Industries Limited,FINEORG,2024-03-26,4100.0,4111.25,4050.0,4053.05,4111.25,35690
Fine Organic Industries Limited,FINEORG,2024-03-22,4088.95,4185.0,4071.1,4111.25,4068.6,26149
Fine Organic Industries Limited,FINEORG,2024-03-21,4046.6,4105.0,4046.6,4068.6,4044.2,14758
Fine Organic Industries Limited,FINEORG,2024-03-20,4060.0,4111.95,4026.8,4044.2,4080.75,23686
Fine Organic Industries Limited,FINEORG,2024-03-19,4119.95,4125.95,4050.0,4080.75,4093.5,16778
Fine Organic Industries Limited,FINEORG,2024-03-18,4069.85,4130.0,4060.0,4093.5,4058.3,20494
Fine Organic Industries Limited,FINEORG,2024-03-15,4075.0,4144.55,4050.0,4058.3,4077.0,25747
Fine Organic Industries Limited,FINEORG,2024-03-14,4100.05,4152.95,4070.0,4077.0,4100.15,30695
Fine Organic Industries Limited,FINEORG,2024-03-13,4145.0,4155.95,4090.0,4100.15,4145.75,26984
Fine Organic Industries Limited,FINEORG,2024-03-12,4213.4,4219.95,4133.0,4145.75,4194.5,23667
Fine Organic Industries Limited,FINEORG,2024-03-11,4254.95,4254.95,4177.35,4194.5,4233.95,21656
Fine Organic Industries Limited,FINEORG,2024-03-07,4289.9,4291.8,4213.0,4233.95,4251.55,23389
Fine Organic Industries Limited,FINEORG,2024-03-06,4339.7,4340.0,4245.0,4251.55,4313.35,23963
Fine Organic Industries Limited,FINEORG,2024-03-05,4319.0,4360.0,4299.15,4313.35,4316.25,20549
Fine Organic Industries Limited,FINEORG,2024-03-04,4310.0,4368.0,4310.0,4316.25,4324.8,34068
Fine Organic Industries Limited,FINEORG,2024-03-02,4314.95,4356.6,4304.8,4324.8,4312.35,2574
Fine Organic Industries Limited,FINEORG,2024-03-01,4365.0,4371.0,4300.0,4312.35,4331.75,17423
Fine Organic Industries Limited,FINEORG,2024-02-29,4272.0,4347.0,4270.55,4331.75,4272.1,46855
Fine Organic Industries Limited,FINEORG,2024-02-28,4299.0,4304.8,4254.0,4272.1,4293.3,16796
Fine Organic Industries Limited,FINEORG,2024-02-27,4329.95,4329.95,4281.0,4293.3,4298.45,13762
Fine Organic Industries Limited,FINEORG,2024-02-26,4320.9,4347.0,4290.0,4298.45,4309.6,12847
Fine Organic Industries Limited,FINEORG,2024-02-23,4340.85,4370.0,4302.5,4309.6,4319.25,17304
Fine Organic Industries Limited,FINEORG,2024-02-22,4405.0,4405.2,4310.55,4319.25,4374.25,20729
Fine Organic Industries Limited,FINEORG,2024-02-21,4395.0,4398.95,4332.05,4374.25,4357.95,13729
