StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Finolex Industries Limited,FINPIPE,2024-03-28,250.0,252.65,244.25,246.45,249.8,831154
Finolex Industries Limited,FINPIPE,2024-03-27,244.75,252.0,244.0,249.8,244.75,2686883
Finolex Industries Limited,FINPIPE,2024-03-26,235.6,249.95,231.8,244.75,235.6,4904677
Finolex Industries Limited,FINPIPE,2024-03-22,225.05,241.4,222.3,235.6,224.3,3030302
Finolex Industries Limited,FINPIPE,2024-03-21,218.0,226.5,216.9,224.3,216.9,843182
Finolex Industries Limited,FINPIPE,2024-03-20,221.0,221.7,215.2,216.9,219.9,638405
Finolex Industries Limited,FINPIPE,2024-03-19,225.55,225.55,219.1,219.9,226.4,582761
Finolex Industries Limited,FINPIPE,2024-03-18,214.55,227.5,214.4,226.4,213.45,1638075
Finolex Industries Limited,FINPIPE,2024-03-15,211.95,215.55,210.0,213.45,211.0,1092553
Finolex Industries Limited,FINPIPE,2024-03-14,207.25,216.5,203.4,211.0,207.3,653138
Finolex Industries Limited,FINPIPE,2024-03-13,215.75,215.9,204.05,207.3,214.75,1295072
Finolex Industries Limited,FINPIPE,2024-03-12,225.2,226.2,208.05,214.75,225.2,2067763
Finolex Industries Limited,FINPIPE,2024-03-11,232.85,235.0,224.5,225.2,231.3,1154509
Finolex Industries Limited,FINPIPE,2024-03-07,222.3,235.0,222.3,231.3,223.8,3258704
Finolex Industries Limited,FINPIPE,2024-03-06,224.0,224.8,219.0,223.8,223.9,588768
Finolex Industries Limited,FINPIPE,2024-03-05,222.05,225.0,219.65,223.9,222.05,1152847
Finolex Industries Limited,FINPIPE,2024-03-04,226.0,226.35,220.65,222.05,224.75,495809
Finolex Industries Limited,FINPIPE,2024-03-02,223.4,225.9,222.8,224.75,223.15,97514
Finolex Industries Limited,FINPIPE,2024-03-01,219.4,227.0,219.3,223.15,218.3,969847
Finolex Industries Limited,FINPIPE,2024-02-29,218.25,220.8,216.35,218.3,217.15,547387
Finolex Industries Limited,FINPIPE,2024-02-28,221.05,223.5,216.7,217.15,219.6,1032604
Finolex Industries Limited,FINPIPE,2024-02-27,217.8,224.8,215.75,219.6,215.65,1431381
Finolex Industries Limited,FINPIPE,2024-02-26,216.15,219.5,214.5,215.65,215.1,1153561
Finolex Industries Limited,FINPIPE,2024-02-23,218.3,219.1,214.65,215.1,218.0,742555
Finolex Industries Limited,FINPIPE,2024-02-22,224.5,224.5,214.7,218.0,219.25,518416
Finolex Industries Limited,FINPIPE,2024-02-21,224.65,224.65,215.15,219.25,223.35,475355
Finolex Industries Limited,FINPIPE,2024-02-20,224.75,225.8,221.35,223.35,224.65,546971
Finolex Industries Limited,FINPIPE,2024-02-19,229.0,229.85,222.5,224.65,226.05,1071497
Finolex Industries Limited,FINPIPE,2024-02-16,219.3,229.25,219.1,226.05,218.35,1072287
Finolex Industries Limited,FINPIPE,2024-02-15,219.05,223.25,217.05,218.35,218.1,698682
Finolex Industries Limited,FINPIPE,2024-02-14,216.8,219.45,216.5,218.1,218.8,350553
Finolex Industries Limited,FINPIPE,2024-02-13,218.55,222.3,212.9,218.8,214.2,1008554
Finolex Industries Limited,FINPIPE,2024-02-12,218.0,218.35,210.15,214.2,218.6,1734359
Finolex Industries Limited,FINPIPE,2024-02-09,215.0,220.5,210.15,218.6,214.55,1383930
Finolex Industries Limited,FINPIPE,2024-02-08,218.3,220.0,213.6,214.55,217.15,486445
Finolex Industries Limited,FINPIPE,2024-02-07,220.0,221.5,216.55,217.15,220.9,1351987
Finolex Industries Limited,FINPIPE,2024-02-06,218.1,221.9,218.1,220.9,216.95,491554
Finolex Industries Limited,FINPIPE,2024-02-05,217.25,220.95,215.0,216.95,217.7,574923
Finolex Industries Limited,FINPIPE,2024-02-02,221.0,222.3,216.85,217.7,220.4,379773
Finolex Industries Limited,FINPIPE,2024-02-01,223.9,224.4,218.3,220.4,222.35,392670
Finolex Industries Limited,FINPIPE,2024-01-31,214.95,223.35,214.95,222.35,215.15,838489
Finolex Industries Limited,FINPIPE,2024-01-30,218.0,218.2,214.15,215.15,217.15,621882
Finolex Industries Limited,FINPIPE,2024-01-29,225.0,225.0,216.3,217.15,225.05,884924
Finolex Industries Limited,FINPIPE,2024-01-25,230.75,230.75,224.35,225.05,230.1,288011
