StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Firstsource Solutions Limited,FSL,2024-03-28,199.65,200.7,196.7,197.65,198.05,913903
Firstsource Solutions Limited,FSL,2024-03-27,197.0,198.95,193.5,198.05,194.95,1726889
Firstsource Solutions Limited,FSL,2024-03-26,190.5,196.25,188.05,194.95,192.45,1056560
Firstsource Solutions Limited,FSL,2024-03-22,188.0,194.0,182.55,192.45,191.25,1164446
Firstsource Solutions Limited,FSL,2024-03-21,189.0,192.75,187.45,191.25,186.95,1096091
Firstsource Solutions Limited,FSL,2024-03-20,186.0,187.95,179.4,186.95,185.45,1249238
Firstsource Solutions Limited,FSL,2024-03-19,189.85,189.95,183.55,185.45,190.2,1193050
Firstsource Solutions Limited,FSL,2024-03-18,194.25,194.25,187.25,190.2,194.3,1585669
Firstsource Solutions Limited,FSL,2024-03-15,192.0,195.5,188.85,194.3,194.25,1684759
Firstsource Solutions Limited,FSL,2024-03-14,182.6,195.75,179.8,194.25,182.05,1807786
Firstsource Solutions Limited,FSL,2024-03-13,190.75,192.5,178.4,182.05,189.5,2871244
Firstsource Solutions Limited,FSL,2024-03-12,193.45,197.2,187.55,189.5,193.45,1512968
Firstsource Solutions Limited,FSL,2024-03-11,197.0,197.0,191.0,193.45,197.9,1198227
Firstsource Solutions Limited,FSL,2024-03-07,198.1,199.6,195.6,197.9,196.1,1067902
Firstsource Solutions Limited,FSL,2024-03-06,200.8,201.25,192.4,196.1,202.25,2373492
Firstsource Solutions Limited,FSL,2024-03-05,206.0,206.8,201.55,202.25,205.85,635122
Firstsource Solutions Limited,FSL,2024-03-04,203.5,206.9,200.4,205.85,203.6,1740755
Firstsource Solutions Limited,FSL,2024-03-02,205.55,206.65,203.0,203.6,205.35,144511
Firstsource Solutions Limited,FSL,2024-03-01,207.0,208.2,204.55,205.35,205.7,1316418
Firstsource Solutions Limited,FSL,2024-02-29,204.55,206.85,200.7,205.7,205.05,2243266
Firstsource Solutions Limited,FSL,2024-02-28,208.35,209.2,201.8,205.05,206.95,2678081
Firstsource Solutions Limited,FSL,2024-02-27,205.5,209.4,204.2,206.95,205.45,1776909
Firstsource Solutions Limited,FSL,2024-02-26,202.55,208.5,202.0,205.45,201.55,2295126
Firstsource Solutions Limited,FSL,2024-02-23,201.0,205.55,199.5,201.55,200.55,2060012
Firstsource Solutions Limited,FSL,2024-02-22,200.0,206.9,198.9,200.55,198.7,3015644
Firstsource Solutions Limited,FSL,2024-02-21,204.6,205.0,196.25,198.7,203.45,1545186
Firstsource Solutions Limited,FSL,2024-02-20,199.4,207.9,198.55,203.45,198.2,3365046
Firstsource Solutions Limited,FSL,2024-02-19,200.45,202.35,197.0,198.2,199.45,1300819
Firstsource Solutions Limited,FSL,2024-02-16,199.6,202.0,196.15,199.45,200.65,2429371
Firstsource Solutions Limited,FSL,2024-02-15,202.3,202.7,199.15,200.65,199.05,2674635
Firstsource Solutions Limited,FSL,2024-02-14,195.0,200.25,193.1,199.05,197.75,2388114
Firstsource Solutions Limited,FSL,2024-02-13,200.0,200.0,190.5,197.75,199.25,2993774
Firstsource Solutions Limited,FSL,2024-02-12,206.0,209.0,196.0,199.25,205.85,3282187
Firstsource Solutions Limited,FSL,2024-02-09,219.25,220.2,205.05,205.85,216.65,6050185
Firstsource Solutions Limited,FSL,2024-02-08,211.15,221.5,208.6,216.65,206.7,11892908
Firstsource Solutions Limited,FSL,2024-02-07,211.15,212.65,198.4,206.7,209.95,6549084
Firstsource Solutions Limited,FSL,2024-02-06,202.85,211.0,201.2,209.95,201.6,6927634
Firstsource Solutions Limited,FSL,2024-02-05,200.3,205.0,199.9,201.6,199.5,1930715
Firstsource Solutions Limited,FSL,2024-02-02,203.1,205.0,198.1,199.5,202.0,1631602
Firstsource Solutions Limited,FSL,2024-02-01,205.65,205.65,200.0,202.0,204.6,1058832
Firstsource Solutions Limited,FSL,2024-01-31,202.15,206.35,198.25,204.6,201.5,3243597
Firstsource Solutions Limited,FSL,2024-01-30,196.2,208.4,196.2,201.5,195.25,9294910
Firstsource Solutions Limited,FSL,2024-01-29,194.8,196.85,191.55,195.25,194.8,1869281
Firstsource Solutions Limited,FSL,2024-01-25,196.8,198.6,194.0,194.8,195.35,1188550
