StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Gujarat Ambuja Exports Limited,GAEL,2024-03-28,160.0,163.75,157.8,159.85,158.2,1215355
Gujarat Ambuja Exports Limited,GAEL,2024-03-27,156.9,159.9,153.85,158.2,155.5,1711464
Gujarat Ambuja Exports Limited,GAEL,2024-03-26,160.05,163.45,155.0,155.5,160.05,1584145
Gujarat Ambuja Exports Limited,GAEL,2024-03-22,165.3,167.9,156.95,160.05,165.1,1541631
Gujarat Ambuja Exports Limited,GAEL,2024-03-21,166.9,168.1,164.15,165.1,165.5,463983
Gujarat Ambuja Exports Limited,GAEL,2024-03-20,171.2,171.7,165.0,165.5,169.6,691666
Gujarat Ambuja Exports Limited,GAEL,2024-03-19,179.9,180.3,168.8,169.6,179.25,1009898
Gujarat Ambuja Exports Limited,GAEL,2024-03-18,182.0,186.45,177.6,179.25,179.9,995775
Gujarat Ambuja Exports Limited,GAEL,2024-03-15,184.9,187.05,178.1,179.9,366.85,1432388
Gujarat Ambuja Exports Limited,GAEL,2024-03-14,363.7,368.8,354.1,366.85,361.55,738393
Gujarat Ambuja Exports Limited,GAEL,2024-03-13,392.0,394.95,355.05,361.55,387.85,1063377
Gujarat Ambuja Exports Limited,GAEL,2024-03-12,401.0,414.95,386.0,387.85,399.0,1622178
Gujarat Ambuja Exports Limited,GAEL,2024-03-11,395.0,417.0,390.3,399.0,390.3,2019251
Gujarat Ambuja Exports Limited,GAEL,2024-03-07,390.75,395.25,386.6,390.3,390.75,161765
Gujarat Ambuja Exports Limited,GAEL,2024-03-06,402.55,404.4,383.35,390.75,405.05,557046
Gujarat Ambuja Exports Limited,GAEL,2024-03-05,406.9,407.4,398.0,405.05,404.65,318557
Gujarat Ambuja Exports Limited,GAEL,2024-03-04,413.0,418.6,402.55,404.65,403.95,590305
Gujarat Ambuja Exports Limited,GAEL,2024-03-02,403.3,408.0,397.95,403.95,400.2,55965
Gujarat Ambuja Exports Limited,GAEL,2024-03-01,395.9,405.4,395.0,400.2,392.6,321417
Gujarat Ambuja Exports Limited,GAEL,2024-02-29,393.8,396.7,381.45,392.6,391.75,578705
Gujarat Ambuja Exports Limited,GAEL,2024-02-28,412.0,413.0,390.0,391.75,409.2,560334
Gujarat Ambuja Exports Limited,GAEL,2024-02-27,415.0,417.9,405.75,409.2,411.8,505912
Gujarat Ambuja Exports Limited,GAEL,2024-02-26,410.9,414.9,405.35,411.8,408.95,566290
Gujarat Ambuja Exports Limited,GAEL,2024-02-23,408.15,415.95,405.3,408.95,404.9,1079801
Gujarat Ambuja Exports Limited,GAEL,2024-02-22,406.95,412.85,396.7,404.9,403.5,1485919
