StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
GAIL (India) Limited,GAIL,2024-03-28,181.35,182.4,179.65,181.05,180.3,10519502
GAIL (India) Limited,GAIL,2024-03-27,182.85,183.7,179.65,180.3,180.5,13833150
GAIL (India) Limited,GAIL,2024-03-26,174.1,181.25,172.05,180.5,174.1,22741278
GAIL (India) Limited,GAIL,2024-03-22,175.0,176.0,172.8,174.1,175.05,12396239
GAIL (India) Limited,GAIL,2024-03-21,175.1,177.3,173.8,175.05,174.0,13773426
GAIL (India) Limited,GAIL,2024-03-20,173.0,174.85,168.7,174.0,172.95,8692031
GAIL (India) Limited,GAIL,2024-03-19,175.85,176.5,172.4,172.95,175.9,9713217
GAIL (India) Limited,GAIL,2024-03-18,174.5,178.0,173.15,175.9,173.8,10899780
GAIL (India) Limited,GAIL,2024-03-15,176.6,176.65,165.55,173.8,176.1,42241333
GAIL (India) Limited,GAIL,2024-03-14,168.0,176.6,166.05,176.1,168.7,22996586
GAIL (India) Limited,GAIL,2024-03-13,179.9,180.15,166.3,168.7,179.9,22832224
GAIL (India) Limited,GAIL,2024-03-12,183.25,184.6,178.7,179.9,183.25,16435560
GAIL (India) Limited,GAIL,2024-03-11,188.0,188.0,181.95,183.25,188.55,14087639
GAIL (India) Limited,GAIL,2024-03-07,191.15,192.45,187.6,188.55,190.45,7718111
GAIL (India) Limited,GAIL,2024-03-06,194.05,194.1,185.65,190.45,194.1,20285523
GAIL (India) Limited,GAIL,2024-03-05,192.5,196.35,191.3,194.1,190.85,26849239
GAIL (India) Limited,GAIL,2024-03-04,186.0,192.9,185.0,190.85,184.4,52923468
GAIL (India) Limited,GAIL,2024-03-02,184.9,186.0,184.2,184.4,184.15,1173873
GAIL (India) Limited,GAIL,2024-03-01,184.95,185.95,182.2,184.15,182.25,17823470
GAIL (India) Limited,GAIL,2024-02-29,178.75,183.9,176.3,182.25,179.35,19475687
GAIL (India) Limited,GAIL,2024-02-28,180.85,181.8,176.65,179.35,180.5,12659946
GAIL (India) Limited,GAIL,2024-02-27,182.0,183.25,178.85,180.5,182.1,9486385
GAIL (India) Limited,GAIL,2024-02-26,180.0,183.5,177.7,182.1,179.9,14909208
GAIL (India) Limited,GAIL,2024-02-23,183.0,183.1,179.1,179.9,182.25,8219010
