StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Gland Pharma Limited,GLAND,2024-03-28,1843.35,1851.0,1803.25,1845.25,1820.5,98202
Gland Pharma Limited,GLAND,2024-03-27,1773.75,1838.1,1773.75,1820.5,1791.45,106950
Gland Pharma Limited,GLAND,2024-03-26,1781.0,1800.8,1760.0,1791.45,1794.35,60414
Gland Pharma Limited,GLAND,2024-03-22,1774.7,1805.0,1750.05,1794.35,1753.0,99046
Gland Pharma Limited,GLAND,2024-03-21,1734.95,1765.0,1711.3,1753.0,1700.75,117503
Gland Pharma Limited,GLAND,2024-03-20,1772.9,1773.95,1690.0,1700.75,1772.9,283536
Gland Pharma Limited,GLAND,2024-03-19,1791.4,1791.4,1753.1,1772.9,1786.45,49536
Gland Pharma Limited,GLAND,2024-03-18,1789.95,1805.0,1756.0,1786.45,1790.0,68653
Gland Pharma Limited,GLAND,2024-03-15,1748.0,1811.9,1728.75,1790.0,1748.75,170394
Gland Pharma Limited,GLAND,2024-03-14,1688.0,1755.0,1670.95,1748.75,1690.7,101033
Gland Pharma Limited,GLAND,2024-03-13,1732.0,1732.4,1671.0,1690.7,1731.75,361620
Gland Pharma Limited,GLAND,2024-03-12,1752.8,1760.55,1706.1,1731.75,1752.8,233224
Gland Pharma Limited,GLAND,2024-03-11,1773.85,1776.75,1731.95,1752.8,1765.2,126820
Gland Pharma Limited,GLAND,2024-03-07,1747.9,1779.55,1726.25,1765.2,1744.6,224522
Gland Pharma Limited,GLAND,2024-03-06,1764.95,1769.95,1724.1,1744.6,1755.85,169060
Gland Pharma Limited,GLAND,2024-03-05,1710.25,1782.4,1707.95,1755.85,1707.95,457269
Gland Pharma Limited,GLAND,2024-03-04,1809.0,1822.2,1666.8,1707.95,1794.8,528410
Gland Pharma Limited,GLAND,2024-03-02,1795.0,1803.85,1775.0,1794.8,1787.55,8204
Gland Pharma Limited,GLAND,2024-03-01,1770.0,1807.0,1740.45,1787.55,1765.95,318279
Gland Pharma Limited,GLAND,2024-02-29,1809.0,1812.85,1732.9,1765.95,1801.8,244498
Gland Pharma Limited,GLAND,2024-02-28,1830.0,1841.25,1793.0,1801.8,1821.95,157618
Gland Pharma Limited,GLAND,2024-02-27,1844.9,1862.65,1798.0,1821.95,1830.6,269905
Gland Pharma Limited,GLAND,2024-02-26,1866.05,1874.0,1811.85,1830.6,1861.1,226919
Gland Pharma Limited,GLAND,2024-02-23,1909.0,1915.95,1836.15,1861.1,1898.65,342877
