StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-28,1890.45,1962.35,1890.45,1946.6,1879.8,120032
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-27,1925.0,1957.15,1871.25,1879.8,1921.5,250305
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-26,1977.0,1987.0,1912.4,1921.5,1963.05,133017
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-22,1987.0,1995.0,1939.0,1963.05,1986.3,267395
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-21,1991.2,2039.95,1975.05,1986.3,1999.0,142721
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-20,1955.65,2019.75,1955.65,1999.0,1952.55,134366
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-19,1976.0,2004.85,1932.05,1952.55,1972.25,204880
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-18,1905.6,1995.95,1905.6,1972.25,1926.55,231516
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-15,1970.9,1983.0,1900.0,1926.55,1969.05,207214
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-14,1926.95,1988.0,1913.0,1969.05,1926.3,125933
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-13,2001.0,2015.2,1898.0,1926.3,2001.25,222306
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-12,2011.95,2037.85,1976.5,2001.25,2009.4,165708
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-11,2049.95,2102.0,1991.5,2009.4,2049.95,263851
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-07,2075.0,2080.55,2026.85,2049.95,2072.4,148157
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-06,2120.05,2134.75,2051.3,2072.4,2130.5,240935
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-05,2150.35,2158.6,2103.2,2130.5,2150.35,82718
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-04,2191.0,2191.0,2130.5,2150.35,2173.15,123321
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-02,2147.1,2184.0,2144.3,2173.15,2147.1,5670
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-03-01,2170.0,2187.0,2132.85,2147.1,2173.65,126019
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-29,2143.05,2268.0,2117.05,2173.65,2154.15,492230
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-28,2168.35,2205.35,2138.95,2154.15,2167.6,87477
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-27,2152.3,2199.15,2152.3,2167.6,2171.9,122017
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-26,2170.85,2190.0,2154.0,2171.9,2170.8,94131
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-23,2160.0,2182.15,2149.5,2170.8,2159.3,80441
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-22,2258.0,2258.0,2151.15,2159.3,2238.35,212938
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-21,2295.0,2312.15,2209.1,2238.35,2289.05,78430
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-20,2260.0,2312.15,2245.0,2289.05,2255.75,119226
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-19,2318.25,2318.25,2245.0,2255.75,2259.15,99854
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-16,2225.0,2278.75,2205.05,2259.15,2199.8,119049
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-15,2188.0,2225.0,2130.05,2199.8,2153.5,125602
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-14,2156.55,2212.0,2138.2,2153.5,2179.65,162876
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-13,2190.05,2243.95,2091.05,2179.65,2340.15,597317
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-12,2410.0,2440.05,2301.0,2340.15,2382.65,164619
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-09,2500.0,2500.0,2345.0,2382.65,2420.8,162242
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-08,2430.0,2480.0,2410.0,2420.8,2429.3,114996
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-07,2472.75,2517.45,2407.1,2429.3,2466.8,137560
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-06,2463.0,2524.0,2431.25,2466.8,2448.2,289022
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-05,2309.8,2493.4,2282.0,2448.2,2307.5,323824
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-02,2258.9,2325.0,2235.7,2307.5,2228.05,166589
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-02-01,2250.0,2274.8,2202.1,2228.05,2249.9,144365
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-01-31,2218.75,2274.25,2210.0,2249.9,2197.65,199271
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-01-30,2185.0,2210.0,2159.0,2197.65,2183.75,137554
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-01-29,2210.15,2222.0,2161.25,2183.75,2193.25,77732
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-01-25,2204.0,2293.0,2145.0,2193.25,2195.25,188319
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-01-24,2225.5,2249.9,2156.25,2195.25,2225.95,195344
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-01-23,2275.0,2304.0,2209.0,2225.95,2269.8,183333
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-01-20,2317.95,2317.95,2261.0,2269.8,2296.1,55159
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-01-19,2329.95,2357.0,2278.95,2296.1,2329.9,296109
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-01-18,2251.05,2374.8,2243.35,2329.9,2270.3,318008
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-01-17,2247.0,2334.0,2240.65,2270.3,2253.05,352667
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-01-16,2259.9,2275.15,2240.0,2253.05,2259.2,295210
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-01-15,2257.0,2284.4,2220.0,2259.2,2257.0,368635
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-01-12,2212.0,2274.0,2204.35,2257.0,2199.7,527788
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-01-11,2206.4,2244.0,2179.6,2199.7,2201.75,283804
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,2024-01-10,2098.0,2259.0,2088.0,2201.75,2086.8,966565
