StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-28,960.0,968.6,954.25,958.45,962.45,517943
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-27,960.0,969.4,947.3,962.45,957.2,752945
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-26,950.0,961.35,936.0,957.2,951.0,685483
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-22,943.7,954.4,940.7,951.0,946.7,792841
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-21,941.8,954.5,938.5,946.7,941.3,721888
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-20,915.85,946.45,908.35,941.3,920.65,1104276
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-19,938.5,942.0,917.0,920.65,939.65,555021
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-18,924.65,944.6,916.05,939.65,926.5,678559
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-15,937.95,943.85,912.05,926.5,937.5,1144957
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-14,890.55,941.45,883.0,937.5,898.45,1584214
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-13,941.6,948.15,885.5,898.45,945.15,1773669
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-12,955.3,967.85,931.35,945.15,955.3,1079570
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-11,958.0,974.0,950.05,955.3,955.25,1875353
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-07,927.0,964.3,927.0,955.25,926.4,1749348
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-06,916.0,935.6,903.15,926.4,917.2,1577906
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-05,920.9,921.55,905.35,917.2,921.7,660077
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-04,925.05,945.95,919.25,921.7,928.25,1085073
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-02,920.05,938.05,912.15,928.25,920.3,52624
Glenmark Pharmaceuticals Limited,GLENMARK,2024-03-01,925.1,925.1,904.7,920.3,925.1,671589
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-29,911.0,926.95,898.45,925.1,911.2,1434787
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-28,925.0,929.9,900.55,911.2,927.65,643011
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-27,926.5,937.5,918.1,927.65,927.65,804309
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-26,907.0,942.0,907.0,927.65,900.1,3013526
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-23,912.55,921.6,894.5,900.1,912.45,1406588
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-22,900.0,916.0,898.1,912.45,900.6,715441
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-21,890.0,911.0,885.1,900.6,894.15,1778463
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-20,871.1,905.0,867.2,894.15,862.55,3444381
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-19,875.0,876.0,853.0,862.55,872.25,964956
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-16,822.0,891.0,822.0,872.25,810.25,8741874
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-15,771.0,850.5,771.0,810.25,797.2,4974179
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-14,828.0,829.0,782.8,797.2,832.2,1982268
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-13,822.1,838.7,818.55,832.2,831.4,465748
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-12,843.1,849.0,817.55,831.4,843.1,859065
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-09,855.1,861.7,829.7,843.1,858.55,936078
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-08,880.0,883.4,853.35,858.55,877.25,1203539
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-07,887.15,890.95,868.05,877.25,884.8,446360
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-06,888.0,897.6,880.85,884.8,884.6,1057975
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-05,886.0,894.1,879.45,884.6,885.7,766933
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-02,890.5,899.75,882.05,885.7,890.5,648664
Glenmark Pharmaceuticals Limited,GLENMARK,2024-02-01,920.1,920.1,865.0,890.5,910.2,1817051
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-31,898.0,922.7,897.0,910.2,895.75,1399292
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-30,900.0,909.7,893.65,895.75,899.85,600740
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-29,893.5,906.85,887.3,899.85,891.1,685206
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-25,890.9,913.5,883.55,891.1,890.2,1045465
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-24,856.0,893.5,854.15,890.2,858.15,862176
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-23,875.25,892.9,853.05,858.15,875.25,885743
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-20,884.9,887.0,870.45,875.25,879.15,279988
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-19,877.0,888.2,867.3,879.15,867.55,906348
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-18,872.2,878.3,847.55,867.55,872.2,1540500
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-17,888.5,890.15,867.65,872.2,889.15,714859
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-16,910.4,911.25,881.0,889.15,910.45,986057
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-15,869.05,916.35,863.65,910.45,868.95,2296912
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-12,879.95,880.2,866.8,868.95,879.95,591537
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-11,876.0,890.9,871.5,879.95,879.65,972265
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-10,886.0,886.0,865.65,879.65,886.55,1456990
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-09,884.0,898.4,878.9,886.55,873.7,649347
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-08,893.0,893.95,867.4,873.7,892.7,656367
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-05,900.0,905.0,882.05,892.7,898.4,438207
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-04,898.05,913.55,890.85,898.4,897.9,712492
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-03,896.0,903.4,883.0,897.9,888.8,1793431
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-02,855.7,901.8,854.7,888.8,855.65,3980406
Glenmark Pharmaceuticals Limited,GLENMARK,2024-01-01,854.0,861.9,848.0,855.65,853.95,415165
Glenmark Pharmaceuticals Limited,GLENMARK,2023-12-29,857.0,859.0,848.05,853.95,855.4,468147
Glenmark Pharmaceuticals Limited,GLENMARK,2023-12-28,850.0,858.0,838.0,855.4,846.05,970942
