StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-28,353.5,358.9,342.1,343.95,347.2,1618577
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-27,355.05,360.0,345.0,347.2,352.5,2597725
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-26,356.0,362.65,351.0,352.5,359.45,1214998
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-22,362.0,363.45,356.4,359.45,362.25,1734417
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-21,343.0,364.9,343.0,362.25,343.95,2718281
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-20,352.0,352.0,340.75,343.95,342.7,1648340
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-19,352.0,355.5,340.15,342.7,350.8,1172264
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-18,353.4,363.0,349.25,350.8,350.55,1675807
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-15,344.0,355.65,334.65,350.55,346.6,2222615
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-14,324.0,357.0,323.15,346.6,323.8,4057433
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-13,364.0,369.45,316.8,323.8,362.0,3557115
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-12,383.65,385.85,358.3,362.0,383.95,2205308
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-11,395.9,397.5,380.1,383.95,396.1,1006833
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-07,396.0,404.95,385.25,396.1,396.7,1413684
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-06,393.0,409.0,380.0,396.7,394.5,3458212
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-05,398.7,400.85,393.25,394.5,396.9,721388
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-04,392.0,404.4,392.0,396.9,398.25,1753571
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-02,399.05,401.65,392.0,398.25,398.25,137215
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-03-01,392.2,403.9,392.05,398.25,389.9,1174184
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-29,390.45,396.0,382.8,389.9,391.4,1240085
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-28,402.0,406.7,390.0,391.4,402.0,1445705
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-27,404.0,413.0,399.05,402.0,404.4,1528795
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-26,410.0,414.9,402.95,404.4,414.5,1245336
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-23,415.25,419.8,411.0,414.5,415.55,1634815
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-22,403.0,420.9,391.85,415.55,401.25,3169660
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-21,411.0,413.9,398.05,401.25,411.0,1312646
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-20,410.0,417.85,403.65,411.0,408.2,1760192
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-19,409.55,419.4,397.85,408.2,407.8,3215993
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-16,420.45,420.45,406.15,407.8,417.85,1952386
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-15,407.2,423.45,406.25,417.85,406.2,3027600
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-14,394.9,407.9,387.0,406.2,398.6,3164478
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-13,384.95,401.0,373.0,398.6,374.45,5047553
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-12,412.0,425.9,362.55,374.45,429.75,6897223
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-09,482.45,482.6,414.25,429.75,480.35,6314045
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-08,486.0,493.75,473.0,480.35,482.5,2604090
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-07,498.3,502.9,478.9,482.5,495.6,3111504
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-06,494.0,504.0,484.1,495.6,489.45,3965032
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-05,477.3,506.0,476.25,489.45,472.7,12695652
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-02,455.75,484.4,455.0,472.7,453.15,6427405
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-02-01,455.95,462.95,448.4,453.15,458.0,1616284
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-31,454.8,461.0,452.15,458.0,451.2,1946720
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-30,465.0,466.4,449.25,451.2,464.05,2000205
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-29,460.0,472.55,456.55,464.05,457.75,2419054
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-25,458.4,462.8,454.25,457.75,458.4,1730375
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-24,440.15,462.45,432.85,458.4,440.15,3266554
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-23,480.0,481.7,420.0,440.15,475.3,3762330
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-20,476.15,484.0,473.1,475.3,473.2,3216167
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-19,458.85,477.5,457.5,473.2,456.6,3980629
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-18,463.15,465.45,441.25,456.6,463.45,2805327
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-17,462.65,469.15,455.4,463.45,465.9,2551196
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-16,463.95,477.3,454.0,465.9,461.65,5077699
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-15,470.4,472.1,453.6,461.65,467.7,2918894
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-12,470.0,473.75,465.6,467.7,466.85,2232857
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-11,480.6,484.7,463.05,466.85,480.6,4518847
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-10,481.8,486.5,475.0,480.6,478.9,4966901
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-09,465.0,502.9,465.0,478.9,451.75,20523197
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-08,452.2,464.2,448.6,451.75,450.05,6089195
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-05,451.0,461.35,441.3,450.05,439.0,10605503
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-04,434.95,445.0,433.5,439.0,432.35,5650960
Gujarat Mineral Development Corporation Limited,GMDCLTD,2024-01-03,435.8,445.0,430.05,432.35,433.6,6910138
