StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-28,1217.65,1256.95,1217.65,1235.9,1214.3,250421
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-27,1210.65,1235.0,1209.8,1214.3,1209.8,315557
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-26,1249.6,1260.0,1205.6,1209.8,1249.6,297669
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-22,1229.0,1269.0,1225.0,1249.6,1226.15,269742
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-21,1228.0,1243.9,1223.25,1226.15,1225.1,240716
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-20,1226.5,1245.0,1212.0,1225.1,1222.15,198325
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-19,1230.0,1239.75,1215.0,1222.15,1230.35,158999
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-18,1258.0,1263.0,1210.0,1230.35,1248.95,342033
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-15,1233.7,1262.6,1233.7,1248.95,1233.65,159349
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-14,1270.0,1297.95,1228.0,1233.65,1270.8,390042
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-13,1280.0,1299.35,1263.0,1270.8,1271.55,212522
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-12,1256.95,1299.4,1255.0,1271.55,1255.35,273267
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-11,1313.3,1320.0,1240.0,1255.35,1309.95,250861
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-07,1329.9,1331.65,1299.4,1309.95,1329.9,283381
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-06,1348.05,1348.05,1312.8,1329.9,1351.9,168728
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-05,1349.0,1355.9,1328.0,1351.9,1346.7,137579
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-04,1332.65,1352.0,1315.0,1346.7,1332.65,190090
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-02,1329.9,1344.0,1324.05,1332.65,1325.65,18242
GMM Pfaudler Limited,GMMPFAUDLR,2024-03-01,1309.95,1336.5,1299.55,1325.65,1302.0,146101
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-29,1332.35,1336.7,1294.75,1302.0,1332.35,184117
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-28,1343.95,1352.1,1331.0,1332.35,1343.7,104052
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-27,1349.9,1349.9,1338.0,1343.7,1344.75,120926
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-26,1346.0,1355.0,1337.0,1344.75,1345.1,101693
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-23,1363.0,1363.0,1341.55,1345.1,1350.55,87731
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-22,1359.9,1365.15,1343.3,1350.55,1352.4,107327
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-21,1359.9,1364.9,1345.0,1352.4,1359.6,120339
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-20,1371.0,1378.8,1354.95,1359.6,1371.6,163984
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-19,1396.0,1398.5,1366.85,1371.6,1382.45,129838
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-16,1394.0,1409.2,1379.3,1382.45,1388.1,88850
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-15,1359.0,1394.0,1351.4,1388.1,1351.8,115596
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-14,1350.15,1367.1,1346.4,1351.8,1374.85,107211
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-13,1368.15,1379.95,1335.0,1374.85,1364.4,146830
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-12,1393.1,1406.05,1344.0,1364.4,1388.05,186658
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-09,1427.05,1453.15,1380.0,1388.05,1427.5,205468
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-08,1481.95,1494.7,1420.0,1427.5,1481.4,177388
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-07,1495.0,1505.65,1473.55,1481.4,1493.1,104080
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-06,1501.65,1524.0,1485.0,1493.1,1494.15,311979
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-05,1521.0,1524.85,1479.8,1494.15,1512.3,251427
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-02,1460.0,1526.5,1459.0,1512.3,1555.55,798346
GMM Pfaudler Limited,GMMPFAUDLR,2024-02-01,1557.5,1565.7,1513.05,1555.55,1552.1,80606
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-31,1549.0,1561.45,1533.45,1552.1,1529.35,89651
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-30,1551.0,1553.95,1525.0,1529.35,1544.9,90685
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-29,1534.25,1552.45,1528.9,1544.9,1536.25,216403
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-25,1530.0,1542.0,1519.7,1536.25,1536.6,78072
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-24,1526.05,1554.05,1509.45,1536.6,1526.05,142616
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-23,1537.5,1545.0,1514.85,1526.05,1537.45,118157
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-20,1522.0,1543.3,1516.45,1537.45,1529.3,178539
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-19,1525.0,1535.0,1508.5,1529.3,1508.05,142511
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-18,1517.0,1536.95,1486.0,1508.05,1511.65,144136
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-17,1550.0,1558.8,1501.0,1511.65,1563.15,177137
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-16,1549.0,1567.7,1546.6,1563.15,1544.65,81730
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-15,1568.0,1573.95,1539.9,1544.65,1564.7,106066
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-12,1528.3,1574.95,1525.0,1564.7,1520.65,159365
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-11,1548.0,1553.75,1518.85,1520.65,1537.95,132365
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-10,1562.4,1565.85,1535.05,1537.95,1562.4,97660
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-09,1565.7,1577.95,1558.0,1562.4,1554.7,60273
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-08,1575.0,1589.95,1551.0,1554.7,1580.5,150660
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-05,1563.0,1588.9,1561.0,1580.5,1553.65,128396
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-04,1572.0,1588.0,1548.0,1553.65,1557.55,184728
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-03,1586.0,1603.85,1554.55,1557.55,1596.4,236204
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-02,1600.0,1614.6,1572.15,1596.4,1592.75,161512
GMM Pfaudler Limited,GMMPFAUDLR,2024-01-01,1612.0,1624.0,1589.05,1592.75,1611.9,170413
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-29,1649.0,1649.0,1594.25,1611.9,1639.65,230612
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-28,1587.95,1663.4,1586.3,1639.65,1586.25,462330
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-27,1595.0,1612.0,1573.95,1586.25,1592.2,123315
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-26,1605.3,1622.0,1585.05,1592.2,1589.45,195222
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-22,1621.0,1637.4,1580.05,1589.45,1609.1,195118
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-21,1545.05,1622.05,1542.05,1609.1,1559.05,552102
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-20,1566.0,1650.55,1527.05,1559.05,1546.8,1274692
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-19,1530.95,1554.9,1502.4,1546.8,1515.2,325181
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-18,1550.0,1558.9,1510.0,1515.2,1533.6,229445
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-15,1501.0,1571.9,1499.1,1533.6,1491.1,636270
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-14,1506.0,1509.65,1487.8,1491.1,1469.65,451417
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-13,1482.0,1482.0,1465.05,1469.65,1475.35,166760
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-12,1514.5,1514.5,1468.1,1475.35,1499.7,575083
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-11,1516.0,1516.95,1495.0,1499.7,1491.4,190975
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-08,1504.15,1509.6,1486.6,1491.4,1496.65,95065
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-07,1499.0,1505.25,1488.5,1496.65,1488.85,137523
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-06,1497.05,1507.0,1482.2,1488.85,1497.55,156556
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-05,1509.95,1511.0,1490.5,1497.55,1500.5,99396
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-04,1511.0,1526.3,1496.0,1500.5,1498.9,250864
GMM Pfaudler Limited,GMMPFAUDLR,2023-12-01,1493.0,1511.95,1493.0,1498.9,1491.15,247297
GMM Pfaudler Limited,GMMPFAUDLR,2023-11-30,1525.0,1525.0,1488.0,1491.15,1518.6,252033
