StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-28,80.9,82.25,80.25,81.6,79.8,24357737
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-27,81.4,81.4,79.4,79.8,79.05,26320881
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-26,78.6,79.75,77.75,79.05,78.65,12905284
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-22,79.15,79.6,78.0,78.65,79.1,9769561
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-21,75.9,79.3,75.6,79.1,74.65,18986015
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-20,76.0,76.3,73.0,74.65,75.3,15111132
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-19,77.25,77.5,75.05,75.3,77.1,11022369
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-18,77.3,78.2,76.25,77.1,77.3,9153822
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-15,78.0,78.75,74.8,77.3,78.05,19455715
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-14,76.35,78.6,74.5,78.05,75.15,30451300
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-13,81.0,81.15,73.6,75.15,80.95,34943703
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-12,82.95,83.4,80.55,80.95,82.7,19702229
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-11,85.35,85.4,82.4,82.7,84.5,16717842
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-07,83.15,85.15,82.65,84.5,82.7,14135199
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-06,86.75,86.95,80.8,82.7,86.75,24841782
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-05,86.55,87.65,86.0,86.75,86.65,16913400
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-04,86.35,87.5,85.65,86.65,85.8,24955290
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-02,85.7,86.75,85.5,85.8,85.55,4326231
GMR Airports Infrastructure Limited,GMRINFRA,2024-03-01,84.5,86.2,84.25,85.55,84.0,26544078
GMR Airports Infrastructure Limited,GMRINFRA,2024-02-29,84.8,85.35,82.6,84.0,84.4,341649737
GMR Airports Infrastructure Limited,GMRINFRA,2024-02-28,86.25,87.5,84.0,84.4,85.75,47472979
GMR Airports Infrastructure Limited,GMRINFRA,2024-02-27,87.9,88.4,85.4,85.75,87.65,75427795
GMR Airports Infrastructure Limited,GMRINFRA,2024-02-26,88.8,89.6,87.1,87.65,88.35,39761640
GMR Airports Infrastructure Limited,GMRINFRA,2024-02-23,88.25,89.65,87.75,88.35,87.65,25843128
GMR Airports Infrastructure Limited,GMRINFRA,2024-02-22,86.85,88.3,84.75,87.65,86.25,29169629
GMR Airports Infrastructure Limited,GMRINFRA,2024-02-21,90.9,90.9,84.55,86.25,90.6,63802448
