StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-28,636.0,636.05,623.35,625.1,629.95,612078
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-27,629.9,642.35,627.65,629.95,627.25,920879
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-26,621.0,636.35,618.85,627.25,624.4,538784
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-22,622.9,632.0,621.05,624.4,621.65,684961
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-21,614.0,623.5,614.0,621.65,607.7,465779
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-20,615.0,618.6,603.6,607.7,612.35,464491
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-19,620.0,624.0,610.15,612.35,620.75,406592
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-18,626.5,631.9,615.2,620.75,626.5,460923
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-15,613.0,630.9,606.0,626.5,614.75,1355321
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-14,598.0,621.0,590.25,614.75,598.05,1131595
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-13,626.0,626.0,593.2,598.05,620.15,1612546
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-12,616.0,629.95,610.0,620.15,617.55,1238817
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-11,633.65,633.65,611.2,617.55,630.3,984947
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-07,624.8,641.65,619.45,630.3,620.3,1282384
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-06,633.0,633.9,609.05,620.3,631.3,896339
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-05,634.0,646.7,629.7,631.3,633.95,1019024
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-04,640.5,641.95,626.55,633.95,639.35,823848
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-02,633.0,641.7,633.0,639.35,631.85,62818
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-03-01,642.6,650.15,630.5,631.85,640.55,671385
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-02-29,646.0,650.95,627.7,640.55,647.65,1667754
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-02-28,671.95,673.8,643.3,647.65,666.25,460393
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-02-27,678.9,686.6,663.85,666.25,678.6,798640
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-02-26,674.05,680.0,663.85,678.6,675.05,484826
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-02-23,669.95,676.3,669.2,675.05,669.25,373800
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-02-22,668.05,672.0,658.15,669.25,668.05,273071
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-02-21,672.0,683.0,665.0,668.05,674.0,750228
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-02-20,674.0,681.0,669.0,674.0,674.3,646216
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-02-19,663.0,677.0,660.75,674.3,659.35,917503
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-02-16,656.0,667.65,655.3,659.35,653.05,707156
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-02-15,650.0,667.45,647.35,653.05,645.1,1028561
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-02-14,635.0,647.6,629.35,645.1,640.55,500637
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-02-13,643.0,653.8,634.4,640.55,644.45,806408
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,2024-02-12,674.0,675.5,640.0,644.45,671.7,858849
