StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Godrej Industries Limited,GODREJIND,2024-03-28,772.9,786.65,755.5,782.45,772.5,70807
Godrej Industries Limited,GODREJIND,2024-03-27,760.15,778.6,760.15,772.5,759.2,115960
Godrej Industries Limited,GODREJIND,2024-03-26,759.6,780.95,752.0,759.2,755.8,81287
Godrej Industries Limited,GODREJIND,2024-03-22,755.6,761.45,752.0,755.8,755.6,39851
Godrej Industries Limited,GODREJIND,2024-03-21,742.8,758.7,742.8,755.6,738.75,56382
Godrej Industries Limited,GODREJIND,2024-03-20,739.0,745.15,724.2,738.75,739.65,70667
Godrej Industries Limited,GODREJIND,2024-03-19,748.5,754.9,731.0,739.65,742.25,102792
Godrej Industries Limited,GODREJIND,2024-03-18,758.0,763.75,738.9,742.25,759.65,218233
Godrej Industries Limited,GODREJIND,2024-03-15,746.0,770.0,736.2,759.65,753.05,153566
Godrej Industries Limited,GODREJIND,2024-03-14,756.05,774.0,742.25,753.05,758.65,179979
Godrej Industries Limited,GODREJIND,2024-03-13,785.05,787.7,753.0,758.65,790.85,282991
Godrej Industries Limited,GODREJIND,2024-03-12,815.2,815.2,777.0,790.85,811.85,238599
Godrej Industries Limited,GODREJIND,2024-03-11,827.0,830.0,799.0,811.85,817.25,116389
Godrej Industries Limited,GODREJIND,2024-03-07,796.9,825.6,781.05,817.25,796.9,144996
Godrej Industries Limited,GODREJIND,2024-03-06,800.05,806.05,779.85,796.9,800.0,105455
Godrej Industries Limited,GODREJIND,2024-03-05,802.0,814.5,782.8,800.0,804.35,140025
Godrej Industries Limited,GODREJIND,2024-03-04,817.75,817.85,795.55,804.35,814.25,48016
Godrej Industries Limited,GODREJIND,2024-03-02,810.0,818.0,802.0,814.25,809.9,7977
Godrej Industries Limited,GODREJIND,2024-03-01,805.0,819.35,804.6,809.9,801.0,103216
Godrej Industries Limited,GODREJIND,2024-02-29,805.15,805.15,794.7,801.0,805.15,162095
Godrej Industries Limited,GODREJIND,2024-02-28,815.4,816.4,797.0,805.15,815.4,100455
Godrej Industries Limited,GODREJIND,2024-02-27,810.3,819.9,798.0,815.4,810.3,127300
Godrej Industries Limited,GODREJIND,2024-02-26,802.0,816.45,802.0,810.3,803.55,136390
Godrej Industries Limited,GODREJIND,2024-02-23,815.0,824.8,797.7,803.55,804.5,159882
Godrej Industries Limited,GODREJIND,2024-02-22,795.0,809.1,795.0,804.5,801.05,225652
Godrej Industries Limited,GODREJIND,2024-02-21,810.95,820.7,795.9,801.05,810.6,175386
Godrej Industries Limited,GODREJIND,2024-02-20,803.0,819.05,800.0,810.6,805.55,235722
Godrej Industries Limited,GODREJIND,2024-02-19,806.65,818.9,800.1,805.55,806.65,78786
Godrej Industries Limited,GODREJIND,2024-02-16,816.0,837.4,803.25,806.65,814.45,148920
