StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Godawari Power And Ispat limited,GPIL,2024-03-28,744.0,774.45,731.05,757.3,732.7,958738
Godawari Power And Ispat limited,GPIL,2024-03-27,676.1,744.5,676.1,732.7,680.85,1258181
Godawari Power And Ispat limited,GPIL,2024-03-26,682.15,694.55,675.3,680.85,682.15,239881
Godawari Power And Ispat limited,GPIL,2024-03-22,675.9,692.45,672.65,682.15,674.85,247819
Godawari Power And Ispat limited,GPIL,2024-03-21,669.0,684.75,669.0,674.85,665.15,253995
Godawari Power And Ispat limited,GPIL,2024-03-20,665.0,683.6,658.0,665.15,665.95,411182
Godawari Power And Ispat limited,GPIL,2024-03-19,669.95,685.0,663.0,665.95,672.75,390195
Godawari Power And Ispat limited,GPIL,2024-03-18,699.0,706.05,664.0,672.75,695.7,410346
Godawari Power And Ispat limited,GPIL,2024-03-15,694.6,720.0,680.55,695.7,692.25,1541456
Godawari Power And Ispat limited,GPIL,2024-03-14,695.2,713.85,679.0,692.25,691.25,426443
Godawari Power And Ispat limited,GPIL,2024-03-13,704.75,714.65,663.85,691.25,704.85,760671
Godawari Power And Ispat limited,GPIL,2024-03-12,730.8,741.0,701.25,704.85,730.8,284336
Godawari Power And Ispat limited,GPIL,2024-03-11,749.9,759.0,725.0,730.8,744.85,241940
Godawari Power And Ispat limited,GPIL,2024-03-07,749.1,758.9,738.75,744.85,749.3,227749
Godawari Power And Ispat limited,GPIL,2024-03-06,759.45,763.0,735.7,749.3,758.0,414451
Godawari Power And Ispat limited,GPIL,2024-03-05,763.65,768.6,751.5,758.0,764.55,191136
Godawari Power And Ispat limited,GPIL,2024-03-04,775.0,777.65,755.5,764.55,768.75,255028
Godawari Power And Ispat limited,GPIL,2024-03-02,762.7,774.9,762.7,768.75,768.4,26076
Godawari Power And Ispat limited,GPIL,2024-03-01,758.0,770.0,746.95,768.4,741.7,317989
Godawari Power And Ispat limited,GPIL,2024-02-29,741.0,749.55,725.1,741.7,741.9,307375
Godawari Power And Ispat limited,GPIL,2024-02-28,750.0,750.0,725.45,741.9,735.7,244201
Godawari Power And Ispat limited,GPIL,2024-02-27,776.05,779.85,731.1,735.7,772.15,453854
Godawari Power And Ispat limited,GPIL,2024-02-26,785.0,785.0,770.0,772.15,779.8,195153
Godawari Power And Ispat limited,GPIL,2024-02-23,789.5,789.5,771.55,779.8,780.55,176979
Godawari Power And Ispat limited,GPIL,2024-02-22,782.8,784.5,770.0,780.55,774.3,160335
Godawari Power And Ispat limited,GPIL,2024-02-21,787.35,799.1,769.0,774.3,786.35,309425
Godawari Power And Ispat limited,GPIL,2024-02-20,795.65,811.85,780.0,786.35,794.85,230842
Godawari Power And Ispat limited,GPIL,2024-02-19,800.0,824.0,783.2,794.85,768.8,808949
Godawari Power And Ispat limited,GPIL,2024-02-16,782.0,794.35,761.0,768.8,779.9,287554
Godawari Power And Ispat limited,GPIL,2024-02-15,767.0,782.95,760.0,779.9,754.8,353490
Godawari Power And Ispat limited,GPIL,2024-02-14,722.6,758.0,716.0,754.8,736.95,255043
Godawari Power And Ispat limited,GPIL,2024-02-13,760.0,761.5,722.15,736.95,762.9,516207
Godawari Power And Ispat limited,GPIL,2024-02-12,795.0,795.0,756.1,762.9,783.95,430206
Godawari Power And Ispat limited,GPIL,2024-02-09,790.0,798.45,755.4,783.95,786.35,706350
Godawari Power And Ispat limited,GPIL,2024-02-08,819.7,844.4,781.0,786.35,810.1,932122
Godawari Power And Ispat limited,GPIL,2024-02-07,788.0,836.6,780.0,810.1,770.6,2194630
Godawari Power And Ispat limited,GPIL,2024-02-06,765.9,780.0,747.75,770.6,758.45,437946
Godawari Power And Ispat limited,GPIL,2024-02-05,756.4,778.0,750.3,758.45,753.05,310676
Godawari Power And Ispat limited,GPIL,2024-02-02,747.8,766.4,745.25,753.05,743.15,256506
Godawari Power And Ispat limited,GPIL,2024-02-01,762.05,766.8,740.0,743.15,761.6,216776
Godawari Power And Ispat limited,GPIL,2024-01-31,743.9,765.0,742.0,761.6,743.9,286787
Godawari Power And Ispat limited,GPIL,2024-01-30,738.95,748.5,733.0,743.9,736.45,233604
Godawari Power And Ispat limited,GPIL,2024-01-29,747.7,749.4,733.0,736.45,759.65,414383
Godawari Power And Ispat limited,GPIL,2024-01-25,717.15,781.8,717.0,759.65,715.5,656464
Godawari Power And Ispat limited,GPIL,2024-01-24,718.0,723.55,694.35,715.5,715.5,505749
Godawari Power And Ispat limited,GPIL,2024-01-23,742.0,747.2,710.0,715.5,739.15,302007
Godawari Power And Ispat limited,GPIL,2024-01-20,755.0,756.95,735.0,739.15,745.8,311624
Godawari Power And Ispat limited,GPIL,2024-01-19,734.1,748.85,731.15,745.8,725.85,195927
Godawari Power And Ispat limited,GPIL,2024-01-18,739.0,743.2,708.5,725.85,738.75,399878
Godawari Power And Ispat limited,GPIL,2024-01-17,751.65,769.9,730.15,738.75,756.65,390375
Godawari Power And Ispat limited,GPIL,2024-01-16,775.0,786.0,750.0,756.65,776.9,349629
Godawari Power And Ispat limited,GPIL,2024-01-15,773.0,784.25,765.55,776.9,767.95,235429
Godawari Power And Ispat limited,GPIL,2024-01-12,779.4,781.0,761.1,767.95,778.9,249433
Godawari Power And Ispat limited,GPIL,2024-01-11,779.95,784.0,769.25,778.9,772.55,264575
Godawari Power And Ispat limited,GPIL,2024-01-10,761.6,775.0,757.05,772.55,763.1,275264
Godawari Power And Ispat limited,GPIL,2024-01-09,757.0,771.9,755.2,763.1,751.05,193196
Godawari Power And Ispat limited,GPIL,2024-01-08,767.95,775.0,748.05,751.05,772.7,469591
Godawari Power And Ispat limited,GPIL,2024-01-05,792.5,800.0,745.05,772.7,786.2,399906
Godawari Power And Ispat limited,GPIL,2024-01-04,784.5,794.45,778.7,786.2,778.45,250446
Godawari Power And Ispat limited,GPIL,2024-01-03,786.8,791.65,774.1,778.45,780.5,231081
Godawari Power And Ispat limited,GPIL,2024-01-02,775.0,791.95,763.3,780.5,775.65,487957
Godawari Power And Ispat limited,GPIL,2024-01-01,758.0,783.0,749.85,775.65,756.85,639838
Godawari Power And Ispat limited,GPIL,2023-12-29,747.5,765.0,738.0,756.85,746.5,620386
Godawari Power And Ispat limited,GPIL,2023-12-28,738.7,748.6,720.55,746.5,732.45,499424
Godawari Power And Ispat limited,GPIL,2023-12-27,744.0,744.0,723.3,732.45,735.8,352670
Godawari Power And Ispat limited,GPIL,2023-12-26,712.0,744.0,705.4,735.8,709.5,924611
Godawari Power And Ispat limited,GPIL,2023-12-22,695.0,718.15,691.7,709.5,686.6,570217
Godawari Power And Ispat limited,GPIL,2023-12-21,680.0,688.9,670.2,686.6,683.85,353311
Godawari Power And Ispat limited,GPIL,2023-12-20,709.3,713.65,670.55,683.85,706.1,494733
Godawari Power And Ispat limited,GPIL,2023-12-19,711.2,715.0,693.0,706.1,710.05,367036
Godawari Power And Ispat limited,GPIL,2023-12-18,722.2,724.8,702.05,710.05,721.15,436113
Godawari Power And Ispat limited,GPIL,2023-12-15,687.05,725.8,687.05,721.15,684.5,1327494
Godawari Power And Ispat limited,GPIL,2023-12-14,691.1,698.0,682.3,684.5,691.1,291164
Godawari Power And Ispat limited,GPIL,2023-12-13,686.95,695.0,678.05,691.1,686.25,289906
Godawari Power And Ispat limited,GPIL,2023-12-12,689.0,700.95,678.0,686.25,690.15,540822
Godawari Power And Ispat limited,GPIL,2023-12-11,676.9,697.0,670.1,690.15,675.1,331227
Godawari Power And Ispat limited,GPIL,2023-12-08,684.0,692.0,670.0,675.1,680.5,237847
Godawari Power And Ispat limited,GPIL,2023-12-07,688.65,690.7,675.7,680.5,688.65,242238
Godawari Power And Ispat limited,GPIL,2023-12-06,698.0,698.0,681.35,688.65,684.2,191682
Godawari Power And Ispat limited,GPIL,2023-12-05,697.0,699.0,675.55,684.2,693.85,232457
Godawari Power And Ispat limited,GPIL,2023-12-04,700.1,701.0,684.9,693.85,680.35,411808
Godawari Power And Ispat limited,GPIL,2023-12-01,687.75,698.0,676.0,680.35,686.85,409697
Godawari Power And Ispat limited,GPIL,2023-11-30,652.6,694.7,652.3,686.85,652.3,857887
Godawari Power And Ispat limited,GPIL,2023-11-29,661.8,663.0,646.3,652.3,659.95,200031
Godawari Power And Ispat limited,GPIL,2023-11-28,661.0,665.0,643.7,659.95,657.35,241104
Godawari Power And Ispat limited,GPIL,2023-11-24,662.4,668.5,655.3,657.35,659.1,140178
Godawari Power And Ispat limited,GPIL,2023-11-23,665.15,672.5,654.25,659.1,663.4,213205
Godawari Power And Ispat limited,GPIL,2023-11-22,682.1,685.2,655.3,663.4,679.95,431200
Godawari Power And Ispat limited,GPIL,2023-11-21,678.1,692.9,678.0,679.95,677.25,314295
