StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Gujarat Pipavav Port Limited,GPPL,2024-03-28,217.5,221.5,207.0,212.55,217.45,7303255
Gujarat Pipavav Port Limited,GPPL,2024-03-27,217.55,224.35,215.35,217.45,216.3,19613495
Gujarat Pipavav Port Limited,GPPL,2024-03-26,197.8,218.65,195.4,216.3,197.9,27927981
Gujarat Pipavav Port Limited,GPPL,2024-03-22,198.55,201.5,195.65,197.9,198.55,3791688
Gujarat Pipavav Port Limited,GPPL,2024-03-21,196.0,204.3,195.1,198.55,192.85,7469185
Gujarat Pipavav Port Limited,GPPL,2024-03-20,192.9,200.9,186.65,192.85,191.55,7009831
Gujarat Pipavav Port Limited,GPPL,2024-03-19,195.7,199.4,190.0,191.55,195.5,4073334
Gujarat Pipavav Port Limited,GPPL,2024-03-18,204.95,206.4,194.25,195.5,205.85,7535973
Gujarat Pipavav Port Limited,GPPL,2024-03-15,183.8,209.95,178.45,205.85,184.4,12708758
Gujarat Pipavav Port Limited,GPPL,2024-03-14,173.1,186.5,168.8,184.4,174.4,7577198
Gujarat Pipavav Port Limited,GPPL,2024-03-13,192.0,193.2,171.0,174.4,191.3,6641901
Gujarat Pipavav Port Limited,GPPL,2024-03-12,196.3,196.8,187.95,191.3,196.3,5810827
Gujarat Pipavav Port Limited,GPPL,2024-03-11,208.0,208.0,194.55,196.3,206.9,3174755
Gujarat Pipavav Port Limited,GPPL,2024-03-07,202.95,207.75,201.6,206.9,201.35,3314534
Gujarat Pipavav Port Limited,GPPL,2024-03-06,208.3,209.1,198.5,201.35,208.3,5185356
Gujarat Pipavav Port Limited,GPPL,2024-03-05,208.8,211.8,206.8,208.3,207.35,3880922
Gujarat Pipavav Port Limited,GPPL,2024-03-04,216.6,217.45,206.05,207.35,215.65,3981365
Gujarat Pipavav Port Limited,GPPL,2024-03-02,215.0,217.3,214.0,215.65,214.1,790823
Gujarat Pipavav Port Limited,GPPL,2024-03-01,215.0,218.8,211.7,214.1,209.2,7700519
Gujarat Pipavav Port Limited,GPPL,2024-02-29,201.85,213.9,198.1,209.2,202.5,7210814
Gujarat Pipavav Port Limited,GPPL,2024-02-28,211.7,214.35,200.0,202.5,209.8,7411362
Gujarat Pipavav Port Limited,GPPL,2024-02-27,204.0,212.5,200.9,209.8,203.6,7258329
Gujarat Pipavav Port Limited,GPPL,2024-02-26,214.4,215.95,202.5,203.6,213.55,6883815
Gujarat Pipavav Port Limited,GPPL,2024-02-23,212.0,217.95,209.35,213.55,208.2,14151559
Gujarat Pipavav Port Limited,GPPL,2024-02-22,199.65,211.35,194.25,208.2,198.4,17421886
Gujarat Pipavav Port Limited,GPPL,2024-02-21,204.95,207.8,197.55,198.4,205.7,7531950
Gujarat Pipavav Port Limited,GPPL,2024-02-20,209.9,209.9,202.35,205.7,208.55,9223521
Gujarat Pipavav Port Limited,GPPL,2024-02-19,201.0,215.5,201.0,208.55,198.35,21294333
Gujarat Pipavav Port Limited,GPPL,2024-02-16,193.75,204.8,187.5,198.35,191.15,26873955
Gujarat Pipavav Port Limited,GPPL,2024-02-15,174.0,196.9,173.45,191.15,173.95,26323153
Gujarat Pipavav Port Limited,GPPL,2024-02-14,171.3,177.8,171.0,173.95,174.35,3391200
Gujarat Pipavav Port Limited,GPPL,2024-02-13,183.0,184.7,172.55,174.35,170.75,11492226
Gujarat Pipavav Port Limited,GPPL,2024-02-12,179.9,179.9,166.75,170.75,178.85,3628681
Gujarat Pipavav Port Limited,GPPL,2024-02-09,180.8,181.55,169.5,178.85,180.6,3931073
Gujarat Pipavav Port Limited,GPPL,2024-02-08,179.45,185.7,178.25,180.6,178.7,4632310
Gujarat Pipavav Port Limited,GPPL,2024-02-07,183.65,183.8,176.4,178.7,182.25,2571353
Gujarat Pipavav Port Limited,GPPL,2024-02-06,186.45,188.9,180.5,182.25,184.9,3382644
Gujarat Pipavav Port Limited,GPPL,2024-02-05,183.8,193.8,183.1,184.9,182.35,7268200
