StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Grindwell Norton Limited,GRINDWELL,2024-03-28,1930.0,1938.95,1888.8,1900.95,1930.4,48771
Grindwell Norton Limited,GRINDWELL,2024-03-27,1939.0,1967.25,1895.55,1930.4,1935.65,41146
Grindwell Norton Limited,GRINDWELL,2024-03-26,1932.0,1988.1,1925.05,1935.65,1980.7,34565
Grindwell Norton Limited,GRINDWELL,2024-03-22,1940.0,1990.0,1940.0,1980.7,1947.15,34137
Grindwell Norton Limited,GRINDWELL,2024-03-21,1916.0,1961.95,1910.0,1947.15,1912.6,26864
Grindwell Norton Limited,GRINDWELL,2024-03-20,1919.1,1922.6,1895.0,1912.6,1932.7,22545
Grindwell Norton Limited,GRINDWELL,2024-03-19,1900.5,1974.0,1875.2,1932.7,1903.35,43949
Grindwell Norton Limited,GRINDWELL,2024-03-18,1892.0,1937.7,1886.45,1903.35,1895.05,64113
Grindwell Norton Limited,GRINDWELL,2024-03-15,1899.0,1928.7,1876.35,1895.05,1898.5,86197
Grindwell Norton Limited,GRINDWELL,2024-03-14,1920.5,1938.7,1879.05,1898.5,1908.5,60286
Grindwell Norton Limited,GRINDWELL,2024-03-13,1930.0,1964.35,1900.0,1908.5,1946.2,42175
Grindwell Norton Limited,GRINDWELL,2024-03-12,1994.0,2007.7,1911.1,1946.2,2009.25,153043
Grindwell Norton Limited,GRINDWELL,2024-03-11,2038.45,2040.0,2002.05,2009.25,2038.45,23758
Grindwell Norton Limited,GRINDWELL,2024-03-07,2044.2,2070.0,2025.0,2038.45,2034.0,128036
Grindwell Norton Limited,GRINDWELL,2024-03-06,2079.0,2079.0,2025.0,2034.0,2079.5,49204
Grindwell Norton Limited,GRINDWELL,2024-03-05,2080.0,2093.8,2035.1,2079.5,2080.75,103866
Grindwell Norton Limited,GRINDWELL,2024-03-04,2109.35,2118.9,2061.9,2080.75,2103.85,121283
Grindwell Norton Limited,GRINDWELL,2024-03-02,2100.0,2126.45,2077.25,2103.85,2110.15,1441
Grindwell Norton Limited,GRINDWELL,2024-03-01,2089.0,2123.6,2082.0,2110.15,2088.6,14455
Grindwell Norton Limited,GRINDWELL,2024-02-29,2123.0,2124.4,2063.2,2088.6,2118.85,80380
Grindwell Norton Limited,GRINDWELL,2024-02-28,2199.0,2199.0,2115.0,2118.85,2174.5,14424
Grindwell Norton Limited,GRINDWELL,2024-02-27,2173.0,2196.0,2154.0,2174.5,2165.65,64108
Grindwell Norton Limited,GRINDWELL,2024-02-26,2149.6,2184.3,2143.9,2165.65,2143.9,19935
Grindwell Norton Limited,GRINDWELL,2024-02-23,2144.95,2152.95,2115.0,2143.9,2131.85,75352
Grindwell Norton Limited,GRINDWELL,2024-02-22,2160.1,2165.45,2115.0,2131.85,2160.1,11258
Grindwell Norton Limited,GRINDWELL,2024-02-21,2150.0,2187.7,2140.05,2160.1,2149.0,128500
Grindwell Norton Limited,GRINDWELL,2024-02-20,2178.0,2193.2,2140.45,2149.0,2176.85,26088
Grindwell Norton Limited,GRINDWELL,2024-02-19,2188.95,2202.45,2150.5,2176.85,2188.95,39569
Grindwell Norton Limited,GRINDWELL,2024-02-16,2189.1,2234.65,2176.0,2188.95,2175.45,42892
Grindwell Norton Limited,GRINDWELL,2024-02-15,2188.35,2207.7,2160.05,2175.45,2194.75,149398
Grindwell Norton Limited,GRINDWELL,2024-02-14,2150.0,2210.0,2138.4,2194.75,2199.95,176180
Grindwell Norton Limited,GRINDWELL,2024-02-13,2241.65,2242.5,2169.05,2199.95,2241.65,26851
Grindwell Norton Limited,GRINDWELL,2024-02-12,2240.0,2271.25,2201.05,2241.65,2218.0,24302
Grindwell Norton Limited,GRINDWELL,2024-02-09,2200.0,2224.8,2165.4,2218.0,2179.1,22410
Grindwell Norton Limited,GRINDWELL,2024-02-08,2270.0,2270.0,2146.05,2179.1,2266.45,61861
Grindwell Norton Limited,GRINDWELL,2024-02-07,2284.0,2304.0,2238.1,2266.45,2270.05,43854
Grindwell Norton Limited,GRINDWELL,2024-02-06,2264.8,2275.0,2246.75,2270.05,2249.25,27019
Grindwell Norton Limited,GRINDWELL,2024-02-05,2302.95,2314.75,2237.0,2249.25,2292.95,27205
Grindwell Norton Limited,GRINDWELL,2024-02-02,2329.2,2449.0,2277.1,2292.95,2329.2,34350
