StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-28,199.8,202.25,195.0,195.65,197.15,3550527
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-27,198.0,203.9,196.0,197.15,197.2,4516394
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-26,200.9,201.9,196.55,197.2,200.45,2739106
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-22,200.3,204.1,200.0,200.45,200.0,2535584
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-21,196.6,201.9,196.6,200.0,193.85,3068208
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-20,200.0,202.6,192.65,193.85,199.25,3935240
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-19,203.95,205.75,198.0,199.25,203.5,2945833
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-18,209.3,211.9,202.6,203.5,208.65,2568700
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-15,196.7,213.9,190.85,208.65,197.0,6104596
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-14,190.0,199.4,188.0,197.0,189.35,4602154
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-13,205.0,206.6,187.5,189.35,203.35,5431711
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-12,208.9,209.05,202.5,203.35,207.7,4059707
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-11,217.0,217.55,206.95,207.7,216.5,3747181
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-07,213.9,221.0,213.65,216.5,212.45,3393755
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-06,217.4,218.2,210.45,212.45,217.5,3256794
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-05,220.65,221.85,217.0,217.5,220.8,1820091
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-04,227.0,227.05,220.05,220.8,225.4,2335346
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-02,220.5,227.2,220.2,225.4,219.85,830951
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-03-01,220.7,223.3,219.15,219.85,217.3,2657309
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-29,219.1,222.25,215.6,217.3,218.9,4704712
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-28,223.5,225.5,217.1,218.9,222.75,2550399
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-27,223.7,227.35,221.7,222.75,223.4,3575833
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-26,234.6,234.65,222.4,223.4,231.1,4214252
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-23,232.25,236.55,228.2,231.1,230.25,3855383
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-22,228.8,232.75,222.2,230.25,227.15,3212041
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-21,238.05,239.7,226.2,227.15,237.25,4863297
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-20,240.1,245.65,236.55,237.25,240.05,3100942
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-19,243.0,244.9,239.05,240.05,242.1,2996654
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-16,244.0,248.15,241.15,242.1,241.3,3537955
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-15,240.0,245.05,237.55,241.3,237.15,5149593
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-14,230.0,238.25,226.6,237.15,233.9,3327948
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-13,227.3,237.5,222.0,233.9,230.8,5954377
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-12,257.65,257.85,227.45,230.8,254.7,6458873
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-09,259.75,261.7,249.45,254.7,257.15,5754044
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-08,268.75,271.5,254.9,257.15,268.4,8758243
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-07,268.0,273.3,266.0,268.4,285.0,10233010
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-06,285.0,288.0,280.25,285.0,273.3,7572407
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-05,287.25,291.2,269.3,273.3,284.55,6795058
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-02,292.8,294.75,283.0,284.55,288.7,6574543
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-02-01,301.15,302.9,287.0,288.7,299.4,5413205
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-31,302.95,303.6,295.7,299.4,301.4,4825263
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-30,312.45,312.45,300.55,301.4,310.0,4506059
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-29,310.0,317.7,308.3,310.0,307.1,4941608
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-25,299.6,309.7,292.5,307.1,298.25,9492090
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-24,293.8,301.3,283.6,298.25,290.95,7477547
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-23,320.4,322.25,288.35,290.95,318.1,11454779
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-20,301.0,321.0,300.5,318.1,297.4,18923702
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-19,286.7,299.85,286.7,297.4,283.7,12879910
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-18,282.8,289.8,272.5,283.7,282.0,5433777
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-17,284.0,289.1,279.15,282.0,284.85,4742512
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-16,284.0,293.5,278.85,284.85,284.0,7156500
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-15,288.8,289.7,277.95,284.0,287.2,3680425
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-12,291.45,294.0,285.0,287.2,290.1,3189088
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-11,291.0,295.6,287.6,290.1,288.95,5115887
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-10,292.9,297.0,285.3,288.95,291.3,6552338
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-09,280.0,305.95,280.0,291.3,273.85,24034459
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-08,285.0,287.6,272.1,273.85,284.45,4215580
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-05,293.05,293.35,282.75,284.45,291.65,5170753
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-04,287.0,303.4,284.7,291.65,284.9,12082480
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-03,287.0,291.0,281.45,284.9,286.55,8465472
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-02,274.95,293.2,271.0,286.55,273.75,33329731
Gujarat State Fertilizers & Chemicals Limited,GSFC,2024-01-01,242.0,283.85,240.85,273.75,241.4,34305864
Gujarat State Fertilizers & Chemicals Limited,GSFC,2023-12-29,246.8,246.9,238.75,241.4,245.4,4506407
Gujarat State Fertilizers & Chemicals Limited,GSFC,2023-12-28,232.45,246.85,228.0,245.4,231.5,13144431
