StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Gujarat State Petronet Limited,GSPL,2024-03-28,352.85,358.0,349.1,356.5,352.85,2141195
Gujarat State Petronet Limited,GSPL,2024-03-27,349.95,354.8,348.75,352.85,349.25,1593980
Gujarat State Petronet Limited,GSPL,2024-03-26,354.65,363.45,347.7,349.25,353.15,1632834
Gujarat State Petronet Limited,GSPL,2024-03-22,348.25,357.0,344.15,353.15,345.95,1007085
Gujarat State Petronet Limited,GSPL,2024-03-21,347.9,349.65,343.1,345.95,344.0,579753
Gujarat State Petronet Limited,GSPL,2024-03-20,340.8,349.1,340.0,344.0,338.95,2556528
Gujarat State Petronet Limited,GSPL,2024-03-19,344.35,348.2,337.3,338.95,342.2,661039
Gujarat State Petronet Limited,GSPL,2024-03-18,338.95,348.65,336.8,342.2,339.1,547258
Gujarat State Petronet Limited,GSPL,2024-03-15,349.2,352.0,335.1,339.1,346.55,957091
Gujarat State Petronet Limited,GSPL,2024-03-14,331.95,348.75,329.6,346.55,335.95,1028650
Gujarat State Petronet Limited,GSPL,2024-03-13,351.8,356.95,333.3,335.95,353.55,1691109
Gujarat State Petronet Limited,GSPL,2024-03-12,357.5,361.25,351.8,353.55,358.7,707235
Gujarat State Petronet Limited,GSPL,2024-03-11,367.1,368.35,356.55,358.7,364.9,444272
Gujarat State Petronet Limited,GSPL,2024-03-07,361.9,366.9,359.1,364.9,361.8,484402
Gujarat State Petronet Limited,GSPL,2024-03-06,370.7,374.4,359.85,361.8,371.9,2695021
Gujarat State Petronet Limited,GSPL,2024-03-05,372.15,376.75,367.1,371.9,372.45,995816
Gujarat State Petronet Limited,GSPL,2024-03-04,367.9,377.0,361.7,372.45,366.95,1710800
Gujarat State Petronet Limited,GSPL,2024-03-02,368.4,368.9,365.0,366.95,366.4,32555
Gujarat State Petronet Limited,GSPL,2024-03-01,371.9,372.7,359.55,366.4,368.9,946805
Gujarat State Petronet Limited,GSPL,2024-02-29,360.0,374.2,353.3,368.9,361.05,1339548
Gujarat State Petronet Limited,GSPL,2024-02-28,365.0,366.55,356.3,361.05,363.9,560946
Gujarat State Petronet Limited,GSPL,2024-02-27,368.0,368.0,361.05,363.9,368.0,578910
Gujarat State Petronet Limited,GSPL,2024-02-26,375.0,378.0,366.0,368.0,370.95,732512
Gujarat State Petronet Limited,GSPL,2024-02-23,369.5,375.15,361.0,370.95,367.05,1142228
Gujarat State Petronet Limited,GSPL,2024-02-22,375.8,377.2,365.2,367.05,373.75,1059971
Gujarat State Petronet Limited,GSPL,2024-02-21,365.0,376.0,362.3,373.75,363.45,1821214
Gujarat State Petronet Limited,GSPL,2024-02-20,371.95,372.7,360.1,363.45,371.05,1111491
Gujarat State Petronet Limited,GSPL,2024-02-19,380.5,380.55,368.9,371.05,377.5,1145296
Gujarat State Petronet Limited,GSPL,2024-02-16,377.0,403.25,371.1,377.5,373.75,5859564
Gujarat State Petronet Limited,GSPL,2024-02-15,354.0,382.0,351.65,373.75,353.85,4068616
Gujarat State Petronet Limited,GSPL,2024-02-14,344.0,356.4,339.1,353.85,352.85,1014411
Gujarat State Petronet Limited,GSPL,2024-02-13,351.45,358.55,341.15,352.85,352.0,1624553
Gujarat State Petronet Limited,GSPL,2024-02-12,384.6,387.95,345.25,352.0,384.0,1799819
Gujarat State Petronet Limited,GSPL,2024-02-09,400.0,403.95,371.0,384.0,399.55,2578151
Gujarat State Petronet Limited,GSPL,2024-02-08,389.0,406.75,388.0,399.55,386.15,4138795
Gujarat State Petronet Limited,GSPL,2024-02-07,385.0,390.0,373.35,386.15,379.55,3413027
Gujarat State Petronet Limited,GSPL,2024-02-06,374.2,385.0,369.65,379.55,368.35,4312082
Gujarat State Petronet Limited,GSPL,2024-02-05,352.9,373.75,352.15,368.35,350.4,3442650
Gujarat State Petronet Limited,GSPL,2024-02-02,363.55,365.9,349.0,350.4,361.65,1844518
Gujarat State Petronet Limited,GSPL,2024-02-01,369.0,371.0,359.0,361.65,367.85,776303
Gujarat State Petronet Limited,GSPL,2024-01-31,355.0,370.0,353.15,367.85,356.45,2329132
Gujarat State Petronet Limited,GSPL,2024-01-30,360.0,365.5,355.0,356.45,363.55,1738711
Gujarat State Petronet Limited,GSPL,2024-01-29,360.0,379.0,356.0,363.55,361.15,2650129
Gujarat State Petronet Limited,GSPL,2024-01-25,366.0,375.9,356.6,361.15,363.75,3313989
Gujarat State Petronet Limited,GSPL,2024-01-24,347.65,370.35,346.75,363.75,347.65,3532358
Gujarat State Petronet Limited,GSPL,2024-01-23,355.0,375.0,343.05,347.65,344.8,7376499
Gujarat State Petronet Limited,GSPL,2024-01-20,320.8,355.95,320.15,344.8,319.3,2291253
Gujarat State Petronet Limited,GSPL,2024-01-19,317.4,321.8,314.1,319.3,312.9,739628
Gujarat State Petronet Limited,GSPL,2024-01-18,316.85,319.05,306.7,312.9,317.1,935755
Gujarat State Petronet Limited,GSPL,2024-01-17,324.9,324.9,315.55,317.1,325.5,541645
Gujarat State Petronet Limited,GSPL,2024-01-16,325.3,328.75,322.2,325.5,322.75,628948
Gujarat State Petronet Limited,GSPL,2024-01-15,325.0,331.35,319.0,322.75,321.85,1254756
Gujarat State Petronet Limited,GSPL,2024-01-12,321.0,328.5,319.6,321.85,316.35,885795
Gujarat State Petronet Limited,GSPL,2024-01-11,317.2,324.75,311.8,316.35,318.7,2214681
Gujarat State Petronet Limited,GSPL,2024-01-10,328.5,329.95,313.1,318.7,327.65,2430429
Gujarat State Petronet Limited,GSPL,2024-01-09,328.65,337.8,325.0,327.65,326.65,904325
Gujarat State Petronet Limited,GSPL,2024-01-08,336.65,336.7,325.3,326.65,334.0,717304
Gujarat State Petronet Limited,GSPL,2024-01-05,334.0,339.5,332.1,334.0,334.1,1176568
Gujarat State Petronet Limited,GSPL,2024-01-04,327.0,337.0,323.15,334.1,326.0,2282546
Gujarat State Petronet Limited,GSPL,2024-01-03,329.8,331.4,323.3,326.0,330.1,1192282
Gujarat State Petronet Limited,GSPL,2024-01-02,321.8,335.4,319.25,330.1,320.1,6360561
Gujarat State Petronet Limited,GSPL,2024-01-01,307.5,324.35,306.1,320.1,306.0,4231364
Gujarat State Petronet Limited,GSPL,2023-12-29,311.0,312.25,303.0,306.0,308.6,1253834
Gujarat State Petronet Limited,GSPL,2023-12-28,294.8,315.5,294.4,308.6,294.8,4753005
Gujarat State Petronet Limited,GSPL,2023-12-27,298.5,298.8,292.45,294.8,297.3,446457
Gujarat State Petronet Limited,GSPL,2023-12-26,295.0,298.6,293.5,297.3,293.9,707315
Gujarat State Petronet Limited,GSPL,2023-12-22,292.1,295.1,290.0,293.9,289.85,1397396
Gujarat State Petronet Limited,GSPL,2023-12-21,282.0,291.45,279.0,289.85,283.4,847524
Gujarat State Petronet Limited,GSPL,2023-12-20,289.2,295.5,279.4,283.4,287.9,2143941
Gujarat State Petronet Limited,GSPL,2023-12-19,286.0,290.55,286.0,287.9,285.7,1419363
Gujarat State Petronet Limited,GSPL,2023-12-18,292.0,293.45,284.25,285.7,288.95,993229
Gujarat State Petronet Limited,GSPL,2023-12-15,292.35,298.5,287.7,288.95,293.5,1167420
Gujarat State Petronet Limited,GSPL,2023-12-14,298.75,299.15,292.6,293.5,296.75,753697
Gujarat State Petronet Limited,GSPL,2023-12-13,295.0,298.95,293.25,296.75,293.9,820185
Gujarat State Petronet Limited,GSPL,2023-12-12,302.75,303.9,292.8,293.9,301.0,847497
Gujarat State Petronet Limited,GSPL,2023-12-11,299.1,302.25,296.45,301.0,297.95,1122764
Gujarat State Petronet Limited,GSPL,2023-12-08,287.9,302.7,286.3,297.95,286.1,4072993
Gujarat State Petronet Limited,GSPL,2023-12-07,283.5,289.9,281.55,286.1,282.9,2011700
Gujarat State Petronet Limited,GSPL,2023-12-06,286.4,287.8,279.6,282.9,284.05,1251566
Gujarat State Petronet Limited,GSPL,2023-12-05,289.1,290.25,283.05,284.05,288.9,1169186
Gujarat State Petronet Limited,GSPL,2023-12-04,292.15,294.8,286.45,288.9,290.9,933249
Gujarat State Petronet Limited,GSPL,2023-12-01,290.0,292.0,288.4,290.9,288.5,1154617
Gujarat State Petronet Limited,GSPL,2023-11-30,284.9,290.0,284.05,288.5,284.8,1183399
Gujarat State Petronet Limited,GSPL,2023-11-29,283.9,286.0,280.45,284.8,282.7,828146
Gujarat State Petronet Limited,GSPL,2023-11-28,277.95,284.2,277.6,282.7,277.95,863361
Gujarat State Petronet Limited,GSPL,2023-11-24,277.45,280.25,274.8,277.95,276.05,542986
Gujarat State Petronet Limited,GSPL,2023-11-23,275.1,277.95,273.8,276.05,273.45,431608
Gujarat State Petronet Limited,GSPL,2023-11-22,272.5,274.9,268.45,273.45,272.6,909678
Gujarat State Petronet Limited,GSPL,2023-11-21,278.0,278.0,271.5,272.6,276.6,1421131
Gujarat State Petronet Limited,GSPL,2023-11-20,276.75,277.7,274.45,276.6,275.75,251229
Gujarat State Petronet Limited,GSPL,2023-11-17,275.4,276.95,272.25,275.75,275.25,524292
Gujarat State Petronet Limited,GSPL,2023-11-16,281.0,281.85,273.5,275.25,279.95,705754
Gujarat State Petronet Limited,GSPL,2023-11-15,280.0,281.95,278.1,279.95,278.5,373897
Gujarat State Petronet Limited,GSPL,2023-11-13,277.25,279.0,275.2,278.5,277.1,488258
Gujarat State Petronet Limited,GSPL,2023-11-12,277.0,277.65,275.6,277.1,274.4,94082
Gujarat State Petronet Limited,GSPL,2023-11-10,272.0,275.8,270.75,274.4,270.2,578232
Gujarat State Petronet Limited,GSPL,2023-11-09,276.0,276.0,269.5,270.2,275.25,884814
Gujarat State Petronet Limited,GSPL,2023-11-08,280.6,280.7,272.1,275.25,279.2,684100
Gujarat State Petronet Limited,GSPL,2023-11-07,285.0,289.0,276.5,279.2,272.6,3351102
Gujarat State Petronet Limited,GSPL,2023-11-06,269.7,275.4,267.25,272.6,266.5,519104
Gujarat State Petronet Limited,GSPL,2023-11-03,265.1,267.9,263.8,266.5,262.95,677319
Gujarat State Petronet Limited,GSPL,2023-11-02,262.75,266.35,262.2,262.95,259.2,323034
Gujarat State Petronet Limited,GSPL,2023-11-01,268.9,269.15,254.5,259.2,267.5,2592055
Gujarat State Petronet Limited,GSPL,2023-10-31,274.9,278.0,266.1,267.5,273.9,993756
Gujarat State Petronet Limited,GSPL,2023-10-30,272.4,278.15,272.4,273.9,274.85,262574
Gujarat State Petronet Limited,GSPL,2023-10-27,275.0,278.5,273.3,274.85,275.5,342783
Gujarat State Petronet Limited,GSPL,2023-10-26,275.0,278.4,269.55,275.5,274.5,866447
Gujarat State Petronet Limited,GSPL,2023-10-25,274.9,280.45,273.5,274.5,271.6,1380927
Gujarat State Petronet Limited,GSPL,2023-10-23,288.9,288.9,268.2,271.6,287.95,985252
