StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Gujarat Gas Limited,GUJGASLTD,2024-03-28,545.0,547.0,538.3,544.25,541.75,698329
Gujarat Gas Limited,GUJGASLTD,2024-03-27,549.35,556.45,539.9,541.75,549.3,975813
Gujarat Gas Limited,GUJGASLTD,2024-03-26,529.0,553.05,525.05,549.3,528.85,1034389
Gujarat Gas Limited,GUJGASLTD,2024-03-22,528.5,532.2,524.15,528.85,529.05,317477
Gujarat Gas Limited,GUJGASLTD,2024-03-21,515.3,530.8,515.3,529.05,516.6,777617
Gujarat Gas Limited,GUJGASLTD,2024-03-20,518.45,518.65,498.35,516.6,520.85,2368871
Gujarat Gas Limited,GUJGASLTD,2024-03-19,543.0,543.0,516.25,520.85,542.75,564288
Gujarat Gas Limited,GUJGASLTD,2024-03-18,543.15,545.9,535.0,542.75,543.15,843660
Gujarat Gas Limited,GUJGASLTD,2024-03-15,537.3,546.95,528.55,543.15,537.3,902983
Gujarat Gas Limited,GUJGASLTD,2024-03-14,528.0,542.65,522.05,537.3,528.4,1136681
Gujarat Gas Limited,GUJGASLTD,2024-03-13,556.15,556.15,523.2,528.4,556.15,1266699
Gujarat Gas Limited,GUJGASLTD,2024-03-12,561.0,576.9,553.0,556.15,565.5,481623
Gujarat Gas Limited,GUJGASLTD,2024-03-11,576.95,576.95,556.0,565.5,570.75,800541
Gujarat Gas Limited,GUJGASLTD,2024-03-07,568.0,573.9,559.7,570.75,566.85,548388
Gujarat Gas Limited,GUJGASLTD,2024-03-06,594.0,594.75,555.15,566.85,593.45,2080869
Gujarat Gas Limited,GUJGASLTD,2024-03-05,594.8,594.85,586.4,593.45,590.0,677112
Gujarat Gas Limited,GUJGASLTD,2024-03-04,576.8,595.75,576.05,590.0,576.8,1952711
Gujarat Gas Limited,GUJGASLTD,2024-03-02,580.95,582.15,574.15,576.8,578.35,44352
Gujarat Gas Limited,GUJGASLTD,2024-03-01,568.0,582.35,567.05,578.35,565.35,1093148
Gujarat Gas Limited,GUJGASLTD,2024-02-29,552.75,568.7,544.75,565.35,548.3,2127506
Gujarat Gas Limited,GUJGASLTD,2024-02-28,558.35,568.25,545.0,548.3,558.3,1109298
Gujarat Gas Limited,GUJGASLTD,2024-02-27,567.1,572.85,557.0,558.3,567.1,590652
Gujarat Gas Limited,GUJGASLTD,2024-02-26,580.0,583.6,565.65,567.1,577.3,1399946
Gujarat Gas Limited,GUJGASLTD,2024-02-23,567.95,580.5,563.9,577.3,564.55,1311882
Gujarat Gas Limited,GUJGASLTD,2024-02-22,565.55,575.7,561.9,564.55,565.55,1459852
Gujarat Gas Limited,GUJGASLTD,2024-02-21,558.95,569.75,554.0,565.55,555.0,1532012
Gujarat Gas Limited,GUJGASLTD,2024-02-20,551.0,561.0,544.0,555.0,551.3,1340714
Gujarat Gas Limited,GUJGASLTD,2024-02-19,545.0,565.45,540.0,551.3,545.05,1942616
Gujarat Gas Limited,GUJGASLTD,2024-02-16,567.5,567.5,541.85,545.05,580.85,6418568
Gujarat Gas Limited,GUJGASLTD,2024-02-15,559.0,585.4,556.15,580.85,559.75,2077553
Gujarat Gas Limited,GUJGASLTD,2024-02-14,529.0,562.6,512.0,559.75,561.7,4501093
Gujarat Gas Limited,GUJGASLTD,2024-02-13,555.15,566.85,555.15,561.7,560.45,449537
Gujarat Gas Limited,GUJGASLTD,2024-02-12,580.3,585.7,558.75,560.45,582.9,848484
Gujarat Gas Limited,GUJGASLTD,2024-02-09,596.1,596.1,566.05,582.9,600.55,1240706
Gujarat Gas Limited,GUJGASLTD,2024-02-08,605.0,612.15,598.3,600.55,602.8,707704
Gujarat Gas Limited,GUJGASLTD,2024-02-07,620.0,620.0,600.3,602.8,615.9,729023
Gujarat Gas Limited,GUJGASLTD,2024-02-06,599.7,617.75,592.65,615.9,596.75,1201435
Gujarat Gas Limited,GUJGASLTD,2024-02-05,596.8,607.0,591.0,596.75,590.85,823613
Gujarat Gas Limited,GUJGASLTD,2024-02-02,585.0,599.8,584.05,590.85,579.85,1262826
Gujarat Gas Limited,GUJGASLTD,2024-02-01,587.4,593.0,575.45,579.85,581.3,1400836
Gujarat Gas Limited,GUJGASLTD,2024-01-31,555.65,582.75,555.65,581.3,554.65,2183189
Gujarat Gas Limited,GUJGASLTD,2024-01-30,555.1,562.5,553.15,554.65,553.4,568635
Gujarat Gas Limited,GUJGASLTD,2024-01-29,558.5,561.5,552.0,553.4,552.45,527332
Gujarat Gas Limited,GUJGASLTD,2024-01-25,571.9,571.9,549.5,552.45,569.2,937310
Gujarat Gas Limited,GUJGASLTD,2024-01-24,550.0,570.75,548.05,569.2,553.45,1134846
Gujarat Gas Limited,GUJGASLTD,2024-01-23,563.95,564.75,549.5,553.45,554.6,1749559
Gujarat Gas Limited,GUJGASLTD,2024-01-20,554.0,555.85,547.6,554.6,553.6,471413
Gujarat Gas Limited,GUJGASLTD,2024-01-19,562.45,562.45,547.25,553.6,557.7,1174999
Gujarat Gas Limited,GUJGASLTD,2024-01-18,553.0,561.95,534.3,557.7,555.15,2703718
Gujarat Gas Limited,GUJGASLTD,2024-01-17,555.7,566.5,549.75,555.15,556.05,2688070
Gujarat Gas Limited,GUJGASLTD,2024-01-16,544.9,558.4,540.55,556.05,541.6,2839045
Gujarat Gas Limited,GUJGASLTD,2024-01-15,540.0,547.0,534.5,541.6,534.6,2182927
Gujarat Gas Limited,GUJGASLTD,2024-01-12,548.0,548.0,531.25,534.6,541.1,3820123
Gujarat Gas Limited,GUJGASLTD,2024-01-11,516.0,547.85,512.25,541.1,515.2,3966121
Gujarat Gas Limited,GUJGASLTD,2024-01-10,516.35,516.35,505.35,515.2,514.05,1426433
Gujarat Gas Limited,GUJGASLTD,2024-01-09,512.95,515.8,506.7,514.05,508.4,973618
Gujarat Gas Limited,GUJGASLTD,2024-01-08,510.35,513.9,505.5,508.4,506.75,1358948
Gujarat Gas Limited,GUJGASLTD,2024-01-05,508.9,511.2,501.1,506.75,506.2,1315727
Gujarat Gas Limited,GUJGASLTD,2024-01-04,500.1,507.7,496.9,506.2,498.75,1822819
Gujarat Gas Limited,GUJGASLTD,2024-01-03,497.95,501.5,491.6,498.75,498.35,1583945
Gujarat Gas Limited,GUJGASLTD,2024-01-02,485.0,503.45,480.65,498.35,484.0,5085625
Gujarat Gas Limited,GUJGASLTD,2024-01-01,464.8,495.4,461.7,484.0,461.5,5898898
