StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Hindustan Aeronautics Limited,HAL,2024-03-28,3291.0,3345.0,3272.0,3327.0,3281.05,1385868
Hindustan Aeronautics Limited,HAL,2024-03-27,3317.0,3324.9,3245.0,3281.05,3300.8,1503735
Hindustan Aeronautics Limited,HAL,2024-03-26,3193.0,3305.0,3180.0,3300.8,3170.8,2573125
Hindustan Aeronautics Limited,HAL,2024-03-22,3114.05,3209.9,3085.0,3170.8,3121.35,2086220
Hindustan Aeronautics Limited,HAL,2024-03-21,3024.0,3128.45,3020.0,3121.35,2980.5,1962690
Hindustan Aeronautics Limited,HAL,2024-03-20,3074.0,3080.0,2913.6,2980.5,3058.9,2975349
Hindustan Aeronautics Limited,HAL,2024-03-19,3111.75,3144.4,3034.35,3058.9,3121.95,1666528
Hindustan Aeronautics Limited,HAL,2024-03-18,3138.0,3184.0,3105.4,3121.95,3099.1,1967550
Hindustan Aeronautics Limited,HAL,2024-03-15,3164.95,3182.55,3006.0,3099.1,3165.95,2864705
Hindustan Aeronautics Limited,HAL,2024-03-14,3053.95,3177.9,3017.05,3165.95,3039.5,2329439
Hindustan Aeronautics Limited,HAL,2024-03-13,3250.0,3270.35,3015.75,3039.5,3267.55,3448647
Hindustan Aeronautics Limited,HAL,2024-03-12,3375.0,3380.0,3241.1,3267.55,3371.45,1421483
Hindustan Aeronautics Limited,HAL,2024-03-11,3365.0,3428.0,3336.0,3371.45,3317.3,2519751
Hindustan Aeronautics Limited,HAL,2024-03-07,3262.0,3334.0,3255.05,3317.3,3228.2,2251410
Hindustan Aeronautics Limited,HAL,2024-03-06,3238.8,3245.0,3154.3,3228.2,3237.0,1292669
Hindustan Aeronautics Limited,HAL,2024-03-05,3229.0,3266.75,3201.0,3237.0,3214.95,1502498
Hindustan Aeronautics Limited,HAL,2024-03-04,3157.0,3226.85,3133.0,3214.95,3157.15,1892157
Hindustan Aeronautics Limited,HAL,2024-03-02,3165.0,3174.0,3150.0,3157.15,3154.3,144935
Hindustan Aeronautics Limited,HAL,2024-03-01,3099.0,3164.0,3092.0,3154.3,3084.05,1516443
Hindustan Aeronautics Limited,HAL,2024-02-29,3084.95,3105.0,3014.1,3084.05,3085.2,1382425
Hindustan Aeronautics Limited,HAL,2024-02-28,3114.0,3170.0,3061.25,3085.2,3095.5,2725678
Hindustan Aeronautics Limited,HAL,2024-02-27,3044.95,3125.75,3033.25,3095.5,3049.75,2050688
Hindustan Aeronautics Limited,HAL,2024-02-26,3045.45,3075.0,3013.7,3049.75,3045.5,849178
Hindustan Aeronautics Limited,HAL,2024-02-23,3006.0,3065.5,3006.0,3045.5,3005.65,1388116
Hindustan Aeronautics Limited,HAL,2024-02-22,2959.0,3010.0,2940.0,3005.65,2948.05,919890
Hindustan Aeronautics Limited,HAL,2024-02-21,2997.95,3025.0,2935.1,2948.05,2995.3,1281770
Hindustan Aeronautics Limited,HAL,2024-02-20,3018.8,3018.8,2971.0,2995.3,3021.75,979624
Hindustan Aeronautics Limited,HAL,2024-02-19,3099.95,3113.9,3016.85,3021.75,3078.8,1615343
Hindustan Aeronautics Limited,HAL,2024-02-16,3044.0,3105.0,3035.2,3078.8,3023.2,2732655
Hindustan Aeronautics Limited,HAL,2024-02-15,2990.0,3034.0,2983.15,3023.2,2957.1,1788864
Hindustan Aeronautics Limited,HAL,2024-02-14,2887.0,2966.4,2855.3,2957.1,2922.6,1112043
Hindustan Aeronautics Limited,HAL,2024-02-13,2861.8,2933.0,2824.85,2922.6,2846.05,1805862
Hindustan Aeronautics Limited,HAL,2024-02-12,2975.0,2987.05,2828.0,2846.05,2965.35,2890465
Hindustan Aeronautics Limited,HAL,2024-02-09,3127.0,3127.0,2920.0,2965.35,3097.2,3176427
Hindustan Aeronautics Limited,HAL,2024-02-08,2963.0,3132.0,2956.05,3097.2,2949.75,4475010
Hindustan Aeronautics Limited,HAL,2024-02-07,2964.9,2978.0,2922.0,2949.75,2958.45,893201
Hindustan Aeronautics Limited,HAL,2024-02-06,2936.95,2969.0,2907.05,2958.45,2932.5,1421958
Hindustan Aeronautics Limited,HAL,2024-02-05,2980.0,3005.0,2912.7,2932.5,2970.7,936558
Hindustan Aeronautics Limited,HAL,2024-02-02,3012.0,3047.95,2965.35,2970.7,2997.55,1256014
Hindustan Aeronautics Limited,HAL,2024-02-01,3020.0,3074.0,2955.15,2997.55,2999.4,1920618
Hindustan Aeronautics Limited,HAL,2024-01-31,3015.0,3018.5,2981.85,2999.4,3012.55,1074596
Hindustan Aeronautics Limited,HAL,2024-01-30,2991.75,3065.0,2986.05,3012.55,2976.95,1853804
