StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-28,755.9,763.75,741.0,744.4,752.0,777795
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-27,767.85,772.45,750.0,752.0,765.55,760030
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-26,777.0,788.85,762.5,765.55,777.6,616481
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-22,776.95,785.0,775.5,777.6,779.65,338290
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-21,785.0,793.85,775.05,779.65,775.6,281929
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-20,789.9,789.9,775.0,775.6,783.7,248219
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-19,790.9,794.45,782.0,783.7,787.15,271583
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-18,798.0,804.0,785.1,787.15,792.6,209874
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-15,801.85,816.0,785.0,792.6,801.85,299912
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-14,785.15,809.0,778.4,801.85,785.15,321290
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-13,807.45,821.95,780.25,785.15,805.9,529763
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-12,824.0,833.15,804.5,805.9,823.3,444042
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-11,835.0,835.0,821.0,823.3,831.4,229515
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-07,825.0,834.0,825.0,831.4,824.55,193083
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-06,829.45,836.95,816.0,824.55,827.9,289093
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-05,841.95,841.95,825.0,827.9,839.9,265201
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-04,856.0,859.95,836.85,839.9,856.0,202056
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-02,852.05,860.95,852.0,856.0,848.25,64934
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-03-01,855.1,863.6,847.0,848.25,846.95,258786
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-29,849.0,856.75,815.9,846.95,849.05,380542
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-28,879.7,879.8,840.25,849.05,872.65,709395
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-27,836.0,888.9,828.0,872.65,834.75,2803915
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-26,856.45,856.6,833.05,834.75,848.65,325945
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-23,832.2,858.4,830.15,848.65,822.5,833280
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-22,830.0,834.9,818.0,822.5,826.0,284795
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-21,834.1,837.0,825.0,826.0,834.1,246730
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-20,839.95,843.8,833.0,834.1,838.4,215217
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-19,844.0,846.0,834.0,838.4,836.5,221042
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-16,842.95,849.0,833.0,836.5,836.4,311636
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-15,829.0,852.75,828.65,836.4,827.35,405956
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-14,830.0,833.0,822.3,827.35,835.6,220493
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-13,830.0,838.8,814.4,835.6,829.85,224751
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-12,841.95,845.2,826.2,829.85,841.95,282409
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-09,853.0,858.6,838.0,841.95,852.8,284473
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-08,864.85,866.05,851.0,852.8,862.3,265448
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-07,872.7,878.25,860.0,862.3,869.1,208599
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-06,858.0,880.0,857.0,869.1,855.8,373335
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-05,873.9,875.0,853.05,855.8,873.9,305996
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-02,866.15,895.5,866.15,873.9,864.2,560838
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-02-01,879.0,879.7,862.1,864.2,876.05,154158
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-31,856.9,879.9,855.8,876.05,857.4,403889
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-30,861.35,870.0,855.75,857.4,856.2,193613
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-29,867.0,871.0,855.0,856.2,866.55,288567
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-25,870.0,880.45,862.8,866.55,867.75,274434
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-24,856.75,879.95,851.6,867.75,856.3,367748
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-23,885.0,890.8,851.5,856.3,884.4,606846
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-20,893.7,897.0,882.0,884.4,889.6,270767
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-19,897.0,906.25,886.2,889.6,883.95,429031
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-18,917.0,920.0,872.05,883.95,925.7,1428402
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-17,929.95,948.7,921.0,925.7,934.9,710873
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-16,947.0,950.6,922.15,934.9,945.3,630576
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-15,933.45,961.0,933.0,945.3,922.5,1791365
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-12,899.9,932.8,898.75,922.5,889.85,1843126
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-11,895.0,899.8,888.0,889.85,892.65,183034
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-10,895.7,900.9,887.05,892.65,895.15,272109
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-09,900.0,908.0,893.0,895.15,890.75,244120
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-08,905.05,908.9,890.0,890.75,903.8,285774
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-05,901.9,910.9,895.1,903.8,900.7,337363
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-04,907.7,912.95,899.0,900.7,903.75,297248
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-03,908.05,908.8,897.0,903.75,909.5,318933
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-02,908.75,915.0,891.1,909.5,903.65,400253
Happiest Minds Technologies Limited,HAPPSTMNDS,2024-01-01,898.5,913.0,898.5,903.65,896.05,300820
Happiest Minds Technologies Limited,HAPPSTMNDS,2023-12-29,902.4,907.0,895.0,896.05,897.9,339983
Happiest Minds Technologies Limited,HAPPSTMNDS,2023-12-28,904.9,909.8,896.0,897.9,902.8,322840
Happiest Minds Technologies Limited,HAPPSTMNDS,2023-12-27,913.8,917.0,901.0,902.8,908.8,355652
Happiest Minds Technologies Limited,HAPPSTMNDS,2023-12-26,917.9,922.0,903.6,908.8,916.65,438011
Happiest Minds Technologies Limited,HAPPSTMNDS,2023-12-22,919.8,923.0,901.8,916.65,914.3,429653
Happiest Minds Technologies Limited,HAPPSTMNDS,2023-12-21,872.1,919.0,867.55,914.3,884.85,968670
Happiest Minds Technologies Limited,HAPPSTMNDS,2023-12-20,928.0,947.0,875.3,884.85,925.7,1053009
Happiest Minds Technologies Limited,HAPPSTMNDS,2023-12-19,940.0,945.0,921.0,925.7,936.4,450544
Happiest Minds Technologies Limited,HAPPSTMNDS,2023-12-18,935.2,953.8,927.0,936.4,935.2,898252
Happiest Minds Technologies Limited,HAPPSTMNDS,2023-12-15,920.0,954.85,917.0,935.2,913.2,2306799
Happiest Minds Technologies Limited,HAPPSTMNDS,2023-12-14,913.9,930.0,911.0,913.2,894.65,1471920
Happiest Minds Technologies Limited,HAPPSTMNDS,2023-12-13,911.7,922.8,892.0,894.65,904.3,934044
Happiest Minds Technologies Limited,HAPPSTMNDS,2023-12-12,882.7,920.0,882.0,904.3,879.1,2092826
Happiest Minds Technologies Limited,HAPPSTMNDS,2023-12-11,891.7,898.65,875.0,879.1,882.7,441394
Happiest Minds Technologies Limited,HAPPSTMNDS,2023-12-08,875.0,899.9,867.4,882.7,867.2,1489107
Happiest Minds Technologies Limited,HAPPSTMNDS,2023-12-07,842.0,872.5,842.0,867.2,840.35,1254300
