StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Happy Forgings Limited,HAPPYFORGE,2024-03-28,890.1,898.8,870.05,889.8,887.35,177515
Happy Forgings Limited,HAPPYFORGE,2024-03-27,893.4,897.95,861.0,887.35,886.45,222126
Happy Forgings Limited,HAPPYFORGE,2024-03-26,880.0,899.0,868.2,886.45,887.75,236185
Happy Forgings Limited,HAPPYFORGE,2024-03-22,874.7,897.1,860.0,887.75,867.55,80061
Happy Forgings Limited,HAPPYFORGE,2024-03-21,852.0,887.4,851.15,867.55,843.15,141703
Happy Forgings Limited,HAPPYFORGE,2024-03-20,833.9,849.4,825.75,843.15,825.75,47924
Happy Forgings Limited,HAPPYFORGE,2024-03-19,814.0,830.4,813.7,825.75,815.25,47047
Happy Forgings Limited,HAPPYFORGE,2024-03-18,838.9,838.9,813.2,815.25,832.0,65976
Happy Forgings Limited,HAPPYFORGE,2024-03-15,826.45,840.0,822.75,832.0,826.45,71487
Happy Forgings Limited,HAPPYFORGE,2024-03-14,835.65,853.6,815.0,826.45,835.65,231672
Happy Forgings Limited,HAPPYFORGE,2024-03-13,880.0,894.2,824.0,835.65,879.8,297265
Happy Forgings Limited,HAPPYFORGE,2024-03-12,894.9,899.9,855.0,879.8,890.3,135759
Happy Forgings Limited,HAPPYFORGE,2024-03-11,927.95,930.0,888.0,890.3,928.0,109467
Happy Forgings Limited,HAPPYFORGE,2024-03-07,944.65,944.7,920.05,928.0,926.95,77529
Happy Forgings Limited,HAPPYFORGE,2024-03-06,943.9,943.9,898.95,926.95,936.2,111824
Happy Forgings Limited,HAPPYFORGE,2024-03-05,969.0,969.0,933.8,936.2,963.35,47538
Happy Forgings Limited,HAPPYFORGE,2024-03-04,985.5,992.0,960.6,963.35,985.5,57228
Happy Forgings Limited,HAPPYFORGE,2024-03-02,990.0,990.0,980.05,985.5,975.85,13971
Happy Forgings Limited,HAPPYFORGE,2024-03-01,953.0,992.0,943.1,975.85,928.2,232319
Happy Forgings Limited,HAPPYFORGE,2024-02-29,921.25,937.0,914.0,928.2,923.3,66082
Happy Forgings Limited,HAPPYFORGE,2024-02-28,940.0,945.95,904.25,923.3,937.95,119125
Happy Forgings Limited,HAPPYFORGE,2024-02-27,954.8,956.0,935.45,937.95,952.7,42417
Happy Forgings Limited,HAPPYFORGE,2024-02-26,962.0,970.35,950.0,952.7,957.6,52270
Happy Forgings Limited,HAPPYFORGE,2024-02-23,964.0,969.95,952.0,957.6,960.95,35824
Happy Forgings Limited,HAPPYFORGE,2024-02-22,950.0,964.8,935.0,960.95,942.25,68091
Happy Forgings Limited,HAPPYFORGE,2024-02-21,969.0,971.0,940.4,942.25,962.85,81939
Happy Forgings Limited,HAPPYFORGE,2024-02-20,968.5,974.45,960.05,962.85,968.25,61902
Happy Forgings Limited,HAPPYFORGE,2024-02-19,982.0,983.7,961.45,968.25,970.9,69167
Happy Forgings Limited,HAPPYFORGE,2024-02-16,980.0,992.9,958.15,970.9,965.0,323228
Happy Forgings Limited,HAPPYFORGE,2024-02-15,990.65,998.6,950.0,965.0,983.0,70425
Happy Forgings Limited,HAPPYFORGE,2024-02-14,940.05,987.95,940.0,983.0,962.85,56023
Happy Forgings Limited,HAPPYFORGE,2024-02-13,985.0,994.45,942.7,962.85,993.5,124485
Happy Forgings Limited,HAPPYFORGE,2024-02-12,1019.0,1052.95,974.65,993.5,1006.5,310644
